Address;City;Postal Code;Country;Latitude;Longitude;Operator;Access Type;Connector Standard;Amperage;Voltage;Power Type;Max Power
Old Hickoryplein 1;Kerkrade;6461 EZ;NL;50.861872;6.067331;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Vloedsgraaf 1;Schinnen;6365 EN;NL;50.933301;5.875822;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Vloedsgraaf 1;Schinnen;6365 EN;NL;50.933301;5.875822;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Habsburgerplein 27;Maastricht;6226 VZ;NL;50.853591;5.720862;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Habsburgerplein 27;Maastricht;6226 VZ;NL;50.853591;5.720862;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Poelderstraat 10;Sittard;6134 VS;NL;50.98592;5.846439;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Poelderstraat 10;Sittard;6134 VS;NL;50.98592;5.846439;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Praaglaan 62;Maastricht;6229 HJ;NL;50.833328;5.706124;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Praaglaan 62;Maastricht;6229 HJ;NL;50.833328;5.706124;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Thullerkerkweg 17;Schinnen;6365 AE;NL;50.93992;5.891978;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Thullerkerkweg 17;Schinnen;6365 AE;NL;50.93992;5.891978;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Nobelstraat 69;Heerlen;6411 EL;NL;50.883264;5.978778;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Nobelstraat 69;Heerlen;6411 EL;NL;50.883264;5.978778;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Churchillstraat 1;Venray;5801 XH;NL;51.52594;5.96814;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Churchillstraat 1;Venray;5801 XH;NL;51.52594;5.96814;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Avenue Ceramique 201-257;Maastricht;6221 KX;NL;50.842843;5.703579;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Noorderpoort 39;Venlo;5916 PJ;NL;51.394367;6.174938;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Noorderpoort 39;Venlo;5916 PJ;NL;51.394367;6.174938;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Noorderpoort 39;Venlo;5916 PJ;NL;51.394367;6.174938;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Noorderpoort 39;Venlo;5916 PJ;NL;51.394367;6.174938;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Schoolstraat 1;Elsloo;6181 GM;NL;50.947078;5.765816;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Schoolstraat 1;Elsloo;6181 GM;NL;50.947078;5.765816;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Karel v Laan 35;Venlo;5915 ZC;NL;51.352965;6.178616;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Karel v Laan 35;Venlo;5915 ZC;NL;51.352965;6.178616;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Hamerstraat 65;Heerlen;6411 CV;NL;50.88186526;5.97596432;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Hamerstraat 65;Heerlen;6411 CV;NL;50.88186526;5.97596432;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Luxemburgstraat 30;Sittard;6135 LC;NL;50.99708264;5.85238525;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Luxemburgstraat 30;Sittard;6135 LC;NL;50.99708264;5.85238525;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Luxemburgstraat 30;Sittard;6135 LC;NL;50.99708264;5.85238525;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Luxemburgstraat 30;Sittard;6135 LC;NL;50.99708264;5.85238525;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Sportlaan 10;Vlodrop;6063 AX;NL;51.131051;6.071087;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Sportlaan 10;Vlodrop;6063 AX;NL;51.131051;6.071087;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Ribesstraat 1;Echt;6101 KW;NL;51.108928;5.878363;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Ribesstraat 1;Echt;6101 KW;NL;51.108928;5.878363;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Benzenraderweg 270;Heerlen;6417 SZ;NL;50.87152113;5.98002282;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Benzenraderweg 270;Heerlen;6417 SZ;NL;50.87152113;5.98002282;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Wiebachstraat 9;Kerkrade;6466 NG;NL;50.85175;6.00688;Eneco;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Wiebachstraat 9;Kerkrade;6466 NG;NL;50.85175;6.00688;Eneco;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Maasheseweg 80B;Oostrum;5804 AD;NL;51.548002;5.997007;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Maasheseweg 80B;Oostrum;5804 AD;NL;51.548002;5.997007;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Maasheseweg 80B;Oostrum;5804 AD;NL;51.548002;5.997007;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Maasheseweg 80B;Oostrum;5804 AD;NL;51.548002;5.997007;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Moesdijk 24;Weert;6004 AX;NL;51.247042;5.738391;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Moesdijk 24;Weert;6004 AX;NL;51.247042;5.738391;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Moesdijk 24;Weert;6004 AX;NL;51.247042;5.738391;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Moesdijk 24;Weert;6004 AX;NL;51.247042;5.738391;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Rembrandtplein 10-A;Bergen;5854 EM;NL;51.603628;6.055627;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Rembrandtplein 10-A;Bergen;5854 EM;NL;51.603628;6.055627;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Julianastraat 22;Epen;6285 AJ;NL;50.7747004;5.9028259;Blue Current;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Julianastraat 22;Epen;6285 AJ;NL;50.7747004;5.9028259;Blue Current;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Op de Vlis 2;Horst;5961 DZ;NL;51.457054;6.052856;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Op de Vlis 2;Horst;5961 DZ;NL;51.457054;6.052856;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Berikstraat 13;Buggenum;6082 AM;NL;51.23163;5.974299;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Berikstraat 13;Buggenum;6082 AM;NL;51.23163;5.974299;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;IEC 62196 Type 2 Mennekes Combo, DC;375;400;dc;150000
65 Mauritslaan;Urmond;6129 EL;NL;50.9893981;5.78148007;Tesla;Restricted;Tesla Connector Model-S-type (oval, 5 pin);375;400;dc;150000
Kapellerpoort 1;Roermond;6041 HZ;NL;51.188495;5.989341;E-Flux;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kapellerpoort 1;Roermond;6041 HZ;NL;51.188495;5.989341;E-Flux;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kapellerpoort 1;Roermond;6041 HZ;NL;51.188495;5.989341;E-Flux;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kapellerpoort 1;Roermond;6041 HZ;NL;51.188495;5.989341;E-Flux;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Sportlaan null;Bunde;6241 AB;NL;50.894641;5.728269;EVBox;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Heiveldplein 3;Kerkrade;6466 AX;NL;50.861422;6.036154;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Heiveldplein 3;Kerkrade;6466 AX;NL;50.861422;6.036154;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Heiveldplein 3;Kerkrade;6466 AX;NL;50.861422;6.036154;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Heiveldplein 3;Kerkrade;6466 AX;NL;50.861422;6.036154;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Celsiusstraat 17;Weert;6003 DG;NL;51.271749;5.725353;EVBox;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Celsiusstraat 17;Weert;6003 DG;NL;51.271749;5.725353;EVBox;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kuilenstraat 60;Meerssen;6231 AW;NL;50.87517;5.737252;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kuilenstraat 60;Meerssen;6231 AW;NL;50.87517;5.737252;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kuilenstraat 60;Meerssen;6231 AW;NL;50.87517;5.737252;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kuilenstraat 60;Meerssen;6231 AW;NL;50.87517;5.737252;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Kuilenstraat 60;Meerssen;6231 AW;NL;50.87517;5.737252;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Argonstraat 3;Heerlen;6422 PH;NL;50.841072;6.013184;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Argonstraat 3;Heerlen;6422 PH;NL;50.841072;6.013184;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Argonstraat 3;Heerlen;6422 PH;NL;50.841072;6.013184;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Argonstraat 3;Heerlen;6422 PH;NL;50.841072;6.013184;EVBox;Restricted;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Reutjesstraat 3;Bemelen;6268 NS;NL;50.843006;5.79769;Community by Shell Recharge;Restricted;IEC 62196 Type 2 Mennekes;15;230;ac_1_phase;3450
Frederik Hendrikstraat 185;Venlo;5923 BN;NL;51.361523;6.136438;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Frederik Hendrikstraat 185;Venlo;5923 BN;NL;51.361523;6.136438;Vattenfall;Public;IEC 62196 Type 2 Mennekes;16;230;ac_3_phase;11040
Paradijsstraatje 3A;Weert;6001 CZ;NL;51.25217;5.706921;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Paradijsstraatje 3A;Weert;6001 CZ;NL;51.25217;5.706921;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
Paradijsstraatje 3A;Weert;6001 CZ;NL;51.25217;5.706921;Last Mile Solutions;Restricted;IEC 62196 Type 2 Mennekes;32;230;ac_3_phase;22080
