"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2020";"Aantal publieke snellaadpunten voor elektrische auto's|April 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2020";"Aantal publieke snellaadpunten voor elektrische auto's|September 2020";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2020";"Aantal publieke snellaadpunten voor elektrische auto's|November 2020";"Aantal publieke snellaadpunten voor elektrische auto's|December 2020"
"Aa en Hunze";0;0;0;0;0;0;0;0;0;0;0;0
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0;0;0;0;0;0;0
"Alblasserdam";2;2;2;2;2;2;2;2;2;2;2;2
"Albrandswaard";2;2;2;2;2;2;2;2;3;3;3;3
"Alkmaar";0;0;3;3;3;5;3;3;3;3;3;2
"Almelo";0;1;1;1;0;0;1;1;1;2;2;3
"Almere";7;7;7;7;7;7;8;9;9;10;10;7
"Alphen aan den Rijn";0;0;0;0;0;2;2;2;2;2;2;2
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";2;2;2;2;2;2;2;2;2;2;2;2
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";6;6;6;6;6;6;3;3;7;7;7;10
"Amstelveen";12;12;12;12;12;12;12;11;12;12;12;12
"Amsterdam";65;54;53;53;64;65;64;64;68;74;77;78
"Apeldoorn";32;32;33;33;33;36;37;35;36;36;36;36
"Arnhem";19;16;16;16;22;22;22;22;25;25;29;29
"Assen";14;14;14;14;14;14;14;14;14;14;14;14
"Asten";0;0;0;0;0;0;0;0;0;4;4;4
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";0;0;0;0;0;0;0;4;4;4;4;4
"Barneveld";11;11;11;11;11;11;11;9;9;9;9;14
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen op Zoom";0;0;0;0;0;0;0;0;0;0;0;0
"Berkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Bernheze";0;0;0;0;0;0;0;0;0;0;0;0
"Best";0;0;0;0;0;0;0;0;0;0;0;0
"Beuningen";0;2;2;2;0;0;0;0;0;0;0;3
"Beverwijk";2;2;2;2;0;0;2;2;2;3;3;3
"Bladel";0;0;0;0;0;0;2;4;8;8;8;8
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";7;7;7;7;7;7;7;2;3;3;3;7
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Borne";0;0;0;0;0;0;0;0;0;0;0;0
"Borsele";0;0;0;0;0;0;0;0;0;0;0;0
"Boxtel";7;7;7;7;7;7;8;8;12;12;12;12
"Breda";18;18;18;18;18;20;20;20;20;20;20;24
"Brielle";4;4;4;4;4;4;4;4;4;4;4;4
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";27;5;11;5;9;11;20;27;27;27;25;27
"Bunschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Buren";0;0;0;0;0;0;0;0;0;0;0;0
"Capelle aan den IJssel";0;10;10;10;10;10;5;5;7;7;10;10
"Castricum";3;3;3;3;3;3;3;3;11;11;11;11
"Coevorden";0;0;0;0;0;0;0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0;0;0;0;0;0;0
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";0;0;0;0;0;0;0;0;0;0;0;0
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";0;0;0;0;0;0;0;0;0;0;0;0
"De Fryske Marren";0;0;0;0;0;0;0;0;0;0;3;3
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
"De Wolden";6;6;6;6;6;6;6;6;6;6;6;6
"Delft";6;7;7;7;7;7;7;7;7;7;7;7
"Den Haag";9;10;10;10;10;10;10;10;10;10;10;13
"Den Helder";2;2;2;2;0;0;0;0;0;0;0;0
"Deurne";0;0;0;0;0;0;0;2;2;2;2;2
"Deventer";6;8;8;8;2;0;7;8;8;8;6;8
"Diemen";0;0;0;0;0;0;0;0;0;0;0;0
"Dijk en Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Dinkelland";4;4;4;4;4;4;4;5;5;5;5;5
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";0;0;0;0;0;0;0;0;0;0;0;0
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";21;21;21;21;21;21;21;21;21;21;21;21
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";0;0;0;0;0;0;0;0;0;0;0;0
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
