Post.code;Totaal.2020;Koopwoning.2020;Huurwoning.2020;adressen/km2.2020
Code;x1;%;%;adressen/km2
6176;3335;80;20;430
6181;8430;80;20;923
6191;12525;70;30;1021
6199;5;-99997;-99997;107
6211;12030;20;80;3967
6212;4580;70;20;1876
6213;4300;60;40;1851
6214;4825;20;80;3306
6215;8455;60;40;1937
6216;8555;50;50;2556
6217;9270;20;80;2701
6218;7180;40;60;1736
6219;1665;40;60;1007
6221;9775;30;70;3771
6222;5190;20;80;1214
6223;2610;70;30;282
6224;8045;20;80;3305
6225;6785;70;30;1116
6226;7320;60;40;2327
6227;7640;50;50;2032
6228;6630;60;40;1552
6229;6670;40;60;1490
6231;7490;60;40;804
6235;2815;80;20;337
6237;345;90;10;206
6241;5600;80;20;682
6243;2575;80;20;223
6245;9595;80;20;773
6247;2950;80;20;351
6251;430;80;20;106
6252;145;80;10;139
6255;1115;70;30;115
6261;870;80;20;135
6262;1010;70;30;148
6265;1420;80;20;152
6267;3470;70;30;409
6268;575;70;30;78
6269;3860;80;20;448
6271;3905;50;50;527
6273;210;80;20;57
6274;555;80;20;75
6276;170;80;20;27
6277;395;80;20;66
6278;65;90;-99997;31
6281;1775;70;30;198
6285;1010;70;30;110
6286;1885;70;30;123
6287;1675;80;20;186
6289;80;80;20;23
6291;7830;40;60;1270
6294;1400;60;30;171
6295;870;60;40;118
6301;10455;50;50;836
6305;1450;70;20;272
6307;325;80;20;54
6311;780;90;10;242
6312;170;60;40;190
6321;2430;70;30;291
6325;4315;70;30;374
6333;3180;80;20;276
6336;3955;80;20;418
6341;50;100;-99997;168
6342;95;80;20;231
6343;3225;80;20;298
6351;5055;70;30;682
6353;45;90;-99997;43
6361;6460;60;40;716
6363;1610;80;20;435
6365;2660;70;30;312
6367;8300;70;30;672
6369;5455;60;40;683
6371;6310;50;50;1562
6372;10180;70;30;1560
6373;8865;60;40;1515
6374;12090;70;30;1249
6411;7755;30;60;2528
6412;8865;50;50;1891
6413;11375;50;50;1720
6414;7750;50;50;1475
6415;6440;40;60;1808
6416;5745;50;50;1779
6417;6630;50;50;1915
6418;9240;40;60;1746
6419;4265;70;30;1077
6421;10;-99997;-99997;1528
6422;75;80;20;146
6431;9965;40;60;2200
6432;3975;60;40;1581
6433;4990;60;40;1229
6436;2680;60;40;831
6438;3735;80;20;550
6439;1110;80;20;180
6441;7480;50;50;1824
6442;2390;60;40;1309
6443;3935;50;50;1696
6444;6390;70;30;1911
6445;2845;90;10;1229
6446;4785;60;40;1477
6447;1605;80;20;280
6451;4645;70;30;636
6454;715;80;20;152
6456;820;80;20;153
6461;8225;50;50;2468
6462;6930;50;50;2002
6463;5195;30;70;2017
6464;4195;70;30;1183
6465;2045;70;30;913
6466;7650;50;50;1544
6467;4810;70;30;1772
6468;275;80;20;827
6469;595;70;30;709
6471;5815;60;40;1055
6511;10430;20;80;3737
6512;5615;30;70;4300
6515;8865;70;30;894
6521;6475;50;50;3589
6522;4855;60;40;2431
6523;8125;40;60;2121
6524;7520;50;50;3793
6525;9410;50;50;1459
6531;10530;50;50;3131
6532;5930;40;60;2301
6533;11255;40;60;2228
6534;3240;40;60;2137
6535;7285;20;80;2026
6536;3570;60;40;1525
6537;9375;40;60;1916
6538;9340;40;60;2201
6541;9580;30;70;2787
6542;7390;40;60;3471
6543;7500;40;60;2407
6544;5605;30;70;2138
6545;5330;60;40;1931
6546;9265;60;40;1293
6551;2490;80;20;388
6561;6265;50;50;801
6562;10505;60;30;866
6564;825;90;10;531
6566;5850;60;40;641
6571;1950;60;40;421
6572;495;70;30;448
6573;3630;60;40;571
6574;495;50;50;681
6575;95;90;-99997;76
6576;2495;60;40;284
6577;155;90;10;76
6578;1715;60;40;238
6579;490;70;30;74
6581;11205;70;30;1039
6582;1825;70;30;290
6584;3690;80;20;562
6585;2985;70;30;392
6586;295;80;20;88
6587;875;80;20;124
6591;9075;60;40;958
6595;2270;70;30;518
6596;2765;80;20;277
6598;2005;80;20;267
6599;810;80;20;76
6601;10465;50;40;1700
6602;6310;70;30;1859
6603;4810;70;30;509
6604;4035;90;10;670
6605;10850;70;30;1301
6606;415;80;20;92
6611;2615;80;20;253
6612;810;80;20;109
6613;720;90;10;111
6615;135;60;40;178
6616;950;80;20;120
6617;1770;80;20;173
6621;3495;70;30;309
6624;1365;70;30;176
6626;1670;80;20;139
6627;1350;80;20;137
6628;565;90;10;58
6629;830;80;20;85
6631;1630;80;20;148
6634;655;80;20;86
6641;12685;60;40;1403
6642;4660;90;10;996
6644;4040;70;30;450
6645;2015;70;30;211
6651;10165;60;40;1054
6652;2375;90;10;966
6653;1775;60;40;254
6654;1670;70;30;220
6655;1310;80;20;690
6657;2260;70;30;266
6658;6700;60;30;768
6659;2455;70;30;243
6661;12515;60;40;1274
6662;9990;80;20;1082
6663;11195;60;40;1069
6665;4325;70;30;481
6666;5025;70;30;542
6668;1465;70;30;128
6669;4390;60;40;381
6671;4960;70;30;623
6672;165;20;80;242
6673;1600;70;30;407
6674;3110;70;30;402
6675;1825;80;20;233
6676;65;80;20;15
6677;480;80;20;53
6678;2385;70;30;562
6681;12150;70;20;927
6684;135;80;10;189
6685;2065;70;30;365
6686;2755;80;20;293
6687;2855;80;20;297
6691;7225;60;30;673
6701;3665;40;60;2264
6702;2605;30;70;1648
