"Gemeenten";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Januari 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Februari 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Maart 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|April 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Mei 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juni 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juli 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Augustus 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|September 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Oktober 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|November 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|December 2022"
"Aa en Hunze";33;35;41;48;46;44;49;50;50;47;47;43
"Aalsmeer";122;135;148;142;133;123;128;122;117;132;129;172
"Aalten";12;13;17;16;17;24;25;23;23;32;32;41
"Achtkarspelen";8;15;8;6;4;4;4;4;3;3;3;10
"Alblasserdam";29;34;38;38;38;39;40;40;36;39;39;44
"Albrandswaard";30;31;37;34;34;33;37;35;35;32;32;40
"Alkmaar";233;263;261;254;247;253;274;275;293;277;277;324
"Almelo";125;148;142;144;153;162;168;232;220;198;200;233
"Almere";262;282;317;328;295;273;324;330;348;318;347;471
"Alphen aan den Rijn";162;177;203;227;206;186;205;202;197;190;193;237
"Alphen-Chaam";15;15;17;20;19;20;24;24;24;23;23;25
"Altena";44;58;50;53;43;41;53;53;54;52;49;74
"Ameland";4;7;13;9;16;14;24;24;26;26;26;28
"Amersfoort";416;517;536;537;495;493;548;533;550;515;508;620
"Amstelveen";252;270;292;298;282;339;354;352;416;383;368;512
"Amsterdam";2278;2410;2617;2604;2157;2238;2550;2532;2755;2524;2557;3104
"Apeldoorn";336;386;472;483;366;341;356;365;388;370;364;478
"Arnhem";295;327;337;409;336;317;368;361;377;350;349;425
"Assen";110;126;146;144;142;140;149;134;144;141;142;177
"Asten";10;10;13;11;11;10;10;10;10;10;10;18
"Baarle-Nassau";7;6;7;6;4;4;4;6;8;6;6;6
"Baarn";20;32;33;23;24;29;33;29;29;33;35;68
"Barendrecht";145;154;152;143;140;147;171;166;189;164;163;224
"Barneveld";133;183;198;191;161;156;175;181;184;172;170;220
"Beek";46;55;64;65;64;50;66;66;67;64;70;78
"Beekdaelen";35;32;34;35;44;47;46;41;42;41;44;58
"Beesel";4;4;7;7;6;4;4;4;6;4;4;8
"Berg en Dal";47;56;64;71;52;46;46;49;51;50;50;51
"Bergeijk";9;10;18;19;19;39;42;42;53;40;38;75
"Bergen (L.)";18;17;24;24;24;23;27;19;25;27;27;41
"Bergen (NH.)";60;62;65;72;69;62;65;64;66;72;72;84
"Bergen op Zoom";93;101;110;114;100;95;108;108;108;91;91;104
"Berkelland";44;47;54;55;60;60;53;53;51;37;42;40
"Bernheze";26;41;36;38;49;49;49;47;55;46;46;58
"Best";114;136;146;143;151;146;156;155;157;152;152;153
"Beuningen";12;14;14;16;16;10;12;12;18;16;16;22
"Beverwijk";34;40;50;60;56;61;65;58;56;48;52;56
"Bladel";31;32;40;33;32;43;47;48;45;49;47;57
"Blaricum";18;22;29;25;26;21;21;21;21;18;18;24
"Bloemendaal";25;28;38;40;40;26;24;24;24;19;21;13
"Bodegraven-Reeuwijk";71;74;84;83;79;83;101;97;104;101;100;136
"Boekel";15;15;15;17;15;14;20;20;16;15;14;16
"Borger-Odoorn";49;49;51;49;47;46;43;45;45;50;50;47
"Borne";13;17;14;17;16;14;21;21;21;17;19;19
"Borsele";63;55;59;69;71;76;78;74;80;88;90;86
"Boxtel";44;48;63;67;66;60;60;63;65;54;60;61
"Breda";393;410;458;488;458;472;520;522;509;565;622;770
"Brielle";24;24;26;28;30;31;33;29;33;28;28;27
"Bronckhorst";35;34;38;37;34;38;41;42;44;43;40;45
"Brummen";16;22;19;19;18;19;18;20;26;21;22;24
"Brunssum";11;12;14;8;15;15;16;16;13;13;11;11
"Bunnik";25;29;44;50;51;52;53;53;65;56;56;69
"Bunschoten";24;28;45;45;44;39;40;40;45;31;27;49
"Buren";11;15;22;18;19;16;17;19;22;13;13;11
"Capelle aan den IJssel";201;228;233;247;246;276;276;271;255;255;250;324
"Castricum";26;28;30;34;35;37;40;38;38;38;38;36
"Coevorden";18;23;32;39;32;31;33;32;33;27;27;35
"Cranendonck";21;28;26;25;35;32;29;30;32;34;34;43
"Culemborg";58;55;68;79;81;82;84;84;69;63;69;62
"Dalfsen";15;18;21;20;21;20;20;21;21;19;18;19
"Dantumadiel";6;7;2;2;6;6;6;4;10;6;6;11
"De Bilt";38;48;62;62;57;54;52;55;56;47;47;47
"De Fryske Marren";55;55;79;82;73;75;76;85;90;86;87;99
"De Ronde Venen";64;77;101;105;104;98;111;92;96;82;84;111
"De Wolden";16;17;18;18;19;24;34;32;34;35;34;35
"Delft";290;311;306;308;362;363;364;367;398;434;435;520
"Den Haag";1029;1249;1313;1369;1330;1421;1501;1499;1557;1490;1528;1669
"Den Helder";67;81;78;78;82;76;84;75;79;86;88;110
"Deurne";18;19;24;26;28;27;27;29;29;24;24;22
"Deventer";190;244;220;215;191;188;231;225;259;246;235;309
"Diemen";58;63;82;115;130;128;113;111;156;135;209;183
"Dijk en Waard";73;74;99;96;97;93;99;94;100;92;95;98
"Dinkelland";34;32;33;37;40;42;41;44;50;46;43;45
"Doesburg";3;4;3;3;3;3;3;3;2;2;2;4
"Doetinchem";79;74;78;79;74;69;77;70;76;81;86;106
"Dongen";12;27;21;23;21;19;18;17;17;18;19;21
"Dordrecht";171;182;189;192;178;179;188;187;186;219;218;298
"Drechterland";17;18;14;15;19;16;26;26;26;25;24;26
"Drimmelen";8;10;11;16;17;12;11;9;9;15;15;19
"Dronten";62;104;84;81;78;80;82;85;92;89;82;126
"Druten";13;13;18;19;20;15;17;17;21;17;12;24
"Duiven";81;103;194;197;113;116;126;138;142;133;132;158
"Echt-Susteren";10;10;17;21;15;13;13;17;17;23;24;28
"Edam-Volendam";16;16;23;25;26;20;21;20;21;21;21;23
"Ede";196;224;256;259;235;232;282;278;288;273;276;343
"Eemnes";16;32;28;24;25;26;24;22;23;18;18;28
"Eemsdelta";48;54;58;71;62;57;85;90;95;96;97;103
"Eersel";30;33;32;35;35;65;62;67;80;60;58;85
"Eijsden-Margraten";15;12;17;18;15;16;17;17;17;11;11;17
"Eindhoven";524;634;655;703;574;577;635;650;536;593;632;707
"Elburg";19;20;22;21;20;19;19;19;19;19;21;25
"Emmen";111;124;147;152;134;135;142;143;156;135;137;146
"Enkhuizen";19;22;39;47;33;48;49;49;49;41;43;46
"Enschede";201;223;214;225;233;237;255;245;251;258;249;301
"Epe";48;60;72;76;81;80;79;80;80;81;83;82
"Ermelo";52;47;45;48;49;46;42;46;49;39;43;47
"Etten-Leur";41;47;47;49;45;40;58;56;62;60;62;81
"Geertruidenberg";48;59;45;47;55;58;79;79;77;74;74;78
"Geldrop-Mierlo";20;21;22;33;32;29;31;32;42;34;32;29
"Gemert-Bakel";25;29;30;33;43;51;47;47;47;46;46;42
"Gennep";30;32;42;39;37;39;41;43;47;46;43;58
"Gilze en Rijen";17;17;20;21;21;15;22;19;19;21;19;34
"Goeree-Overflakkee";147;135;163;189;190;188;195;190;199;197;201;224
"Goes";158;160;162;169;157;158;162;172;174;167;170;175
"Goirle";21;25;24;42;53;39;41;45;41;47;47;49
"Gooise Meren";61;65;85;92;93;85;92;97;96;93;92;129
"Gorinchem";86;94;98;98;101;98;130;130;130;116;118;139
"Gouda";76;71;92;93;90;103;115;122;131;134;125;168
"Groningen";448;511;557;539;532;540;558;555;677;672;686;774
"Gulpen-Wittem";35;42;43;49;49;52;52;54;56;58;58;51
"Haaksbergen";49;49;54;52;53;56;58;62;62;60;58;57
"Haarlem";115;127;157;149;133;123;146;139;134;149;145;203
"Haarlemmermeer";952;1093;1142;1168;1157;1140;1154;1167;1297;1169;1187;2197
"Halderberge";31;33;43;46;43;38;44;41;41;45;43;41
"Hardenberg";85;87;89;139;140;154;153;166;175;169;174;199
"Harderwijk";119;133;138;136;159;135;150;149;153;172;174;187
"Hardinxveld-Giessendam";39;42;43;41;39;35;35;35;35;37;36;57
"Harlingen";33;38;32;35;32;35;39;39;38;38;38;50
"Hattem";2;4;5;4;4;2;2;2;2;2;2;6
"Heemskerk";13;13;15;14;13;9;11;11;33;12;12;12
"Heemstede";9;12;19;21;15;16;21;21;22;20;20;24
"Heerde";19;20;25;28;30;25;25;25;55;26;26;35
"Heerenveen";150;164;185;183;152;139;148;156;165;171;177;246
"Heerlen";102;117;189;191;174;164;185;181;173;179;173;187
"Heeze-Leende";14;17;35;32;33;32;35;35;33;32;32;42
"Heiloo";29;37;39;41;39;34;32;30;30;31;31;31
"Hellendoorn";41;51;64;76;78;67;66;66;67;66;69;87
"Hellevoetsluis";28;38;35;36;32;32;35;35;37;45;41;41
"Helmond";82;93;109;109;110;111;119;121;134;126;130;140
"Hendrik-Ido-Ambacht";20;28;32;32;33;26;26;26;26;25;23;32
"Hengelo";211;250;241;230;230;228;232;236;232;237;235;471
"Het Hogeland";37;47;58;48;42;48;52;46;44;46;48;48
"Heumen";7;6;10;10;11;10;10;10;12;14;12;10
"Heusden";39;39;48;49;53;39;39;39;40;44;43;62
"Hillegom";10;11;16;15;15;15;15;14;14;22;22;26
"Hilvarenbeek";11;52;22;24;23;19;19;21;21;17;19;27
"Hilversum";234;242;296;304;303;324;361;348;355;335;341;437
"Hoeksche Waard";115;124;154;157;154;136;146;149;150;125;133;167
"Hof van Twente";33;37;36;36;39;42;44;42;48;44;44;50
"Hollands Kroon";23;27;33;40;31;29;26;27;38;40;40;42
"Hoogeveen";76;83;97;96;98;91;118;125;129;133;133;152
