"Gemeenten";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Januari 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Februari 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Maart 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|April 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Mei 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juni 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juli 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Augustus 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|September 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Oktober 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|November 2022";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|December 2022"
"Hoorn";58;61;80;82;71;70;72;71;83;78;77;88
"Horst aan de Maas";32;38;53;52;57;55;52;51;57;87;80;87
"Houten";194;225;208;207;231;236;241;246;249;230;236;312
"Huizen";43;43;47;44;38;34;35;37;38;36;38;43
"Hulst";30;31;32;31;33;33;40;44;48;47;51;55
"IJsselstein";40;48;49;51;57;48;58;54;67;57;56;78
"Kaag en Braassem";25;28;53;57;39;37;31;29;31;43;41;55
"Kampen";37;38;43;39;37;41;47;43;45;46;48;61
"Kapelle";48;47;61;76;79;76;72;72;72;69;73;75
"Katwijk";44;48;61;69;54;52;55;56;56;62;62;74
"Kerkrade";31;30;40;44;35;33;39;38;38;45;43;41
"Koggenland";14;22;29;26;22;21;21;21;23;22;22;24
"Krimpen aan den IJssel";18;21;30;36;30;26;26;24;26;33;31;27
"Krimpenerwaard";46;36;50;45;51;47;52;52;54;59;58;64
"Laarbeek";21;21;24;23;24;23;27;27;27;29;26;55
"Land van Cuijk";92;92;103;108;120;114;121;121;128;123;125;142
"Landgraaf";24;28;33;33;37;32;36;33;31;29;29;29
"Landsmeer";1;2;0;1;1;0;0;0;0;0;0;0
"Lansingerland";169;184;195;214;196;197;203;190;202;189;184;228
"Laren";17;18;21;23;19;17;17;17;17;16;16;23
"Leeuwarden";244;255;274;260;274;272;283;274;287;275;271;321
"Leiden";217;209;244;287;220;230;231;256;253;240;259;298
"Leiderdorp";15;19;33;36;35;32;34;30;28;21;20;63
"Leidschendam-Voorburg";117;104;168;188;189;187;185;174;179;190;182;191
"Lelystad";231;242;248;242;237;222;249;272;284;256;261;315
"Leudal";29;28;41;38;37;34;32;38;38;35;35;35
"Leusden";70;85;119;113;94;102;137;139;147;122;118;132
"Lingewaard";24;35;30;37;39;37;41;41;49;42;32;39
"Lisse";36;32;36;36;39;36;39;38;37;31;28;51
"Lochem";44;51;47;48;52;48;54;54;54;56;56;49
"Loon op Zand";198;203;205;209;213;228;233;227;231;228;226;226
"Lopik";23;23;19;22;20;15;23;16;23;20;20;29
"Losser";21;21;27;26;23;21;21;21;21;19;19;20
"Maasdriel";8;7;16;18;13;14;15;14;15;25;28;27
"Maasgouw";0;3;5;5;5;4;6;6;10;14;14;15
"Maashorst";91;90;97;113;112;112;115;107;107;106;103;100
"Maassluis";16;21;25;24;27;22;24;26;36;36;34;36
"Maastricht";179;179;235;224;195;218;239;234;252;240;249;292
"Medemblik";30;33;44;53;47;42;55;55;56;44;45;69
"Meerssen";9;8;15;14;8;10;10;10;10;13;13;17
"Meierijstad";145;170;174;187;190;183;199;201;232;236;225;249
"Meppel";45;50;59;52;58;59;61;60;67;73;70;118
"Middelburg";109;129;138;150;170;171;179;179;177;172;172;138
"Midden-Delfland";22;15;22;18;21;21;46;42;45;48;46;48
"Midden-Drenthe";47;48;68;62;60;48;57;57;59;48;48;62
"Midden-Groningen";33;48;55;59;43;41;45;44;44;41;46;50
"Moerdijk";63;63;76;77;73;70;80;70;70;75;73;126
"Molenlanden";65;164;141;231;228;211;207;217;219;207;207;216
"Montferland";28;36;39;42;44;35;37;39;43;46;48;64
"Montfoort";13;13;13;14;16;12;12;12;12;12;12;16
"Mook en Middelaar";3;3;7;4;3;3;5;5;5;5;5;5
"Neder-Betuwe";27;27;31;31;28;26;26;26;26;24;24;29
"Nederweert";24;29;27;36;27;20;20;21;22;17;25;33
"Nieuwegein";221;229;248;254;268;257;282;287;314;334;328;398
"Nieuwkoop";22;25;32;26;23;15;13;19;24;26;26;35
"Nijkerk";92;99;107;113;109;106;115;109;126;104;105;119
"Nijmegen";257;283;321;326;299;288;307;339;340;314;307;387
"Nissewaard";88;102;120;121;124;123;114;110;108;114;110;120
"Noardeast-Fryslân";39;39;36;60;60;56;58;58;58;62;67;76
"Noord-Beveland";82;86;97;103;105;106;114;110;117;113;114;122
"Noordenveld";20;20;23;32;31;25;31;31;31;33;33;36
"Noordoostpolder";65;74;74;61;59;64;69;65;69;69;71;77
"Noordwijk";125;125;147;142;134;135;159;116;116;110;115;165
"Nuenen, Gerwen en Nederwetten";17;22;19;23;18;71;82;91;94;88;86;117
"Nunspeet";48;51;55;54;56;54;65;61;63;67;65;87
"Oegstgeest";16;16;25;27;22;20;22;18;20;19;19;29
"Oirschot";18;34;32;36;35;31;30;30;30;28;28;28
"Oisterwijk";30;33;17;19;16;17;21;21;25;20;19;29
"Oldambt";53;63;44;43;43;40;40;41;41;40;42;80
"Oldebroek";22;23;23;26;31;31;31;33;33;33;31;39
"Oldenzaal";24;27;30;36;36;35;35;38;54;72;70;77
"Olst-Wijhe";2;4;10;7;6;4;4;4;18;18;20;20
"Ommen";38;40;38;46;58;53;52;52;52;51;50;56
"Oost Gelre";39;48;48;46;47;49;71;66;63;63;62;86
"Oosterhout";95;107;109;119;125;126;147;153;163;148;145;192
"Ooststellingwerf";35;41;46;48;48;48;53;55;55;59;58;63
"Oostzaan";14;14;41;42;43;45;46;44;42;42;42;60
"Opmeer";5;5;8;6;6;6;5;5;5;5;5;6
"Opsterland";42;44;43;48;47;112;112;115;113;111;111;125
"Oss";94;109;125;125;125;109;122;122;132;122;131;158
"Oude IJsselstreek";55;53;61;65;76;69;73;76;78;73;67;88
"Ouder-Amstel";41;66;66;65;66;65;68;68;94;74;73;100
"Oudewater";6;5;4;4;4;4;4;4;4;4;4;4
"Overbetuwe";80;80;89;94;92;92;97;92;96;96;94;141
"Papendrecht";22;21;27;28;31;26;59;53;53;56;56;52
"Peel en Maas";31;30;33;39;34;34;34;38;38;35;35;42
"Pekela";1;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";52;49;56;63;62;60;49;54;53;62;58;70
"Purmerend";80;102;116;107;102;85;90;96;97;97;93;106
"Putten";36;44;57;55;51;45;49;49;57;57;59;70
"Raalte";33;34;40;44;43;45;47;46;48;44;44;53
"Reimerswaal";20;30;36;43;37;47;48;46;48;49;47;55
"Renkum";28;39;58;56;36;35;39;35;34;52;52;58
"Renswoude";10;11;10;10;18;18;18;16;16;16;22;24
"Reusel-De Mierden";4;4;5;5;6;6;8;6;4;4;4;4
"Rheden";78;77;83;83;76;73;76;78;70;73;77;91
"Rhenen";12;14;16;16;15;36;41;44;46;49;49;48
"Ridderkerk";57;65;65;72;67;91;101;98;103;103;104;144
"Rijssen-Holten";81;85;93;113;99;95;95;120;125;121;127;179
"Rijswijk";117;121;140;137;135;132;176;180;183;157;164;155
"Roerdalen";14;16;19;15;14;17;17;17;17;15;15;16
"Roermond";124;121;162;137;132;121;129;150;181;157;149;214
"Roosendaal";133;143;143;151;122;119;123;128;133;135;138;185
"Rotterdam";1408;1550;1685;1780;1555;1553;1808;1634;1783;1743;1669;2011
"Rozendaal";2;6;4;4;4;2;2;2;2;2;4;4
"Rucphen";1;1;3;5;3;2;2;2;2;2;4;5
"Schagen";105;110;117;128;126;127;134;130;130;119;127;154
"Scherpenzeel";23;25;25;27;25;22;24;24;24;22;22;26
"Schiedam";94;99;120;110;125;120;134;129;139;146;138;179
"Schiermonnikoog";0;0;0;0;0;0;0;0;0;0;0;0
"Schouwen-Duiveland";209;202;217;234;245;247;242;244;260;274;278;264
"'s-Hertogenbosch";642;611;656;641;581;544;690;672;776;551;557;721
"Simpelveld";3;3;4;3;4;4;4;4;4;3;3;3
"Sint-Michielsgestel";18;20;22;26;25;29;36;37;31;29;30;32
"Sittard-Geleen";190;198;218;227;190;191;206;224;231;228;226;302
"Sliedrecht";59;103;81;80;89;85;95;77;97;79;73;119
"Sluis";144;132;138;150;173;182;188;212;220;217;220;246
"Smallingerland";138;145;235;240;208;136;133;140;145;148;153;153
"Soest";53;61;78;73;82;65;64;56;57;56;56;81
"Someren";18;20;21;24;30;27;28;28;29;30;30;35
"Son en Breugel";56;58;59;59;59;5;5;6;6;4;6;2
"Stadskanaal";5;4;7;7;7;6;6;11;11;11;11;15
"Staphorst";30;31;33;27;30;29;30;31;32;32;36;53
"Stede Broec";5;5;7;8;6;5;5;5;5;7;9;11
"Steenbergen";38;37;41;53;52;51;66;63;61;41;42;42
"Steenwijkerland";68;76;83;93;97;92;102;108;113;113;111;128
"Stein";19;23;29;26;27;23;28;28;28;24;20;26
"Stichtse Vecht";135;146;179;177;170;196;194;190;196;178;178;245
"Súdwest-Fryslân";100;110;115;123;123;122;133;135;143;136;136;174
"Terneuzen";164;153;169;176;160;165;169;168;168;167;183;196
"Terschelling";11;10;10;10;25;24;24;24;24;20;20;24
"Texel";61;65;70;73;79;78;82;77;79;90;90;96
"Teylingen";37;42;48;60;47;40;39;39;41;41;39;45
"Tholen";49;45;50;53;63;64;62;62;62;68;70;74
"Tiel";127;131;155;153;114;104;104;116;113;115;117;131
"Tilburg";387;411;483;492;376;382;399;397;451;471;494;643
"Tubbergen";15;21;23;22;18;22;22;22;26;29;34;31
"Twenterand";34;37;39;38;35;36;35;40;41;46;45;54
"Tynaarlo";41;43;49;43;44;41;44;46;48;39;39;53
"Tytsjerksteradiel";24;24;25;24;23;22;20;20;20;20;21;21
"Uitgeest";14;17;16;16;16;17;17;17;17;19;17;19
"Uithoorn";69;70;81;83;76;76;78;79;76;83;88;110
"Urk";31;30;34;33;33;33;37;37;37;37;37;43
"Utrecht";1612;1661;1736;1718;1691;1692;1824;1846;1934;1888;1889;2134
"Utrechtse Heuvelrug";136;143;157;157;167;142;146;158;170;150;148;176
"Vaals";11;12;16;22;16;16;12;16;16;16;16;16
"Valkenburg aan de Geul";50;48;56;54;52;56;55;57;57;56;57;65
"Valkenswaard";22;22;28;32;27;22;23;20;36;17;15;17
"Veendam";15;16;16;19;19;21;26;26;24;23;23;24
"Veenendaal";209;217;210;207;215;213;221;220;253;252;266;356
"Veere";203;211;219;220;232;232;235;241;248;255;255;298
"Veldhoven";77;84;97;89;82;50;59;48;45;38;38;41
"Velsen";86;90;99;111;111;99;115;113;113;107;102;103
"Venlo";227;217;269;267;285;285;318;323;335;325;378;440
"Venray";52;58;72;74;72;77;98;100;107;98;96;114
"Vijfheerenlanden";90;119;124;128;136;135;145;140;151;200;201;229
"Vlaardingen";53;47;57;54;60;59;64;59;69;79;76;90
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";94;90;101;105;102;95;119;123;135;118;122;144
"Voerendaal";1;2;5;6;6;6;6;2;6;5;5;5
"Voorschoten";32;30;33;30;38;34;28;28;30;32;32;28
"Voorst";40;37;38;37;37;36;35;33;47;49;49;55
"Vught";61;58;74;84;90;91;98;95;101;88;89;107
"Waadhoeke";22;20;27;33;28;25;27;27;28;23;23;40
"Waalre";16;19;28;28;24;25;25;25;20;16;16;18
"Waalwijk";105;110;115;116;117;115;119;120;189;201;205;240
"Waddinxveen";122;124;124;123;129;130;136;134;138;138;137;172
"Wageningen";115;116;123;143;153;148;148;141;141;146;147;189
"Wassenaar";47;47;62;57;69;66;65;61;65;92;64;86
"Waterland";10;8;11;10;9;10;11;11;11;10;10;12
"Weert";67;75;79;80;54;49;52;51;51;60;62;63
"Weesp";50;54;58;60;68;"";"";"";"";"";"";""
"West Betuwe";83;101;94;88;86;86;92;97;133;115;105;110
"West Maas en Waal";21;19;19;21;18;15;14;14;14;14;16;10
"Westerkwartier";45;49;62;58;63;53;53;54;60;67;68;95
"Westerveld";32;31;37;38;41;50;58;60;61;63;65;77
"Westervoort";1;2;3;5;5;2;2;0;0;0;0;0
"Westerwolde";5;5;9;10;10;8;3;6;7;7;6;7
"Westland";313;362;390;411;406;395;394;402;447;425;414;531
"Weststellingwerf";16;22;19;18;18;17;23;23;27;22;22;25
"Westvoorne";6;5;10;14;12;13;15;13;13;12;12;12
"Wierden";30;38;34;32;31;34;37;35;33;29;28;36
"Wijchen";60;66;70;66;67;68;74;73;109;76;74;109
"Wijdemeren";31;41;48;52;47;26;26;26;26;17;17;21
"Wijk bij Duurstede";8;13;17;18;18;13;13;13;13;17;17;10
"Winterswijk";49;35;42;44;66;79;79;79;79;75;82;62
"Woensdrecht";50;48;52;48;55;57;63;66;72;73;75;73
"Woerden";158;192;194;201;202;204;228;214;212;206;201;292
"Wormerland";12;14;17;16;16;14;18;18;18;18;18;20
"Woudenberg";10;18;21;27;28;22;22;24;26;22;22;12
"Zaanstad";149;173;180;182;162;152;174;173;181;152;144;679
"Zaltbommel";31;42;37;39;58;59;68;69;69;67;67;100
"Zandvoort";35;34;100;101;41;40;40;40;40;40;40;28
"Zeewolde";31;36;44;40;38;40;40;40;50;34;38;50
"Zeist";174;195;238;235;179;172;186;216;214;201;203;270
"Zevenaar";58;74;82;87;76;73;79;77;81;79;79;98
"Zoetermeer";255;261;277;282;267;266;299;301;313;249;249;319
"Zoeterwoude";70;82;75;75;75;73;74;79;79;83;94;95
"Zuidplas";56;53;59;65;68;69;71;71;73;71;71;84
"Zundert";8;9;15;15;14;12;12;12;20;15;17;22
"Zutphen";68;71;63;70;72;74;82;76;75;72;76;90
"Zwartewaterland";54;69;63;66;60;69;70;68;76;62;67;110
"Zwijndrecht";37;46;48;48;48;42;42;44;44;57;57;61
"Zwolle";419;441;473;491;431;416;451;451;461;434;432;501
"Gemeente onbekend";"";"";2;2;"";0;0;"";"";2;"";""
