"Gemeenten";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|December 2020"
"Aa en Hunze";14;14;15;14;18;18;21;12;9;12;12;10
"Aalsmeer";84;88;84;82;84;93;99;72;74;83;82;77
"Aalten";7;8;8;12;10;10;10;9;10;9;10;10
"Achtkarspelen";8;8;8;8;8;7;7;3;3;3;3;3
"Alblasserdam";13;13;13;13;13;11;11;13;12;14;18;22
"Albrandswaard";28;28;30;32;31;31;32;25;21;23;21;23
"Alkmaar";321;264;212;221;212;215;190;178;179;192;194;208
"Almelo";90;89;89;89;90;94;95;90;84;95;86;85
"Almere";296;279;290;292;297;293;272;222;205;232;228;240
"Alphen aan den Rijn";153;155;165;161;177;202;205;131;114;129;143;144
"Alphen-Chaam";3;11;11;11;11;10;11;11;11;10;11;10
"Altena";39;38;40;43;46;45;46;37;32;43;42;43
"Ameland";9;9;9;9;9;10;12;5;4;4;8;7
"Amersfoort";263;276;329;335;341;357;361;242;227;245;291;328
"Amstelveen";173;175;177;180;185;188;198;162;152;186;304;199
"Amsterdam";1688;1695;1721;1715;1750;1782;1818;1585;1570;1686;2165;1856
"Apeldoorn";260;267;269;276;290;281;299;258;250;251;261;271
"Arnhem";216;230;288;289;301;303;310;233;226;229;214;257
"Assen";81;82;86;89;89;95;93;76;70;85;89;95
"Asten";6;6;10;12;12;10;11;8;8;8;8;8
"Baarle-Nassau";8;8;6;6;6;6;6;4;4;5;4;4
"Baarn";35;35;39;36;37;37;36;25;19;18;18;22
"Barendrecht";130;130;135;137;137;139;141;129;124;125;126;121
"Barneveld";103;103;114;110;107;111;115;101;94;94;96;102
"Beek";32;38;40;40;40;40;41;37;35;35;35;36
"Beekdaelen";22;28;28;29;30;30;30;23;21;21;21;23
"Beesel";6;6;6;6;6;6;7;2;2;4;4;4
"Berg en Dal";37;37;37;38;38;38;38;30;27;28;28;33
"Bergeijk";4;5;5;7;7;7;8;2;0;2;2;2
"Bergen (L.)";11;11;11;13;13;11;13;12;12;12;12;12
