"Gemeenten";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke reguliere laadpunten voor elektrische auto's|December 2020"
"Bergen (NH.)";61;54;42;46;45;46;38;26;23;25;23;31
"Bergen op Zoom";96;99;99;103;91;92;90;80;79;90;87;89
"Berkelland";24;28;31;31;32;31;31;26;26;31;27;30
"Bernheze";35;36;37;39;38;36;39;24;19;19;20;22
"Best";50;50;52;56;62;58;100;93;97;97;141;143
"Beuningen";11;11;11;11;11;9;11;7;5;10;14;12
"Beverwijk";51;47;47;44;44;43;41;30;29;30;28;30
"Bladel";16;18;17;17;17;17;15;10;10;11;13;16
"Blaricum";25;27;28;27;27;25;25;13;10;10;10;13
"Bloemendaal";24;23;25;25;24;55;36;11;9;10;12;15
"Bodegraven-Reeuwijk";41;41;59;60;62;79;64;45;42;54;67;72
"Boekel";11;11;15;15;15;15;17;15;15;15;15;15
"Borger-Odoorn";14;16;16;16;16;16;12;12;16;16;28;30
"Borne";7;9;9;9;9;7;7;6;6;6;5;6
"Borsele";21;21;25;25;27;31;33;24;27;27;27;27
"Boxtel";33;34;37;32;34;33;33;27;24;31;30;30
"Breda";290;287;371;362;383;379;401;266;245;283;287;311
"Brielle";20;22;22;22;22;22;21;15;15;15;19;16
"Bronckhorst";16;18;21;23;23;23;24;17;12;14;18;17
"Brummen";15;14;16;16;16;14;14;10;9;9;11;11
"Brunssum";9;9;9;9;9;9;9;7;7;7;7;7
"Bunnik";48;52;49;47;44;52;50;27;30;25;33;31
"Bunschoten";29;31;32;31;31;31;31;21;23;23;25;23
"Buren";15;16;14;14;16;15;15;4;2;2;2;2
"Capelle aan den IJssel";138;139;161;149;150;155;157;134;127;137;144;163
"Castricum";57;50;40;41;41;41;36;27;23;24;29;25
"Coevorden";19;19;20;20;20;19;23;16;14;16;16;17
"Cranendonck";19;18;18;18;18;17;17;15;11;12;11;12
"Culemborg";41;53;53;53;65;54;55;32;27;30;38;42
"Dalfsen";12;11;12;13;13;15;16;12;9;10;11;12
"Dantumadiel";10;8;9;9;9;9;9;7;6;7;7;7
"De Bilt";87;92;78;80;80;83;81;57;53;31;27;31
"De Fryske Marren";30;43;43;44;44;45;49;29;29;32;36;35
"De Ronde Venen";65;66;68;73;77;78;78;48;44;45;45;51
"De Wolden";10;13;11;11;15;15;14;11;10;10;10;11
"Delft";154;161;174;170;166;156;159;141;152;168;188;215
"Den Haag";509;519;528;550;548;577;562;569;548;586;584;597
"Den Helder";42;38;36;36;41;41;40;32;32;33;33;37
"Deurne";17;16;18;18;19;18;18;13;14;14;18;23
"Deventer";157;164;160;160;159;156;157;118;109;157;172;182
"Diemen";115;111;110;122;62;69;67;65;57;57;63;69
"Dijk en Waard";79;68;70;76;73;83;80;55;51;51;51;56
"Dinkelland";11;12;13;15;15;15;18;11;10;12;12;12
"Doesburg";4;4;4;5;5;5;5;4;3;3;3;3
"Doetinchem";48;54;54;55;54;61;61;48;50;56;61;57
"Dongen";11;11;13;11;11;8;9;7;6;7;8;8
"Dordrecht";121;119;126;126;127;130;135;115;108;132;134;161
"Drechterland";9;7;7;7;7;7;7;5;4;5;4;7
"Drimmelen";9;9;11;11;12;12;13;8;4;5;6;5
"Dronten";72;75;71;71;71;67;66;52;52;53;77;57
"Druten";21;21;21;22;24;21;21;13;10;10;10;12
"Duiven";48;49;49;51;50;48;50;32;30;35;77;80
"Echt-Susteren";7;7;7;7;12;9;9;5;5;5;5;6
"Edam-Volendam";25;25;24;24;24;24;25;19;16;16;15;17
"Ede";166;164;158;166;167;173;172;143;135;149;161;159
"Eemnes";21;17;17;17;17;21;19;15;14;14;14;14
"Eemsdelta";21;21;25;27;27;29;29;20;22;25;33;32
"Eersel";32;32;33;35;42;40;42;36;24;31;31;31
"Eijsden-Margraten";12;12;13;13;13;13;13;9;7;10;10;13
"Eindhoven";298;326;310;315;340;344;392;315;316;340;376;369
"Elburg";16;17;18;19;19;19;19;12;14;16;16;16
"Emmen";86;87;92;93;81;78;69;64;67;76;80;80
"Enkhuizen";14;12;12;12;12;16;12;12;10;10;10;11
"Enschede";117;117;129;125;129;129;135;120;118;134;156;145
"Epe";20;27;27;27;27;27;29;25;26;26;26;74
"Ermelo";27;31;31;31;38;38;38;24;24;24;26;30
"Etten-Leur";29;31;33;38;35;35;37;33;30;33;32;30
"Geertruidenberg";33;34;34;34;42;34;35;30;32;34;34;46
"Geldrop-Mierlo";13;11;11;11;27;19;23;22;19;18;18;19
"Gemert-Bakel";15;15;17;18;18;18;18;16;15;15;15;17
"Gennep";13;13;13;16;15;13;13;12;11;13;15;18
"Gilze en Rijen";18;18;18;19;19;19;19;14;13;14;13;13
"Goeree-Overflakkee";52;60;68;76;75;81;85;72;66;78;75;79
"Goes";100;98;102;104;105;106;109;103;105;97;95;105
"Goirle";16;17;15;15;15;14;14;9;7;7;10;19
"Gooise Meren";94;87;88;85;85;85;86;62;54;59;58;66
"Gorinchem";74;74;74;74;75;79;79;68;67;71;71;90
"Gouda";89;91;88;90;90;91;103;77;62;60;70;93
"Groningen";350;357;361;378;385;378;383;328;309;337;373;348
"Gulpen-Wittem";10;10;14;14;17;17;19;19;20;19;21;21
"Haaksbergen";23;23;29;25;25;25;26;13;13;13;15;20
"Haarlem";177;162;147;146;153;155;118;90;87;86;87;93
"Haarlemmermeer";750;742;714;722;732;734;729;658;638;754;777;840
"Halderberge";11;9;12;12;12;12;13;10;9;12;17;18
"Hardenberg";64;64;69;75;83;76;79;75;70;71;73;83
"Harderwijk";58;58;57;57;62;59;59;58;62;67;64;69
"Hardinxveld-Giessendam";32;34;33;33;33;37;37;32;28;34;39;41
"Harlingen";23;23;29;29;34;34;34;34;29;35;42;38
"Hattem";10;10;10;10;10;10;10;4;4;4;4;4
"Heemskerk";22;18;19;13;17;17;18;12;12;12;12;12
"Heemstede";33;34;34;34;34;35;35;15;9;8;8;11
"Heerde";22;22;22;22;22;22;22;16;17;18;18;22
"Heerenveen";97;97;131;136;134;139;140;123;94;95;109;103
"Heerlen";81;81;81;81;89;94;94;80;76;82;81;69
"Heeze-Leende";21;21;25;25;25;24;25;13;12;12;14;12
"Heiloo";27;14;20;21;20;28;28;22;21;21;21;25
"Hellendoorn";26;28;26;27;29;31;37;32;31;30;36;38
"Hellevoetsluis";35;35;34;34;34;34;40;28;23;25;26;25
"Helmond";78;78;81;86;83;84;84;63;60;68;72;73
"Hendrik-Ido-Ambacht";25;19;20;17;19;19;17;9;8;12;14;14
"Hengelo";168;167;169;168;155;155;155;115;110;124;163;163
"Het Hogeland";25;27;27;27;26;27;27;20;18;19;18;16
"Heumen";32;34;34;35;36;36;36;6;4;5;4;4
"Heusden";44;42;42;47;55;43;44;41;38;38;37;39
"Hillegom";15;17;17;19;19;20;20;15;12;13;12;12
"Hilvarenbeek";16;16;16;16;16;16;16;15;15;16;15;15
"Hilversum";263;247;236;232;252;243;230;180;165;172;184;187
"Hoeksche Waard";112;116;120;121;124;122;121;90;71;88;85;99
"Hof van Twente";32;34;33;33;35;36;37;30;23;26;25;23
"Hollands Kroon";20;16;21;17;18;17;17;10;10;7;7;11
"Hoogeveen";50;52;50;57;49;49;49;39;35;42;44;46
"Hoorn";60;55;52;52;53;53;56;37;31;33;35;46
"Horst aan de Maas";21;20;18;18;18;19;19;18;18;18;17;17
"Houten";131;132;120;120;119;126;131;99;95;115;162;147
"Huizen";61;51;51;51;50;53;54;37;37;42;42;45
"Hulst";13;13;18;22;24;26;26;22;19;19;19;17
"IJsselstein";50;45;37;37;40;38;38;29;28;29;29;39
"Kaag en Braassem";31;33;32;32;35;35;40;21;24;22;23;39
"Kampen";32;34;34;34;34;34;34;28;26;26;28;34
"Kapelle";22;24;24;28;29;29;29;24;28;28;28;27
"Katwijk";34;32;32;32;30;29;29;11;10;10;10;14
"Kerkrade";25;25;25;25;29;28;27;27;20;20;24;24
"Koggenland";15;11;11;11;13;13;13;10;11;10;10;16
"Krimpen aan den IJssel";30;28;26;26;30;32;28;16;18;21;22;20
"Krimpenerwaard";33;33;42;46;47;47;47;38;34;34;34;37
"Laarbeek";17;19;17;15;15;16;16;15;16;17;16;17
"Land van Cuijk";82;78;79;78;81;85;82;63;58;59;57;62
"Landgraaf";12;12;17;17;18;22;21;23;22;23;22;22
"Landsmeer";3;4;4;4;5;5;5;1;0;0;1;1
"Lansingerland";123;133;132;133;128;132;133;97;89;97;104;120
"Laren";26;26;29;31;30;29;30;17;13;13;13;13
"Leeuwarden";214;223;225;230;227;222;229;167;147;157;173;168
"Leiden";149;171;192;189;198;211;201;165;156;170;165;178
"Leiderdorp";10;12;14;12;12;16;31;9;10;18;36;32
"Leidschendam-Voorburg";50;55;53;50;57;52;57;48;45;48;59;50
"Lelystad";160;164;166;166;173;174;167;124;121;131;132;157
"Leudal";21;21;23;23;23;22;22;14;14;14;15;14
"Leusden";90;96;95;98;98;100;74;58;55;58;57;61
"Lingewaard";25;25;24;24;34;33;35;26;18;18;18;25
"Lisse";23;21;21;21;21;20;20;17;15;16;18;22
"Lochem";30;30;30;30;30;34;35;19;17;22;22;26
"Loon op Zand";80;115;167;135;135;115;115;111;109;113;114;114
"Lopik";23;25;22;22;22;21;122;14;13;17;17;15
"Losser";16;19;19;19;19;18;19;14;13;14;13;13
"Maasdriel";9;11;14;12;15;17;17;12;7;7;11;9
"Maasgouw";6;6;6;10;9;7;7;4;4;4;3;6
"Maashorst";66;64;66;66;66;67;69;58;56;63;71;74
"Maassluis";19;19;19;19;19;18;18;12;13;13;12;12
"Maastricht";113;111;133;120;121;115;126;117;109;124;141;149
"Medemblik";39;31;32;33;34;36;30;17;14;25;21;26
"Meerssen";6;7;7;7;7;7;8;6;6;8;8;8
"Meierijstad";108;108;110;155;183;178;146;129;128;128;137;138
"Meppel";35;36;38;39;37;39;40;32;32;45;46;46
"Middelburg";25;31;40;42;42;42;42;38;37;40;39;45
"Midden-Delfland";22;22;18;18;18;18;18;10;10;12;16;7
"Midden-Drenthe";37;39;42;44;44;44;44;41;39;42;42;42
"Midden-Groningen";23;22;18;18;18;18;18;9;10;11;16;23
"Moerdijk";40;40;41;41;43;43;43;42;42;43;42;42
"Molenlanden";40;41;43;44;44;46;50;31;28;29;28;37
"Montferland";28;30;28;29;31;31;31;15;14;22;22;24
"Montfoort";13;13;15;15;13;15;15;10;8;8;8;10
"Mook en Middelaar";5;5;6;6;7;7;7;4;2;2;2;2
"Neder-Betuwe";24;24;25;26;29;27;27;22;22;25;27;23
"Nederweert";15;15;15;15;15;15;16;16;10;11;19;17
"Nieuwegein";166;159;159;177;185;176;186;160;126;144;154;164
"Nieuwkoop";21;23;24;22;23;26;27;14;12;14;16;16
"Nijkerk";92;92;89;95;97;96;95;89;77;81;85;110
"Nijmegen";165;181;179;175;186;196;200;156;150;165;167;195
"Nissewaard";73;81;81;79;84;78;80;65;60;66;68;77
"Noardeast-Fryslân";39;39;40;40;40;40;40;30;26;26;34;32
"Noord-Beveland";34;36;51;52;53;54;60;59;52;54;60;54
"Noordenveld";17;17;17;16;16;20;20;11;11;19;19;20
"Noordoostpolder";38;40;38;38;40;49;51;40;39;37;38;43
"Noordwijk";81;82;83;83;87;88;93;82;81;83;82;85
"Nuenen, Gerwen en Nederwetten";16;17;14;14;14;13;14;8;6;9;9;9
"Nunspeet";24;25;27;29;35;35;33;24;24;24;26;25
"Oegstgeest";11;13;15;15;14;15;22;16;15;14;14;16
"Oirschot";22;23;21;21;27;19;19;13;13;13;13;13
"Oisterwijk";33;33;35;35;35;39;45;33;23;24;26;28
"Oldambt";37;38;42;42;40;42;42;40;39;39;47;47
"Oldebroek";28;28;27;31;31;31;31;22;21;23;25;25
"Oldenzaal";26;28;26;26;26;26;25;17;15;20;17;18
"Olst-Wijhe";10;10;10;10;10;11;11;6;4;4;3;3
"Ommen";14;14;16;14;16;18;18;20;22;23;23;25
"Oost Gelre";35;36;36;36;34;34;34;33;34;34;36;28
"Oosterhout";52;55;56;58;65;70;85;66;64;72;75;76
"Ooststellingwerf";30;28;30;30;30;33;35;30;26;27;26;29
"Oostzaan";38;36;36;37;37;37;37;36;35;35;35;32
"Opmeer";10;10;10;10;10;10;8;5;5;5;5;5
"Opsterland";28;28;28;30;34;36;46;43;38;39;32;32
"Oss";78;79;88;88;88;95;92;67;66;81;81;87
"Oude IJsselstreek";29;31;35;35;37;35;35;30;24;32;34;35
"Ouder-Amstel";43;41;43;37;37;37;36;34;34;38;37;38
"Oudewater";6;4;0;0;0;0;0;0;0;1;0;0
"Overbetuwe";51;60;66;66;69;69;70;52;44;64;62;65
"Papendrecht";67;67;68;69;70;72;71;62;41;50;57;41
"Peel en Maas";12;12;12;12;15;17;17;13;11;15;16;14
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";54;59;55;58;57;58;63;40;37;44;46;41
"Purmerend";67;54;50;49;56;63;59;50;45;59;64;64
"Putten";27;27;27;27;29;29;29;24;25;23;24;23
"Raalte";18;26;30;32;31;31;30;18;20;25;27;22
"Reimerswaal";9;9;10;11;11;11;12;8;6;7;6;6
"Renkum";20;18;24;28;28;28;28;20;22;25;28;26
"Renswoude";3;7;3;3;3;3;3;2;2;2;2;2
"Reusel-De Mierden";1;1;1;3;3;3;3;3;3;2;2;2
"Rheden";53;56;55;59;62;62;62;50;48;50;58;58
"Rhenen";15;15;15;15;15;19;19;13;15;14;13;13
"Ridderkerk";65;66;61;60;62;60;59;33;31;49;52;73
"Rijssen-Holten";72;75;75;83;84;90;89;72;69;71;73;78
"Rijswijk";46;47;45;49;50;56;58;40;33;48;66;49
"Roerdalen";15;15;15;15;15;15;15;12;12;12;12;13
"Roermond";108;107;105;107;111;107;121;96;79;81;99;83
"Roosendaal";78;80;79;79;64;69;71;60;58;63;68;72
"Rotterdam";943;990;1018;991;1024;1032;1016;921;814;941;998;1030
"Rozendaal";2;2;2;2;2;2;3;2;3;3;3;3
"Rucphen";4;5;5;5;5;7;5;0;0;0;0;0
"Schagen";63;64;61;69;69;71;69;59;57;63;59;58
"Scherpenzeel";10;10;10;10;14;12;12;13;11;15;17;18
"Schiedam";40;36;39;37;44;42;46;40;39;41;43;45
"Schiermonnikoog";0;0;0;0;0;0;0;0;0;0;0;0
"Schouwen-Duiveland";62;60;79;87;96;108;110;101;106;109;106;108
"'s-Hertogenbosch";338;332;373;357;351;346;346;255;279;288;293;361
"Simpelveld";2;2;2;2;2;2;2;1;1;2;1;1
"Sint-Michielsgestel";19;21;26;22;20;23;23;13;12;12;14;15
"Sittard-Geleen";131;148;146;151;150;145;145;147;145;152;154;172
"Sliedrecht";38;38;37;36;36;39;49;47;40;46;46;50
"Sluis";48;49;60;65;66;75;76;67;61;67;68;65
"Smallingerland";88;91;103;115;155;157;158;139;77;87;95;87
"Soest";45;43;47;47;44;44;44;25;28;44;41;42
"Someren";5;5;5;5;9;5;6;3;2;6;5;5
"Son en Breugel";39;39;36;37;41;41;43;38;33;45;35;37
"Stadskanaal";5;5;6;6;6;6;6;4;4;3;7;3
"Staphorst";23;23;21;23;21;28;27;24;24;29;29;32
"Stede Broec";12;12;13;11;11;11;11;5;4;4;5;4
"Steenbergen";24;22;21;21;21;30;28;23;23;29;26;19
"Steenwijkerland";33;33;39;39;46;49;53;48;46;49;52;49
"Stein";22;22;26;26;26;25;25;17;17;19;17;18
"Stichtse Vecht";140;139;140;141;147;147;150;120;104;108;122;115
"Súdwest-Fryslân";81;80;86;86;86;89;99;77;60;66;68;70
"Terneuzen";54;62;76;79;81;87;93;95;90;99;105;102
"Terschelling";14;10;10;10;12;12;12;12;6;8;6;6
"Texel";46;44;46;48;49;53;50;44;40;47;45;48
"Teylingen";31;32;34;40;34;36;36;19;18;18;18;20
"Tholen";45;59;55;49;55;71;73;102;34;33;33;33
"Tiel";124;127;125;128;129;131;134;118;115;116;118;125
"Tilburg";270;270;279;280;285;312;316;268;262;269;290;313
"Tubbergen";14;14;23;24;28;28;28;26;21;22;21;23
"Twenterand";24;40;39;39;40;40;40;32;17;17;21;16
"Tynaarlo";30;31;31;34;33;40;45;37;30;27;28;26
"Tytsjerksteradiel";19;19;18;20;25;25;25;19;17;17;17;19
"Uitgeest";19;19;16;16;16;16;14;7;6;10;10;14
"Uithoorn";56;54;55;55;55;59;69;48;46;54;52;61
"Urk";20;20;21;23;23;22;24;23;23;23;25;23
"Utrecht";757;765;801;872;907;948;971;883;892;925;971;1125
"Utrechtse Heuvelrug";141;145;143;144;144;146;147;118;105;105;108;119
"Vaals";13;13;13;13;13;13;13;12;12;12;12;12
"Valkenburg aan de Geul";23;23;23;23;28;28;31;25;26;28;32;30
"Valkenswaard";14;17;17;17;19;17;23;21;18;22;23;23
"Veendam";11;11;11;14;12;12;12;12;11;9;9;9
"Veenendaal";155;167;162;162;176;180;184;154;153;164;172;184
"Veere";95;96;90;95;119;119;128;116;114;161;162;160
"Veldhoven";51;56;55;55;75;71;71;62;61;57;58;64
"Velsen";55;50;61;62;62;65;68;53;37;38;40;61
"Venlo";127;130;130;133;134;142;145;120;110;129;135;121
"Venray";31;33;33;35;39;36;37;28;22;32;32;43
"Vijfheerenlanden";67;73;75;75;76;73;82;64;58;80;84;98
"Vlaardingen";30;34;35;32;35;33;33;22;24;30;32;32
"Vlieland";2;2;2;2;2;2;2;0;0;0;0;0
"Vlissingen";25;31;32;32;32;36;38;36;35;37;66;44
"Voerendaal";8;8;9;9;9;9;10;2;1;1;1;1
"Voorschoten";20;20;19;21;17;18;18;15;12;13;12;33
"Voorst";33;32;32;33;33;33;34;26;24;26;28;28
"Vught";35;35;28;28;29;43;46;37;30;36;36;37
"Waadhoeke";8;8;8;10;10;10;9;4;4;6;6;9
"Waalre";9;9;10;10;11;11;13;7;4;6;6;7
"Waalwijk";82;82;78;79;95;101;105;92;90;93;94;93
"Waddinxveen";51;51;49;54;52;52;54;49;43;48;58;55
"Wageningen";66;73;77;77;76;80;84;76;73;70;67;85
"Wassenaar";48;52;53;55;53;55;55;38;33;33;33;35
"Waterland";14;12;9;9;9;9;10;9;9;8;8;8
"Weert";35;35;31;33;40;34;33;24;28;28;28;30
"Weesp";30;28;35;35;33;39;37;32;31;33;33;51
"West Betuwe";90;90;97;95;102;103;105;90;90;93;92;92
"West Maas en Waal";12;12;11;11;12;12;12;10;8;8;8;10
"Westerkwartier";48;50;45;47;49;51;52;37;32;39;44;42
"Westerveld";18;18;18;16;16;18;18;15;14;16;19;19
"Westervoort";2;2;2;2;2;2;2;1;1;1;1;2
"Westerwolde";3;3;3;3;3;4;4;4;5;5;5;4
"Westland";192;200;199;204;222;240;262;206;193;222;219;215
"Weststellingwerf";22;20;22;22;22;18;20;18;15;17;18;19
"Westvoorne";11;12;11;11;11;11;11;5;4;4;5;4
"Wierden";14;15;18;20;24;24;24;18;16;21;31;28
"Wijchen";53;55;52;53;53;55;57;38;41;44;44;49
"Wijdemeren";55;53;50;51;51;53;53;35;29;29;29;31
"Wijk bij Duurstede";14;12;12;12;13;12;12;7;6;6;6;10
"Winterswijk";18;18;22;20;19;21;20;13;13;21;23;30
"Woensdrecht";16;20;24;28;34;33;33;32;30;34;34;36
"Woerden";167;171;177;180;184;183;183;130;115;127;129;149
"Wormerland";24;24;25;27;37;35;33;25;24;24;24;24
"Woudenberg";13;14;15;15;17;11;13;13;10;11;12;11
"Zaanstad";174;128;128;128;140;134;125;108;100;114;141;130
"Zaltbommel";23;24;25;29;25;25;25;19;19;28;31;26
"Zandvoort";8;8;8;8;8;8;16;15;15;15;15;15
"Zeewolde";16;20;24;22;22;23;24;11;8;18;20;17
"Zeist";171;165;166;166;167;176;182;135;131;141;142;173
"Zevenaar";42;42;44;44;44;50;52;40;36;43;43;46
"Zoetermeer";156;156;171;180;185;184;184;171;172;184;177;192
"Zoeterwoude";45;45;42;42;42;42;48;38;38;34;34;29
"Zuidplas";45;45;48;49;49;49;49;40;37;42;42;46
"Zundert";12;12;12;12;14;12;14;8;7;9;9;10
"Zutphen";39;43;54;56;55;54;57;43;47;47;55;49
"Zwartewaterland";41;43;49;51;51;50;51;33;36;38;42;52
"Zwijndrecht";41;42;42;39;39;42;42;27;27;26;26;29
"Zwolle";316;323;310;314;325;331;344;237;241;233;245;285
"Gemeente onbekend";"";"";"";"";"";"";"";"";"";"";"";""
