"Postcodes (PC4)";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|April 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|September 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|November 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|December 2020"
"1119 Schiphol-Rijk";25;26;26;26;26;26;27;26;24;23;21;18
"1121 Landsmeer";71;73;75;74;76;78;81;81;83;85;82;82
"1127 Den Ilp";13;13;14;14;14;16;15;15;14;14;14;14
"1131 Oude Kom";57;57;56;55;56;57;56;55;53;53;55;55
"1132 Blokgouw";61;63;66;67;67;67;68;67;71;71;70;70
"1135 Edam";36;38;38;41;41;41;40;42;43;44;46;49
"1141 Monnickendam";48;50;51;52;51;51;56;58;59;60;61;64
"1145 Katwoude";5;5;5;5;5;5;5;5;5;5;5;6
"1151 Broek in Waterland";21;24;25;26;25;27;29;30;33;35;35;37
"1153 Zuiderwoude";3;3;3;3;3;3;3;3;4;4;4;4
"1154 Uitdam";1;1;1;1;1;1;2;2;2;2;2;2
"1156 Marken";3;3;3;3;3;3;3;4;4;4;4;4
"1161 Zwanenburg";33;33;35;35;38;37;39;38;39;44;45;45
"1165 Haarlemmerliede ca";15;15;15;15;15;12;13;13;12;12;15;16
"1171 Badhoevedorp";73;75;76;80;82;90;97;101;101;101;103;105
"1175 Lijnden";25;25;25;25;25;25;25;26;24;23;23;24
"1181 Randwijck/Elsrijk";94;97;103;103;114;131;136;147;155;161;165;176
"1182 Kaarselaan/Oude dorp";43;43;48;46;46;47;55;62;55;55;56;57
"1183 Kronenburg/Kostverloren/Bankras";67;66;66;69;68;68;69;69;71;74;75;76
"1184 Buurt over Ouderkerk";10;10;11;11;11;11;11;11;11;12;13;13
"1185 Keizer Karelpark";148;155;159;158;152;156;158;165;160;154;167;160
"1186 Groenelaan/Waardhuizen";39;42;44;45;45;50;50;54;54;52;56;61
"1187 Westwijk/Bovenkerk";113;119;119;123;125;129;137;140;146;149;155;164
"1188 Middenhoven";28;28;29;29;28;28;30;30;32;33;37;37
"1189 Nes aan de Amstel";0;0;0;1;1;1;1;1;1;1;1;2
"1191 Ouder-Amstel";61;61;63;65;69;68;68;71;75;74;79;82
"1211 Centrum";25;24;25;25;25;28;30;31;34;34;35;35
"1212 Van Riebeeckkw";7;7;7;7;8;9;10;10;10;10;9;11
"1213 Zuidoostelijke villawijk";75;77;78;79;81;81;83;88;95;94;95;98
"1214 Bloemenkw";21;23;21;21;23;24;24;25;27;27;29;31
"1215 Schrijvers-/Staatsliedenkw";33;33;35;36;37;39;38;39;40;40;42;43
"1216 Havenkw/Kerkelanden";29;29;29;30;33;33;34;32;32;33;35;32
"1217 Noordwestelijke villawijk";118;119;122;120;122;123;131;132;140;140;143;149
"1218 Hilversumse Meent";9;9;10;10;9;10;11;11;11;11;13;16
"1221 Oude wijk over 't spoor";12;12;13;13;13;13;13;14;16;18;19;19
"1222 Nieuwe wijk over 't spoor";14;14;15;16;17;18;20;19;19;19;21;22
"1223 Maranathakerk-/Astronomische buurt";30;30;31;30;32;33;35;36;38;41;41;42
"1231 Loosdrecht";76;79;84;86;86;87;90;93;94;96;101;105
"1241 Kortenhoef";23;25;26;26;27;27;28;28;27;28;29;29
"1243 's-Graveland";14;14;12;13;14;14;13;13;13;14;15;16
"1244 Ankeveen";13;13;14;15;16;15;15;14;14;15;15;14
"1251 Laren";136;139;141;142;148;150;154;158;165;174;175;182
"1252 Laren";4;5;6;6;6;6;5;5;6;6;7;7
"1261 Blaricum";135;140;140;144;147;147;152;157;162;167;171;182
"1262 Blaricum";10;10;11;11;11;11;11;11;11;11;11;11
"1271 Oude Dorp/Havengebied";77;77;76;76;78;77;82;83;83;84;84;80
"1272 Overige wijken";59;64;64;65;64;65;68;72;76;80;80;81
"1273 Huizermaat";26;27;29;29;29;29;31;31;34;34;35;34
"1274 Bovenmaten";6;8;9;9;11;11;12;12;11;11;11;11
"1275 Bijvanck";2;2;2;2;2;2;2;2;2;2;2;2
"1276 Zenderwijk/Bovenweg/Stad en Lande";23;23;25;25;24;24;25;26;29;28;30;32
"1277 Filosofenbuurt";11;12;12;12;13;13;14;14;14;14;14;15
"1309 Overig";0;0;0;0;0;0;0;0;0;0;0;0
"1311 Muziekwijk";11;11;11;11;12;12;13;15;13;13;15;17
"1312 Muziekwijk (tnv spoorlijn)";19;20;21;23;24;26;28;29;29;30;30;32
"1313 Kruidenwijk";12;13;14;13;13;16;17;18;18;19;20;21
"1314 Staatsliedenwijk";4612;4493;4409;4287;4198;4112;3989;3871;3725;3460;3153;2615
"1315 Centrum-Stad";15;15;15;16;18;17;18;18;19;19;20;23
"1316 Wijk tnv Hogering";24;23;22;22;22;23;23;24;27;29;30;31
"1317 Waterwijk";5;5;5;6;6;6;7;7;7;7;10;10
"1318 Verzetswijk";18;19;21;22;27;28;28;28;29;29;29;32
"1319 Almere";57;58;59;60;59;61;63;66;67;70;74;81
"1321 Literatuurwijk";37;40;42;43;47;54;56;57;59;62;63;65
"1322 De Korver";403;390;386;376;367;358;350;336;324;287;260;209
"1323 Muziekwijk (tzv spoorlijn)";5;6;6;7;6;7;7;9;8;10;9;9
"1324 Stedenwijk";9;10;10;10;11;12;11;11;12;15;15;15
"1325 Filmwijk";26;28;28;29;32;32;31;34;34;39;43;45
"1326 Parkwijk";25;26;26;26;27;27;27;29;32;33;35;35
"1327 Almere";3881;3775;3647;3525;3430;3318;3197;3107;2987;2836;2648;2249
"1328 Almere";26;27;29;29;30;32;34;38;40;41;41;42
"1329 Almere";3;3;2;2;2;2;2;2;2;2;2;2
"1331 De vaart";5;5;5;5;5;4;4;4;5;5;4;4
"1332 De Vaart";16;16;16;14;13;13;13;13;14;14;13;12
"1333 Bouwmeester-/Landgoederen-/Molenbrt";25;27;26;26;27;29;30;32;30;32;33;34
"1334 Centrum Haven/Buiten";5;5;5;6;7;7;6;6;7;8;9;10
"1335 Seizoenenbuurt";37;38;39;40;42;49;51;55;57;58;56;60
"1336 Almere";19;22;21;22;24;28;28;31;33;34;36;38
"1338 Bloemen-/Faunabrt";18;18;18;20;23;25;27;29;30;31;32;36
"1339 Regenboogbuurt";24;30;30;33;32;33;35;40;41;41;42;44
"1341 Landelijk gebied Almere-oost";6;6;6;6;8;8;12;12;14;15;15;15
"1343 Hout";18;18;18;18;18;18;21;22;23;24;26;25
"1349 Landelijk gebied Almere-oost";15;15;15;16;17;17;18;18;18;22;26;28
"1351 Steiger/Gouwen/Paal";11;13;14;13;13;14;16;16;17;17;18;20
"1352 De Gouwen/de Paal";4;4;4;4;4;4;4;5;5;5;5;5
"1353 De Wierden";7;7;7;7;7;8;8;7;7;7;7;6
"1354 Werven/Hoven";5;5;5;5;5;5;5;5;6;6;6;6
"1355 De Marken";5;5;6;6;6;6;6;6;6;6;7;7
"1356 Grienden";4;4;4;4;4;4;4;4;4;5;5;5
"1357 De Meenten";11;12;12;13;13;13;13;13;13;12;12;13
"1358 Windhoek/Cirkelbos";16;16;16;16;17;18;20;21;22;22;23;21
"1359 De Velden";16;16;16;15;14;14;14;14;15;16;17;17
"1361 Almere";19;19;19;20;20;20;20;20;21;19;20;21
"1362 Almere";6;6;6;6;6;6;5;5;5;4;3;2
"1363 Almere";44;47;47;49;52;55;62;70;72;76;76;77
"1381 Centrum/Zuid";24;27;27;27;29;30;31;31;34;35;37;41
"1382 Noord/Hogewey/Bloemendalerpolder";45;45;41;42;44;48;50;51;53;53;52;48
"1383 Aetsveld";11;11;11;11;11;11;11;11;11;12;12;12
"1384 Noord";2;2;2;2;2;2;3;5;5;6;7;8
"1391 Abcoude";59;62;62;61;60;60;64;66;69;72;74;80
"1393 Nigtevegt";13;13;13;14;13;13;12;12;12;13;13;13
"1394 Nederhorst den Berg";36;35;35;36;37;37;37;38;39;45;47;47
"1396 Baambrugge";6;5;5;5;5;6;7;7;8;8;8;8
"1398 Muiden";22;22;22;22;21;23;25;27;29;29;29;28
"1399 Muiderberg";17;18;18;19;19;19;20;20;20;20;21;22
"1401 Brediuskw/Verbindingslaan";35;37;38;40;39;42;42;43;44;44;48;47
"1402 Centrum/Eng";28;30;30;32;35;37;37;35;36;38;40;45
"1403 Ooster-/Midden-/Wester Eng";16;17;18;20;23;24;24;23;25;26;27;29
"1404 Centrum/Brediuskw";14;15;14;14;14;14;14;15;15;15;15;14
"1405 Lomanplein/Schimmellaan/Boslaan";33;35;35;35;35;33;33;33;33;34;35;36
"1406 Koedk/Bieghel/Meijerkamp/Fr Kamp/Spiegelz";30;32;34;36;37;36;37;38;39;40;40;42
"1411 Vesting";92;94;98;97;98;102;106;112;119;121;123;118
"1412 Parken/Naardermeer/Zuidwest III";49;52;55;57;55;57;61;60;63;65;66;71
"1421 Centrum/Thamerdal";21;22;22;23;24;25;24;25;26;28;28;28
"1422 Zijdelwaard/Legmeer/Noorddam/Europarei";51;52;51;52;53;51;52;56;55;56;56;53
"1423 Meerwijk";25;26;29;29;30;30;33;34;36;36;37;39
"1424 De Kwakel";47;46;46;45;45;46;48;47;47;47;48;47
"1426 De Hoef";5;6;6;6;6;6;6;4;5;5;6;6
"1427 Amstelhoek";3;3;3;3;4;4;4;6;6;6;6;6
"1428 Vrouwenakker";0;0;0;0;0;0;0;0;0;0;0;0
"1431 Aalsmeer";78;84;84;82;83;84;85;82;89;89;90;93
"1432 Oosteinde";50;51;52;55;56;57;59;57;59;59;63;64
"1433 Kudelstaart";29;29;30;30;30;31;33;35;36;37;37;37
"1435 Rijsenhout";24;24;25;25;25;26;27;26;26;28;30;30
"1436 Aalsmeerderbrug";1;1;2;2;2;2;2;2;2;2;2;2
"1437 Rozenburg";11;10;10;10;10;11;14;14;13;13;14;14
"1438 Oude Meer";2;2;2;2;2;2;3;3;3;3;2;2
"1441 Purmerend";34;33;34;34;39;41;44;43;44;45;48;50
"1442 Overwhere-Z";12;12;12;12;13;13;14;15;13;14;17;16
"1443 De Wheermolen";9;10;12;12;12;13;13;13;14;14;14;14
"1444 Overwhere-N";8;8;9;9;10;11;11;11;11;11;11;13
"1445 Purmer-N";17;16;17;17;17;17;19;20;22;22;24;30
"1446 Landelijk gebied Purmer-N";55;60;57;56;51;51;51;49;47;48;42;40
"1447 Purmer-Z";26;28;30;30;32;35;40;44;45;46;45;47
"1448 Melkweg";64;67;71;70;71;72;74;78;81;87;92;100
"1451 Purmerland";4;4;4;4;4;4;4;4;4;4;4;4
"1452 Ilpendam";6;6;7;7;7;9;9;9;9;9;9;9
"1454 Watergang";8;8;8;8;9;9;9;9;10;10;12;13
"1456 Wijdewormer/Jisp";7;8;7;7;7;7;7;7;7;7;8;9
"1458 Spijkerboor";1;1;1;1;1;1;1;1;1;1;1;1
"1461 Zuidoostbeemster";31;31;31;32;32;34;34;35;38;39;42;43
"1462 Middenbeemster";31;30;30;33;35;36;38;38;38;38;40;43
"1463 Noordbeemster";4;4;4;4;4;4;4;4;5;5;5;5
"1464 Westbeemster";8;8;8;8;8;8;7;7;7;7;7;7
"1471 Kwadijk";12;12;12;12;12;11;10;10;10;10;10;9
"1472 Middelie";5;6;7;7;7;7;7;6;6;7;7;7
"1473 Warder";6;5;5;5;6;6;7;7;7;7;8;8
"1474 Oosthuizen";12;12;12;13;13;13;14;14;16;17;19;20
"1475 Beets";4;4;4;4;5;5;5;5;5;5;5;5
"1476 Schardam";3;2;2;2;2;2;1;1;1;1;1;1
"1477 Hobrede";1;1;1;1;1;1;1;1;1;1;1;1
"1481 Purmer";1;1;1;1;1;1;1;1;1;1;2;2
"1482 De Purmer (ged)";4;4;4;4;4;4;4;4;4;4;4;4
"1483 De Rijp";17;19;19;19;21;23;23;23;27;27;28;28
"1484 Graft";5;5;6;6;7;7;8;8;8;8;8;8
"1485 Noordeinde";"";"";"";"";"";"";0;0;0;0;0;0
"1486 West-Graftdijk";3;4;4;4;4;4;5;5;5;5;5;5
"1487 Oost-Graftdijk";2;2;2;2;2;2;2;2;2;2;2;2
"1488 Starnmeer";2;2;2;2;2;2;2;3;3;3;3;3
"1489 De Woude";1;1;1;1;2;2;2;2;2;2;2;2
"1501 Transvaal-/Burgem-/Keppler-/P Hendrik-/Mz";10;11;11;12;14;14;14;16;18;19;19;21
"1502 Rosmolen-/Scheepmakersbrt";8;8;10;10;11;11;11;12;13;14;17;17
"1503 Nieuw-oost/Kalf";20;20;22;22;22;24;26;28;30;32;30;31
"1504 Poelenburg";9;10;12;12;13;14;15;14;14;15;16;16
"1505 Oud-oost";31;31;29;28;28;29;29;28;28;27;28;27
"1506 West";48;49;50;51;52;54;54;55;56;57;59;61
"1507 Westzijderveld";42;41;43;43;51;54;55;56;61;64;66;65
"1508 Juliana-/Boerejonkerbrt/Kogerveld";12;12;11;11;11;11;13;12;13;13;14;14
"1509 Kalf/Zaanse Schans";14;14;15;15;16;16;15;16;18;19;22;22
"1511 Oostzaan";64;65;68;69;69;69;70;75;76;73;71;76
"1521 Wormerveer";73;72;74;75;72;73;69;73;73;75;74;68
"1525 West-Knollendam";8;8;6;7;7;7;6;6;5;6;5;5
"1531 Wormer";55;54;57;58;57;59;59;61;65;65;63;65
"1534 Oost-Knollendam";2;2;2;2;2;2;2;2;2;2;3;4
"1536 Marken-binnen";3;3;3;3;3;3;3;3;3;3;2;3
"1541 Koog aan de Zaan";29;29;32;32;34;34;35;36;36;37;37;39
"1544 Zaandijk";18;21;20;21;23;25;27;29;29;30;30;33
"1546 Jisp";8;7;7;7;7;7;7;7;7;6;5;5
"1551 Westzaan";33;34;34;37;37;38;38;39;39;40;42;43
"1561 Krommenie";14;15;16;16;16;16;16;16;18;19;22;26
"1562 Krommeniedijk/Noorder-/Zuiderham/Rosarium";25;27;29;30;30;30;30;31;30;32;33;37
"1566 Assendelft";56;59;61;60;62;64;67;71;74;76;80;80
"1567 Assendelft";41;42;41;42;45;48;50;53;56;54;58;62
"1601 Enkhuizen";35;35;34;35;37;37;37;36;36;37;40;41
"1602 Noord";17;18;18;19;19;22;22;22;27;31;29;29
"1606 Venhuizen";16;16;17;17;17;15;15;15;14;15;17;18
"1607 Hem/De Hout/Blokwijk";13;13;13;13;13;13;14;14;15;15;17;17
"1608 Wijdenes";15;16;15;15;15;15;15;15;15;15;16;17
"1609 Oosterleek";1;0;0;0;0;0;0;0;0;0;0;0
"1611 Bovenkarspel";30;31;31;30;33;34;37;38;37;38;37;38
"1613 Grootebroek";29;29;29;29;29;31;32;32;33;33;33;34
"1614 Lutjebroek";6;6;6;6;7;7;8;8;7;7;7;6
"1616 Hoogkarspel";31;32;34;35;34;35;37;37;38;39;41;41
"1617 Westwoud";10;10;10;10;10;11;11;11;10;10;10;10
"1619 Andijk";43;44;43;43;44;46;46;46;47;47;48;47
"1621 Sportbuurt";32;34;36;39;40;41;41;42;44;43;46;43
"1622 Grote Waal";13;12;12;12;12;12;13;14;14;17;20;25
"1623 Parkbuurt";12;11;11;11;12;12;13;14;15;16;17;17
"1624 Nieuwe ziekenhuis";13;15;16;16;19;20;21;21;23;25;25;24
"1625 Risdam-Z";50;51;51;51;51;52;52;52;53;56;57;57
"1627 Lagewegkw";12;12;11;10;10;9;9;9;10;8;8;7
"1628 Kersenboogerd";50;51;53;55;58;60;63;73;77;81;81;84
"1631 Oudendijk";3;3;3;3;3;3;3;3;2;2;2;2
"1633 Avenhorn";11;11;11;11;11;14;16;16;16;15;16;18
"1634 Scharwoude";0;1;1;1;1;1;1;1;1;1;1;1
"1636 Schermerhorn";2;2;3;3;3;4;4;4;5;5;5;5
"1641 Spierdijk";3;3;3;4;4;4;4;4;5;5;5;5
"1642 Spierdijk";"";"";"";"";"";"";0;0;0;0;0;0
"1643 Spierdijk-noord";4;4;4;4;4;4;4;5;5;6;6;6
"1645 Wester-Koggenland";9;10;10;10;10;10;12;12;15;15;17;17
"1646 Ursem";1;1;1;2;2;2;2;1;1;1;1;1
"1647 Berkhout";14;14;14;14;14;14;14;14;13;14;14;15
"1648 De Goorn";20;20;21;20;19;20;20;20;19;19;19;18
"1652 Zuidermeer";1;1;1;1;1;1;1;1;1;1;1;1
"1654 Benningbroek";3;4;4;4;4;4;4;3;3;4;4;5
"1655 Sybekarspel";6;6;7;7;7;7;7;7;7;7;7;7
"1657 Abbekerk";7;7;7;7;7;7;8;8;8;8;8;8
"1658 Lambertschaag";1;1;1;1;1;1;1;1;1;1;1;1
"1661 De Weere";2;2;2;2;3;3;3;3;3;3;3;3
"1662 Gouwe-Noord";0;0;0;0;0;0;0;0;0;0;0;0
"1663 de Weere";"";"";"";"";"";"";"";"";"";"";"";""
"1671 Medemblik";34;35;34;33;33;35;35;33;35;36;39;39
"1674 Opperdoes";5;4;4;5;4;5;7;7;6;6;6;6
"1676 Twisk";15;15;15;14;14;12;12;12;12;12;12;11
"1678 Oostwoud";4;4;3;3;3;4;4;4;4;4;4;4
"1679 Midwoud";13;13;13;13;14;15;16;15;15;16;16;16
"1681 Zwaagdijk-O";17;17;17;17;18;18;17;17;17;17;17;15
"1682 Zwaagdijk-2 (Wervershoof)";1;1;1;1;1;1;1;1;1;1;1;1
"1683 Zwaagdijk-3 (Wervershoof)";2;2;2;2;2;2;2;2;2;2;2;3
"1684 Zwaagdijk-oost";2;3;3;3;3;3;3;3;3;3;3;3
"1685 Zwaagdijk-west";3;3;3;4;4;5;5;5;5;6;6;6
"1686 Zwaagdijk-6 (Wognum)";"";"";"";"";"";"";"";0;0;0;0;0
"1687 Wognum";43;46;44;45;47;47;50;53;53;51;51;55
"1688 Nibbixwoud";11;11;11;11;11;11;11;11;11;12;13;13
"1689 Zwaag";82;88;88;87;90;92;99;105;107;105;108;110
"1691 Hauwert";2;2;2;2;2;2;2;2;2;2;3;3
"1692 Hauwert";0;0;0;0;0;0;0;0;0;0;0;0
"1693 Wervershoof";37;38;37;37;38;41;43;41;42;43;43;45
"1695 Blokker";22;22;23;24;24;24;25;25;25;26;25;26
"1696 Oosterblokker";9;10;11;11;11;11;13;13;12;13;13;15
"1697 Schellinkhout";8;8;8;8;9;9;9;9;9;9;9;9
"1701 Middenweg/Raadhuis-/Schildersbrt/'t Kruis";22;23;27;26;27;29;29;28;28;30;30;31
"1702 Schrijvers-/Bomenbrt";19;19;19;19;21;21;20;22;21;20;21;22
"1703 Molen-/Rivieren-/Edelstenenbrt";42;43;45;46;48;49;49;50;51;53;52;53
"1704 De Hoord/Frik/Veenhuizen";89;89;88;87;90;89;97;97;99;101;103;100
"1705 't Kruis";40;44;47;49;52;53;56;58;62;65;65;69
"1706 Oosterweg";6;5;5;7;9;9;9;9;11;12;12;13
"1711 Hensbroek";8;8;8;8;8;10;10;10;10;10;10;10
"1713 Obdam";25;25;25;27;26;27;28;28;28;32;31;31
"1715 Spanbroek";15;16;16;16;16;17;16;16;16;18;20;22
"1716 Opmeer";13;14;13;12;12;12;12;10;12;12;12;12
"1718 Hoogwoud";12;12;12;12;13;15;15;15;15;15;16;16
