"Postcodes (PC4)";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|April 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|September 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|November 2020";"Plug-in hybride  voertuigen (PHEV) totaal, geregistreerd bij eigenaar|December 2020"
"1011 Nieuwmarkt/Lastage";43;30;30;31;31;31;34;35;35;36;36;36
"1012 Burgwallen";36;39;37;36;35;36;35;35;35;37;39;40
"1013 W havengebied/Westerpark/Haarlemmerbrt";78;81;83;86;90;89;97;95;95;89;90;93
"1014 Sloterdijk";53;50;50;48;50;47;45;47;50;49;50;51
"1015 Grachtengordel-W/Jordaan";60;61;65;66;66;69;71;74;73;76;77;75
"1016 Jordaan";57;57;60;63;64;67;72;74;76;77;78;80
"1017 Grachtengordel-Z/Weteringschans";104;110;110;108;109;111;116;120;125;130;135;135
"1018 Weesperbrt/Plantage/O-Eilanden/Kadijken";62;63;67;67;66;68;68;68;68;72;78;78
"1019 Oostelijk Havengebied";72;72;72;72;72;74;74;75;77;78;81;81
"1021 IJplein/Vogelbrt/Nieuwdammerham";17;17;17;18;19;18;18;19;20;20;21;21
"1022 Amsterdam Vliegenbos";11;12;13;13;13;13;18;18;17;16;17;18
"1023 Tuindorp Nieuwendam/Waterland";17;17;17;19;19;19;20;20;20;19;19;20
"1024 Nieuwendam-N";12;13;13;14;16;16;16;16;18;19;21;22
"1025 Buiksloot";22;25;26;26;27;29;29;31;32;33;31;33
"1026 Durgerdam en Ransdorp";5;5;6;6;6;6;6;6;7;7;7;7
"1027 Zunderdorp e.o.";4;4;4;5;5;5;5;5;5;5;5;5
"1028 Waterland";4;4;5;5;5;5;6;6;6;6;6;6
"1031 Buiksloterham";21;23;24;25;26;27;27;31;29;30;33;33
"1032 Volewijck";13;12;12;13;13;15;16;17;17;17;17;18
"1033 Tuindorp Oostzaan";181;173;168;165;160;154;150;141;140;130;126;116
"1034 Banne Buiksloot";25;28;27;29;33;34;34;34;36;37;38;38
"1035 Oostzanerwerf/Kadoelen";25;26;26;27;28;29;32;34;35;36;36;37
"1036 Tuindorp Oostzaan";6;7;7;7;6;7;7;8;8;8;7;6
"1037 Zijkanaal H (A'dam-Noord)";2;2;2;2;2;2;2;2;2;2;2;2
"1041 Jan van Riebeeckhaven e.o.";5;5;5;6;6;6;6;6;6;6;6;6
"1042 Westelijk havengebied";22;22;22;22;21;22;22;22;22;20;21;16
"1043 Spieringhorn";118;112;104;104;99;96;92;90;89;82;76;64
"1044 Westelijk havengebied";4;3;3;3;3;3;3;3;2;1;1;1
"1045 Westelijk havengebied";4;4;4;4;4;4;3;3;3;3;4;4
"1046 Bedrijventerrein Sloterdijk";20;20;18;18;18;19;20;22;23;24;26;27
"1047 Ruigoord";4;5;4;4;3;3;2;2;2;2;1;1
"1051 Staatsliedenbrt/Centrale Markt";34;34;36;36;36;40;40;39;38;35;32;33
"1052 Frederik Hendrikbrt";21;23;24;24;24;27;28;28;30;29;30;31
"1053 Da Costa-/Kinker-/Van Lennepbrt";27;26;27;27;28;32;32;32;33;35;35;36
"1054 Helmersbrt/Overtoomse Sluis/Vondelbrt";60;60;61;62;64;70;75;75;76;79;81;83
"1055 Bos en Lommer";21;21;21;22;22;25;24;24;27;29;29;29
"1056 Kommert/Van Galenbrt";13;14;14;16;20;26;28;29;31;31;32;33
"1057 Hoofdweg/Overtoomse Veld";16;19;21;23;23;25;26;27;31;31;32;34
"1058 Westindische-/Hoofddorppleinbrt";33;36;37;35;37;37;41;41;44;42;45;46
"1059 Aalsmeerweg e.o";34;33;32;32;32;33;33;33;33;35;36;37
"1060 Middelveldsche Akerpolder Sloten";29;30;37;37;38;46;47;50;45;45;75;79
"1061 De Kolenkit";15;17;19;22;22;25;25;26;27;28;29;31
"1062 Westlandgracht";29;31;33;35;35;35;35;36;35;36;38;41
"1063 Slotermeer-NO";11;11;11;12;14;16;17;18;20;21;24;26
"1064 Slotermeer-ZW";19;20;21;23;27;31;30;32;31;30;35;35
"1065 Slotervaart";14;14;14;15;15;17;19;21;21;22;22;20
"1066 Sloten-/Riekerpolder";57;57;58;58;63;64;66;70;71;73;70;71
"1067 Geuzenveld/Lutkemeer/Ookmeer";39;37;43;45;46;48;56;58;63;65;68;70
"1068 Osdorp-O";20;20;20;23;26;27;30;33;30;34;34;38
"1069 Osdorp-M/De Punt/Sloten";61;61;62;64;67;68;76;82;87;91;96;93
"1071 Museumkw/Duivelseiland";108;108;112;113;115;120;125;126;129;136;135;138
"1072 De Pijp";25;25;25;25;26;26;25;27;31;34;37;39
"1073 Diamantbuurt";18;20;22;21;21;21;21;21;24;26;26;27
"1074 Amsteldijk-Wesi";15;16;18;18;18;19;20;22;23;24;25;24
"1075 Schinkelbrt/Willemspark";63;67;69;69;70;68;70;70;74;75;75;74
"1076 Stadionbuurt";49;48;48;46;49;50;53;54;56;58;57;58
"1077 Apollobuurt";149;127;126;130;133;133;135;138;139;141;143;152
"1078 Rivierenbuurt";45;46;49;48;52;55;57;62;65;67;69;74
"1079 Rijnbuurt";28;27;30;29;28;29;31;33;33;35;36;37
"1081 Nieuwe Meer e.o";39;38;38;37;39;41;47;48;49;50;49;48
"1082 Buitenveldert-W";117;117;114;111;112;114;115;111;109;108;111;102
"1083 Buitenveldert-O";32;35;33;34;34;37;42;43;41;39;38;38
"1086 IJburg";14;14;15;16;17;18;19;19;22;22;22;23
"1087 IJburg";89;91;93;94;94;97;106;108;109;115;118;123
"1091 Oost";29;33;32;32;32;33;34;37;38;40;40;40
"1092 Transvaalbuurt";13;15;18;18;18;19;19;18;17;17;16;16
"1093 Dapperbuurt";18;17;17;17;18;16;16;16;17;17;19;19
"1094 Indische Buurt-W";7;7;7;8;11;11;11;10;11;13;12;12
"1095 Zeeburg";21;21;21;21;21;21;20;19;21;22;24;25
"1096 De Omval";41;40;41;41;43;44;45;45;44;43;41;40
"1097 Frankendael/Betondorp";22;25;25;26;28;30;30;32;31;31;31;33
"1098 Middenmeer";38;39;39;40;41;44;46;48;48;51;53;56
"1101 Amstel III/Bullewijk";89;89;96;96;95;93;108;107;111;113;104;92
"1102 Bijlmer-C (D,F,H,)";311;310;313;312;316;317;323;324;322;328;330;327
"1103 Bijlmer oost (e,g,k)";21;23;23;25;25;23;25;26;27;27;28;29
"1104 Bijlmer-O (E,G,K)";13;14;15;16;18;21;21;21;23;25;27;28
"1105 Amstel III / Bullewijk";6;9;9;9;11;10;11;12;11;14;13;9
"1106 Zuidoost";16;16;16;16;19;20;20;22;24;27;29;30
"1107 Reigersbos";4;5;5;5;6;7;8;12;13;14;14;15
"1108 Nellestein";6;6;6;6;6;8;8;9;9;9;10;10
"1109 Driemond";8;7;7;7;7;9;9;10;10;10;10;10
"1111 Centrum/Noord";33;34;36;37;39;38;42;42;45;46;50;52
"1112 Zuid";39;38;39;39;40;45;50;52;51;50;50;49
"1113 Noord";11;11;11;12;13;12;13;12;15;17;18;18
"1114 Industriegebied Amstel";46;50;49;52;52;55;49;51;51;48;41;38
"1115 Duivendrecht";19;19;19;19;20;21;23;24;23;22;23;22
"1117 Schiphol";60;60;58;52;51;45;42;41;42;40;39;8
"1118 Schiphol";11;12;15;14;15;15;17;16;15;12;14;15
