"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2021";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2021"
"Aa en Hunze";2;2;2;2;2;2;2;2;12;18;18;22
"Aalsmeer";148;148;148;154;154;154;158;170;178;182;177;184
"Aalten";20;20;22;22;22;22;22;22;22;22;54;62
"Achtkarspelen";12;12;12;12;12;12;14;14;16;16;14;14
"Alblasserdam";38;38;38;40;46;46;46;46;46;48;51;56
"Albrandswaard";96;96;102;98;98;98;114;114;114;114;114;110
"Alkmaar";440;440;476;480;488;488;496;504;524;526;549;557
"Almelo";51;49;53;51;51;51;51;51;51;51;60;63
"Almere";560;558;607;615;639;639;716;724;760;776;856;896
"Alphen aan den Rijn";523;547;565;577;587;589;608;608;619;622;612;620
"Alphen-Chaam";9;9;9;9;9;9;9;9;9;9;9;13
"Altena";79;85;85;85;86;86;86;86;86;86;86;86
"Ameland";6;6;6;6;6;6;6;6;4;4;8;9
"Amersfoort";660;688;728;736;740;740;752;754;764;766;765;805
"Amstelveen";630;645;664;658;670;666;689;692;726;734;737;736
"Amsterdam";4783;4802;5155;5103;5089;5109;4963;5194;5192;5179;5260;5404
"Apeldoorn";263;273;295;293;287;290;328;331;345;344;340;339
"Arnhem";569;577;581;588;590;596;621;616;626;636;629;635
"Assen";51;55;59;61;63;65;87;93;93;95;89;98
"Asten";10;14;14;18;18;20;18;20;20;20;20;20
"Baarle-Nassau";4;4;6;6;6;6;6;6;6;6;6;6
"Baarn";32;32;36;36;38;38;38;38;38;38;38;46
"Barendrecht";207;219;222;221;221;221;225;227;245;231;226;232
"Barneveld";145;159;175;162;158;160;167;171;179;178;186;180
"Beek";3;3;3;3;3;3;3;3;3;3;3;3
"Beekdaelen";14;14;16;14;14;16;16;16;16;16;18;20
"Beesel";4;4;8;4;4;4;4;2;2;2;2;4
"Berg en Dal";46;46;48;48;48;48;48;50;50;52;50;52
"Bergeijk";6;6;6;8;8;6;6;6;6;6;14;16
"Bergen (L.)";15;15;25;17;17;17;19;19;19;19;17;21
"Bergen (NH.)";92;92;110;112;112;110;126;124;128;132;140;142
"Bergen op Zoom";110;114;117;123;129;131;135;135;135;137;150;154
"Berkelland";22;22;24;24;24;24;24;24;24;24;22;22
"Bernheze";26;26;34;32;34;34;38;38;38;38;40;40
"Best";50;50;58;60;60;62;64;70;70;70;70;70
"Beuningen";27;27;29;27;25;25;25;25;27;27;29;29
"Beverwijk";77;76;80;78;80;80;78;80;86;88;83;86
"Bladel";14;14;14;14;14;14;14;14;14;14;15;18
"Blaricum";28;28;28;28;30;30;32;32;32;32;32;32
"Bloemendaal";78;78;82;84;86;86;86;86;90;90;87;90
"Bodegraven-Reeuwijk";66;78;78;78;78;78;82;82;91;93;94;92
"Boekel";7;7;7;7;7;7;7;7;7;7;6;6
"Borger-Odoorn";4;4;4;4;4;4;6;6;4;4;6;4
"Borne";20;22;24;26;26;26;28;28;28;28;28;29
"Borsele";10;10;10;10;10;10;18;18;22;24;20;12
"Boxtel";62;62;72;56;56;56;56;58;56;56;58;64
"Breda";644;646;683;693;697;698;700;745;757;763;773;780
"Brielle";77;79;84;84;82;82;92;92;96;98;95;95
"Bronckhorst";30;30;30;30;32;32;36;36;36;36;35;37
"Brummen";16;20;20;24;24;24;26;26;26;26;25;24
"Brunssum";18;18;20;20;20;20;22;22;22;24;28;28
"Bunnik";71;71;71;71;71;71;71;71;71;71;73;77
"Bunschoten";8;8;26;28;28;28;30;30;32;32;36;36
"Buren";18;18;18;18;18;18;19;19;19;19;18;18
"Capelle aan den IJssel";180;182;200;204;206;208;224;230;230;238;252;248
"Castricum";116;117;121;125;133;133;143;147;157;169;173;171
"Coevorden";9;9;9;9;9;9;9;9;9;9;11;17
"Cranendonck";8;8;10;12;12;12;12;12;12;12;10;12
"Culemborg";115;122;122;126;118;119;121;132;150;150;188;185
"Dalfsen";36;36;36;36;36;36;41;41;41;41;40;38
"Dantumadiel";6;6;6;6;6;6;6;6;6;6;6;6
"De Bilt";134;134;134;134;134;134;142;142;152;154;155;158
"De Fryske Marren";16;16;18;16;14;14;18;18;20;21;18;22
"De Ronde Venen";110;114;114;116;146;144;178;180;188;188;186;192
"De Wolden";20;21;22;22;22;22;26;26;26;24;26;25
"Delft";284;292;308;311;317;322;358;368;380;382;350;359
"Den Haag";2911;2965;3170;3240;3268;3272;3388;3412;3428;3424;3184;3494
"Den Helder";66;66;70;74;76;76;86;91;96;102;110;108
