Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2020;Noord-Limburg (CR);     1.3;     0.7;     2.5;     4.9;     7.3;     2.1;     4.7;     7.6;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     3.5;    43.5;     3.6;     5.9;     0.8;     1.3;     3.5;    13.1;     5.4;     8.7;     5.8;     5.9
2021;Noord-Limburg (CR);     1.3;     0.7;     2.5;     4.7;     7.4;     2.1;     4.8;     7.7;       .;       .;     1.1;     0.9;     3.1;     0.8;     0.7;     1.0;     2.2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.3;     3.6;    43.5;     3.8;     5.8;     0.8;     1.3;     3.8;    13.1;     5.5;    12.7;     5.8;     5.5
2016;Midden-Limburg (CR);     1.0;     1.2;     4.2;     7.2;     6.9;     1.7;     5.1;     6.8;       .;       .;     1.0;     0.7;     3.7;     0.7;     0.7;     0.9;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.4;     3.7;    28.4;     3.3;     6.4;     1.0;     2.0;     3.8;    11.7;     5.1;    10.4;     4.5;     9.8
2017;Midden-Limburg (CR);     1.0;     1.2;     4.4;     7.4;       .;     1.5;     5.1;     6.8;       .;       .;     1.0;     0.7;     3.7;     0.7;     0.7;     0.9;     2.1;     0.6;     1.5;     3.1;     1.2;     3.3;     3.9;     4.1;     0.8;     0.9;     4.9;     2.4;     2.9;     3.1;     2.6;     3.7;    28.4;     3.3;     6.4;     0.8;     1.7;     3.4;    11.7;     5.0;    10.4;     4.6;    12.5
2018;Midden-Limburg (CR);     1.0;     1.2;     4.4;     7.4;     6.9;     1.5;     5.1;     6.8;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.7;     1.0;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.9;     3.7;    28.4;     3.3;     6.4;     0.9;     1.7;     3.4;    11.8;     5.1;    10.4;     4.6;    12.5
2019;Midden-Limburg (CR);     1.0;     1.3;     4.5;     7.5;     6.8;     1.5;     5.0;     6.8;       .;       .;     1.0;     0.7;     3.7;     0.7;     0.7;     0.9;     2.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.8;     3.7;    28.4;     3.3;     6.3;     0.9;     1.7;     3.4;    11.7;     5.0;    10.3;     4.5;    12.5
2020;Midden-Limburg (CR);     1.1;     1.1;     4.0;     6.8;     6.8;     1.6;     5.0;     6.8;       .;       .;     1.0;     0.7;     3.7;     0.7;     0.7;     0.9;     2.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.8;     3.7;    28.6;     3.3;     6.3;     0.9;     1.7;     3.4;    11.7;     5.0;     9.4;     4.1;    10.1
2021;Midden-Limburg (CR);     1.1;     1.1;     4.0;     6.8;     6.8;     1.6;     4.6;     6.8;       .;       .;     1.0;     0.7;     3.7;     0.7;     0.7;     0.9;     2.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.8;     3.7;    28.6;     3.3;     6.3;     1.0;     1.9;     3.8;     6.7;     5.0;     9.5;     4.2;     5.3
2016;Zuid-Limburg (CR);     0.8;     1.4;     7.1;    15.6;     6.2;     1.1;     4.5;     6.2;       .;       .;     0.9;     0.6;     2.7;     0.5;     0.5;     0.7;     1.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     3.2;    14.3;     3.3;     4.7;     1.4;     3.0;     6.5;     6.0;     5.1;     5.6;     2.5;     5.2
2017;Zuid-Limburg (CR);     0.8;     1.4;     7.2;    15.7;       .;     1.1;     4.5;     6.2;       .;       .;     0.9;     0.6;     2.7;     0.6;     0.5;     0.7;     1.7;     0.5;     0.8;     3.2;     1.1;     4.6;     5.6;     6.4;     0.7;     0.8;     3.1;     3.1;     1.9;     3.4;     1.6;     3.2;    14.3;     3.3;     4.7;     1.3;     2.7;     6.0;     6.0;     5.1;     5.6;     2.5;     5.2
