;Total;Mean;Number of cars
Total;104473.4;11015;9484581
Gasoline/gasoline hybrid/ethanol;76388.9;9762;7825005
Diesel/diesel hybrids;20491.5;18033;1136335
LPG/LPG hybrids;1348.4;12579;107199
Full electric/hydrogen;3797.6;15144;250765
Plug-in hybrids;2251.2;14516;155086
CNG/CNG hybrids/LNG;195.9;19216;10193
