Postcode-4,Year,Total,Supermarket,Convenience stores,Cafe,Cafeteria,Hotel,Restaurant,Railway station,Amusement park,Cinema,Museums,Art exhibitions,Library,Swimming pool,General practioner,Hospital including clinic
1097,2020,14880,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1098,2020,15790,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
1101,2020,120,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
1102,2020,24935,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
1103,2020,14275,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1104,2020,15495,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1105,2020,625,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
1106,2020,18080,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
1107,2020,11635,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1108,2020,3035,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
1109,2020,1620,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1111,2020,14495,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
1112,2020,12690,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
1113,2020,3590,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
1114,2020,65,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1115,2020,5050,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
1118,2020,55,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1119,2020,25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1121,2020,10245,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1127,2020,825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1131,2020,8960,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
1132,2020,13455,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
1135,2020,7240,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
1141,2020,9585,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0
1145,2020,330,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
1151,2020,2770,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1153,2020,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,2020,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1156,2020,1770,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
1161,2020,7890,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1165,2020,2610,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1171,2020,12930,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1175,2020,835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1181,2020,20740,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1182,2020,3885,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1183,2020,13785,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
1184,2020,615,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1185,2020,11920,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
1186,2020,14360,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
1187,2020,18550,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
1188,2020,7325,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
1189,2020,500,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1191,2020,8915,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1211,2020,9765,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1212,2020,3600,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
1213,2020,6975,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
1214,2020,7635,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1215,2020,10165,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
1216,2020,8915,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1217,2020,7610,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
1218,2020,4150,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1221,2020,9180,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1222,2020,11060,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
1223,2020,11770,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
1231,2020,9020,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0
1241,2020,6760,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1243,2020,1340,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1244,2020,1530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1251,2020,10925,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
1252,2020,350,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
1261,2020,10635,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1262,2020,895,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1271,2020,7875,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1272,2020,6300,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0
1273,2020,8905,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
1274,2020,6555,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1275,2020,2025,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1276,2020,7495,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
1277,2020,2115,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1309,2020,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,2020,4665,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
1312,2020,7015,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1313,2020,4345,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
1314,2020,5945,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
1315,2020,4145,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1316,2020,4100,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
1317,2020,4030,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1318,2020,9840,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
1319,2020,7165,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1321,2020,9770,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
1323,2020,6360,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1324,2020,10510,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
1325,2020,10540,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
1326,2020,11415,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
1328,2020,9960,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
1331,2020,190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1332,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,2020,12545,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0
1334,2020,2040,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0
1335,2020,12375,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
1336,2020,8655,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
1338,2020,9760,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0
1339,2020,11360,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
1341,2020,2145,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1343,2020,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,2020,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,2020,2030,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0
1352,2020,1690,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
1353,2020,4715,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1354,2020,3000,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1355,2020,3000,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
1356,2020,2705,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
1357,2020,3500,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1358,2020,580,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1359,2020,2135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,2020,2055,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
1363,2020,14700,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
1381,2020,4990,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
1382,2020,10140,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
1383,2020,3570,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0
1384,2020,1040,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
1391,2020,8105,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0
1393,2020,1565,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1394,2020,5500,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
1396,2020,1430,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1398,2020,3585,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0
1399,2020,3075,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0
1401,2020,4890,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1402,2020,9630,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1403,2020,9350,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
1404,2020,3490,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1405,2020,2940,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
1406,2020,3475,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
1411,2020,10040,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0
1412,2020,7580,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
1421,2020,6070,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
1422,2020,13255,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
1423,2020,5660,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0
1424,2020,4490,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
