"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2020";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2020"
"'s-Hertogenbosch";394;392;392;412;414;440;423;426;428;442;445;460
"Simpelveld";4;4;4;4;4;4;4;4;4;4;4;4
"Sint-Michielsgestel";24;24;24;28;28;28;28;28;32;32;32;44
"Sittard-Geleen";18;20;20;20;20;24;24;26;26;26;26;30
"Sliedrecht";58;58;58;58;58;58;60;60;60;60;62;62
"Sluis";28;30;36;38;38;38;38;38;38;38;40;40
"Smallingerland";24;24;29;31;30;34;35;35;41;40;40;42
"Soest";27;29;29;29;29;41;45;59;79;107;113;117
"Someren";5;5;5;5;5;9;13;9;9;9;9;11
"Son en Breugel";20;18;18;18;18;20;20;20;20;20;20;20
"Stadskanaal";8;8;8;8;8;10;10;10;10;10;10;10
"Staphorst";6;12;12;14;16;14;14;13;14;14;14;12
"Stede Broec";12;14;14;18;18;18;18;18;22;22;22;23
"Steenbergen";22;24;24;24;24;26;35;36;36;36;36;35
"Steenwijkerland";13;15;17;17;17;27;24;24;24;28;30;32
"Stein";4;4;4;4;16;16;16;16;16;16;16;18
"Stichtse Vecht";113;117;119;119;119;119;121;121;119;119;121;123
"Súdwest-Fryslân";22;22;22;23;22;22;23;23;23;22;22;22
"Terneuzen";10;10;20;20;20;22;26;26;28;34;34;34
"Terschelling";100;104;104;104;98;98;99;0;0;32;39;50
"Texel";42;50;50;50;50;50;54;54;54;54;56;54
"Teylingen";80;80;80;80;88;92;92;98;104;112;114;114
"Tholen";27;26;26;28;28;28;28;28;28;28;28;28
"Tiel";40;44;46;50;52;56;60;60;60;60;60;62
"Tilburg";486;510;518;520;538;548;564;595;611;611;612;639
"Tubbergen";10;10;10;10;10;12;12;11;12;12;12;12
"Twenterand";10;10;12;12;12;12;12;12;12;12;12;12
"Tynaarlo";18;18;18;18;18;18;18;20;22;24;24;24
"Tytsjerksteradiel";15;15;17;17;17;17;16;17;17;17;17;17
"Uitgeest";34;34;38;38;38;38;40;48;48;48;50;50
"Uithoorn";40;52;54;54;54;58;58;58;68;74;76;76
"Urk";6;6;6;8;12;12;12;12;14;14;14;14
"Utrecht";881;905;915;921;916;922;1114;1151;1198;1222;1246;1284
