"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2022";"Aantal publieke snellaadpunten voor elektrische auto's|April 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2022";"Aantal publieke snellaadpunten voor elektrische auto's|September 2022";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2022";"Aantal publieke snellaadpunten voor elektrische auto's|November 2022";"Aantal publieke snellaadpunten voor elektrische auto's|December 2022"
"Eijsden-Margraten";8;8;8;8;15;15;15;15;15;15;15;15
"Eindhoven";48;47;48;48;41;39;44;44;42;46;50;57
"Elburg";3;3;3;3;2;2;2;2;2;2;2;2
"Emmen";8;10;10;14;17;17;14;14;17;12;15;15
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";4;15;15;17;18;19;21;20;20;15;15;22
"Epe";0;0;0;0;0;0;0;0;2;2;2;0
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";11;11;19;19;20;20;20;20;20;12;12;12
"Geertruidenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Geldrop-Mierlo";7;4;7;7;4;4;4;7;7;7;7;7
"Gemert-Bakel";0;0;0;0;0;0;0;0;0;0;0;2
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";8;17;17;18;17;18;17;17;23;16;15;15
"Goeree-Overflakkee";4;6;6;4;0;0;4;4;4;2;2;2
"Goes";16;17;17;17;17;20;20;18;18;18;18;24
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";44;68;68;68;68;68;36;36;36;26;27;26
"Gorinchem";3;0;0;0;3;3;3;3;3;3;3;3
"Gouda";29;29;29;30;28;19;19;23;23;23;23;25
"Groningen";25;35;36;35;37;36;35;37;34;28;27;28
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Haarlem";4;4;4;4;4;4;4;4;6;6;6;12
"Haarlemmermeer";84;77;89;80;100;104;105;113;113;113;114;119
"Halderberge";0;4;4;4;4;4;4;4;4;4;4;4
"Hardenberg";6;6;6;6;6;6;6;6;6;7;7;8
"Harderwijk";8;8;8;8;11;11;13;13;13;13;13;13
"Hardinxveld-Giessendam";7;7;7;7;7;7;7;7;7;15;15;15
"Harlingen";0;0;0;0;0;0;0;0;0;0;0;0
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
"Heemskerk";6;6;6;6;6;6;6;6;6;6;6;6
"Heemstede";0;0;0;0;0;0;0;0;0;0;0;0
"Heerde";9;9;9;9;9;6;6;6;6;9;11;9
"Heerenveen";6;7;7;6;6;6;6;6;6;5;5;5
"Heerlen";11;14;22;23;21;21;21;21;21;14;13;11
"Heeze-Leende";0;0;0;0;0;0;0;0;0;0;0;0
"Heiloo";0;0;0;0;0;0;0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Hellevoetsluis";3;3;3;3;2;2;2;2;2;2;2;2
"Helmond";3;3;3;3;3;0;3;3;3;3;3;3
"Hendrik-Ido-Ambacht";26;25;33;33;32;28;28;28;28;20;20;21
"Hengelo";21;21;21;21;20;20;20;20;18;24;24;24
"Het Hogeland";0;0;0;0;0;0;0;0;0;0;0;0
"Heumen";0;0;0;0;0;0;0;0;0;0;0;0
"Heusden";0;0;0;0;0;0;0;0;0;3;3;4
"Hillegom";3;3;3;3;3;3;3;3;3;3;3;3
"Hilvarenbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Hilversum";0;3;3;3;3;3;3;3;3;3;3;3
"Hoeksche Waard";12;16;17;16;16;16;16;16;16;12;12;14
"Hof van Twente";0;0;0;0;0;0;0;0;0;0;0;0
"Hollands Kroon";6;7;11;8;7;8;7;7;11;8;7;5
"Hoogeveen";3;3;0;0;0;0;1;3;3;3;7;7
"Hoorn";15;15;15;15;19;19;19;19;16;19;19;21
"Horst aan de Maas";19;19;19;19;19;19;19;19;19;19;19;20
"Houten";7;7;9;9;9;9;9;9;7;4;4;7
"Huizen";0;0;0;0;0;0;0;0;0;0;0;0
"Hulst";0;0;0;0;0;0;0;0;0;0;0;0
"IJsselstein";3;3;3;3;3;3;3;3;3;3;0;3
"Kaag en Braassem";0;0;0;0;0;0;0;0;0;0;0;0
"Kampen";3;3;3;3;3;3;3;3;3;3;3;7
"Kapelle";0;0;0;0;0;0;0;0;0;0;0;0
"Katwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Kerkrade";3;3;0;0;3;3;3;3;3;3;3;3
"Koggenland";4;4;4;4;4;4;4;4;4;4;4;4
"Krimpen aan den IJssel";3;3;3;3;2;2;2;2;2;2;2;2
"Krimpenerwaard";0;0;0;0;0;0;0;0;0;0;0;0
"Laarbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Land van Cuijk";27;31;32;28;27;27;27;27;27;28;27;28
"Landgraaf";3;3;3;3;3;3;3;3;3;5;5;5
"Landsmeer";21;21;21;21;21;21;42;21;21;21;21;21
"Lansingerland";6;3;3;3;6;6;6;6;3;6;6;6
"Laren";26;27;7;27;26;0;0;0;0;0;0;0
"Leeuwarden";15;27;31;31;31;31;28;28;28;21;21;20
"Leiden";0;0;0;0;0;0;0;0;0;0;0;0
"Leiderdorp";43;44;44;44;39;39;39;40;40;39;39;45
"Leidschendam-Voorburg";0;0;0;0;0;0;0;0;0;0;0;0
"Lelystad";19;27;27;27;27;24;35;39;39;33;29;33
"Leudal";16;8;24;25;24;24;24;26;26;18;18;18
"Leusden";19;19;9;21;28;21;21;21;19;23;24;29
"Lingewaard";0;0;0;0;0;0;0;0;0;0;0;0
"Lisse";0;0;0;0;0;0;0;0;0;0;0;0
"Lochem";1;3;4;2;2;2;2;2;4;4;4;4
"Loon op Zand";0;2;2;0;0;0;0;2;0;0;2;0
"Lopik";0;0;0;0;0;0;0;0;0;0;0;0
"Losser";0;0;0;0;0;0;0;0;0;0;0;0
"Maasdriel";0;0;0;0;0;0;0;0;0;0;0;0
"Maasgouw";0;0;0;0;0;0;0;0;0;0;0;0
"Maashorst";23;22;11;23;19;27;27;27;27;27;27;27
"Maassluis";0;0;0;0;0;0;0;0;0;0;0;0
"Maastricht";3;3;3;3;3;3;3;3;3;27;27;26
"Medemblik";4;4;4;6;6;8;8;8;8;8;8;10
"Meerssen";0;0;0;0;0;0;0;0;0;2;2;4
"Meierijstad";0;3;3;3;4;7;7;7;7;5;5;7
"Meppel";7;7;7;7;7;4;7;7;7;7;7;7
"Middelburg";19;19;23;22;25;26;25;19;20;20;19;21
"Midden-Delfland";28;28;28;28;22;18;18;18;18;18;18;18
"Midden-Drenthe";0;0;0;0;0;0;0;0;4;4;4;4
"Midden-Groningen";8;8;8;8;8;8;8;8;8;8;8;12
"Moerdijk";10;15;15;15;17;15;15;15;19;19;19;21
"Molenlanden";2;2;2;2;2;2;2;2;2;2;2;2
"Montferland";3;3;6;6;6;6;6;6;6;6;6;6
"Montfoort";0;0;0;0;0;0;0;0;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0;0;0;0;0;0;0
"Neder-Betuwe";18;27;29;28;21;21;21;37;29;21;21;21
"Nederweert";3;3;3;3;3;3;3;3;3;3;3;3
"Nieuwegein";37;37;37;37;35;32;37;37;37;41;41;53
"Nieuwkoop";0;0;0;0;0;0;0;0;0;0;0;0
"Nijkerk";3;0;3;3;3;3;3;3;3;3;3;3
"Nijmegen";11;15;17;18;21;24;22;18;18;14;14;16
"Nissewaard";0;3;0;0;3;3;3;3;3;3;3;3
"Noardeast-Fryslân";0;0;0;0;0;2;2;2;2;2;2;2
"Noord-Beveland";0;0;0;0;0;0;0;0;0;0;0;0
"Noordenveld";0;0;0;0;0;0;0;0;0;0;0;0
"Noordoostpolder";24;24;24;24;24;24;24;24;24;24;24;24
"Noordwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Nuenen, Gerwen en Nederwetten";0;0;0;0;0;0;0;0;0;0;0;0
"Nunspeet";14;14;14;14;12;12;12;12;12;12;12;12
"Oegstgeest";3;3;3;3;6;6;6;6;6;6;3;3
"Oirschot";10;20;20;20;20;20;20;20;20;20;20;20
"Oisterwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Oldambt";4;4;4;4;4;4;4;4;4;4;4;4
"Oldebroek";6;6;6;6;6;6;6;6;6;6;6;6
"Oldenzaal";0;0;0;0;0;0;0;0;0;0;0;0
"Olst-Wijhe";0;0;0;0;0;0;0;0;0;0;0;0
"Ommen";0;0;0;0;0;0;0;0;0;0;0;0
"Oost Gelre";4;4;4;4;3;3;3;5;5;5;5;0
"Oosterhout";33;35;35;35;32;32;32;32;32;32;30;30
"Ooststellingwerf";0;0;0;0;0;0;0;0;0;0;0;0
"Oostzaan";9;9;9;9;9;9;9;9;11;11;11;12
"Opmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Opsterland";7;7;9;9;9;6;9;6;9;9;6;9
"Oss";4;5;5;8;6;6;6;6;6;6;6;8
"Oude IJsselstreek";0;0;0;0;0;0;0;0;0;0;0;0
"Ouder-Amstel";6;6;6;6;6;6;6;6;6;2;2;2
"Oudewater";0;0;0;0;0;0;0;0;0;0;0;0
"Overbetuwe";3;6;6;6;3;6;6;6;6;6;6;6
"Papendrecht";7;7;7;7;7;7;0;0;0;0;0;0
"Peel en Maas";4;6;2;2;6;6;6;6;7;9;9;9
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";3;3;3;3;3;3;2;2;2;2;2;2
"Purmerend";12;12;12;12;8;8;8;8;8;8;8;8
"Putten";3;4;3;3;2;2;2;2;2;2;2;2
"Raalte";0;0;0;0;0;0;0;0;0;0;0;0
"Reimerswaal";0;0;2;0;5;0;2;9;10;6;6;7
"Renkum";8;8;8;8;8;0;0;0;0;0;0;0
"Renswoude";0;0;0;0;0;0;0;0;0;0;0;0
"Reusel-De Mierden";0;0;0;0;0;0;0;0;0;0;0;0
"Rheden";0;0;0;0;0;0;0;0;0;0;0;0
"Rhenen";0;0;0;0;0;0;0;0;0;0;0;0
"Ridderkerk";9;9;9;9;8;2;32;32;32;32;32;32
"Rijssen-Holten";7;14;15;15;13;10;13;13;13;9;9;9
"Rijswijk";31;31;31;39;39;39;39;39;39;31;31;31
"Roerdalen";0;0;0;0;0;0;0;0;0;0;0;0
"Roermond";0;0;0;0;0;0;0;0;0;0;0;4
"Roosendaal";3;3;3;3;3;3;3;3;3;3;3;3
"Rotterdam";41;40;48;44;33;44;49;47;47;46;70;85
"Rozendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Rucphen";8;8;8;8;8;8;12;16;16;16;16;18
"Schagen";3;3;3;3;3;3;0;0;0;0;0;0
"Scherpenzeel";0;0;0;0;0;0;0;0;0;0;0;0
"Schiedam";4;4;20;4;5;5;20;18;16;18;18;4
"Schiermonnikoog";0;0;0;0;0;0;0;0;0;0;0;0
"Schouwen-Duiveland";5;3;3;3;2;2;2;2;2;2;2;4
"'s-Hertogenbosch";20;20;20;20;20;20;32;32;32;28;28;30
"Simpelveld";0;0;0;0;0;0;0;0;0;0;0;0
"Sint-Michielsgestel";0;0;0;0;0;0;0;0;0;0;0;0
"Sittard-Geleen";15;12;15;12;13;10;16;16;16;19;27;27
"Sliedrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Sluis";0;0;0;0;0;0;0;0;0;0;0;0
"Smallingerland";15;15;15;15;15;15;19;19;19;19;19;19
"Soest";0;0;0;0;0;0;0;0;0;0;0;0
"Someren";1;0;0;0;0;0;0;0;0;0;0;0
"Son en Breugel";4;4;4;4;4;4;4;4;4;4;4;6
"Stadskanaal";2;2;2;2;2;2;2;2;2;2;2;2
"Staphorst";8;12;12;12;8;8;8;8;8;10;10;10
"Stede Broec";0;0;0;0;0;0;0;0;0;0;0;0
"Steenbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Steenwijkerland";1;1;1;1;1;1;1;1;1;1;1;1
"Stein";27;27;27;27;25;25;25;25;25;24;24;24
"Stichtse Vecht";50;50;50;50;44;46;46;46;46;42;42;42
"Súdwest-Fryslân";10;10;10;10;9;9;9;9;9;9;10;10
"Terneuzen";0;4;4;0;0;0;0;0;0;0;0;2
"Terschelling";0;0;0;0;0;0;0;0;0;0;0;0
"Texel";0;0;0;0;0;1;1;1;1;1;1;1
"Teylingen";18;18;18;18;17;17;17;17;17;15;15;15
"Tholen";2;0;0;0;0;0;0;0;0;0;0;0
"Tiel";3;8;8;8;9;9;10;7;7;6;6;6
"Tilburg";25;22;25;27;24;24;21;23;13;13;13;19
"Tubbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Twenterand";2;2;0;0;0;0;0;0;0;0;0;0
"Tynaarlo";2;4;4;8;8;4;8;8;8;8;8;8
"Tytsjerksteradiel";0;0;0;0;0;0;0;0;0;0;0;0
"Uitgeest";0;0;0;0;0;0;0;0;0;0;0;0
"Uithoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Urk";0;0;0;0;0;0;0;0;0;0;0;0
"Utrecht";16;16;18;17;10;11;11;10;11;11;11;11
"Utrechtse Heuvelrug";0;0;4;4;4;0;0;0;2;2;2;2
"Vaals";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenburg aan de Geul";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenswaard";0;0;0;0;0;0;0;0;0;0;0;0
"Veendam";0;0;0;0;0;0;0;0;0;0;0;0
"Veenendaal";14;14;8;8;6;6;6;12;12;12;12;8
"Veere";0;0;0;0;0;0;0;0;0;0;0;0
"Veldhoven";0;0;0;0;0;0;0;0;0;0;0;0
"Velsen";0;0;0;0;0;0;0;0;0;0;0;0
"Venlo";11;17;17;17;14;15;14;15;16;12;12;19
"Venray";6;6;6;6;4;4;4;4;4;4;4;4
"Vijfheerenlanden";30;34;34;35;32;32;40;40;40;34;34;34
"Vlaardingen";2;2;2;2;2;2;2;2;2;2;2;2
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";0;0;0;0;0;0;0;0;0;0;0;0
"Voerendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Voorschoten";0;0;0;0;1;1;1;1;1;1;1;1
"Voorst";6;6;6;6;6;6;6;6;6;6;6;6
"Vught";0;0;0;0;0;0;0;0;0;0;0;0
"Waadhoeke";2;2;2;2;2;2;2;2;2;2;2;4
"Waalre";0;0;0;0;0;0;0;0;0;0;0;0
"Waalwijk";10;14;19;18;18;20;20;16;16;14;13;14
"Waddinxveen";2;0;0;0;0;0;1;1;1;3;3;3
"Wageningen";0;0;0;0;0;0;0;0;0;0;0;0
"Wassenaar";6;6;6;6;5;5;5;1;5;5;5;5
"Waterland";0;0;0;0;2;2;2;2;2;2;2;2
"Weert";1;3;3;6;4;4;4;4;2;2;2;4
"Weesp";0;0;0;0;0;"";"";"";"";"";"";""
"West Betuwe";19;32;33;33;30;28;28;30;30;44;44;44
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";10;10;14;10;14;14;14;14;14;14;14;14
"Westerveld";4;4;4;4;4;4;4;4;4;4;4;4
"Westervoort";0;0;0;0;0;0;0;0;0;0;0;0
"Westerwolde";0;0;0;0;0;0;0;0;0;0;0;0
"Westland";0;0;0;2;2;2;2;4;4;4;4;4
"Weststellingwerf";2;2;2;2;2;6;6;6;6;6;10;10
"Westvoorne";0;0;0;0;0;0;0;0;0;0;0;0
"Wierden";2;2;2;2;2;2;2;2;2;2;2;2
"Wijchen";0;0;0;0;0;0;0;0;0;0;0;0
"Wijdemeren";0;0;0;0;0;0;0;0;0;0;0;0
"Wijk bij Duurstede";0;0;0;0;0;0;0;0;0;0;0;0
"Winterswijk";0;0;0;0;0;0;0;0;0;0;0;0
"Woensdrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Woerden";21;30;44;32;40;40;36;36;44;32;32;34
"Wormerland";0;0;0;0;0;0;0;0;0;0;0;0
"Woudenberg";7;7;7;7;7;11;11;11;11;9;9;11
"Zaanstad";7;9;7;7;8;8;8;8;4;4;3;3
"Zaltbommel";32;36;36;37;32;33;32;32;32;27;28;27
"Zandvoort";0;0;0;0;0;0;0;0;0;0;0;0
"Zeewolde";0;2;2;2;2;2;2;2;2;2;2;2
"Zeist";0;0;2;2;0;0;0;0;0;0;0;0
"Zevenaar";8;8;8;8;8;8;8;8;8;8;8;8
"Zoetermeer";8;8;8;10;8;8;8;8;8;8;8;10
"Zoeterwoude";0;0;0;0;0;0;0;0;0;0;0;0
"Zuidplas";17;21;21;24;23;21;21;21;21;17;17;17
"Zundert";0;0;0;0;0;0;0;0;0;0;0;0
"Zutphen";3;3;3;3;3;3;3;3;3;3;3;6
"Zwartewaterland";0;0;0;0;0;0;0;0;0;0;0;0
"Zwijndrecht";0;0;0;0;0;0;0;0;0;0;0;2
"Zwolle";34;42;42;43;47;48;47;47;45;42;45;51
"Gemeente onbekend";"";"";0;0;"";4;0;"";"";0;"";""
