"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2021";"Aantal publieke snellaadpunten voor elektrische auto's|April 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2021";"Aantal publieke snellaadpunten voor elektrische auto's|September 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2021";"Aantal publieke snellaadpunten voor elektrische auto's|November 2021";"Aantal publieke snellaadpunten voor elektrische auto's|December 2021"
"Aa en Hunze";0;0;0;0;0;0;0;0;0;0;0;0
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0;0;0;0;0;0;0
"Alblasserdam";2;2;2;2;2;2;6;6;6;6;6;5
"Albrandswaard";7;7;7;7;8;8;8;8;8;8;8;8
"Alkmaar";5;5;3;5;5;5;5;5;5;5;5;5
"Almelo";3;3;1;3;3;3;3;3;3;3;3;3
"Almere";7;7;7;7;7;7;7;7;7;7;7;7
"Alphen aan den Rijn";1;2;2;2;2;2;1;1;2;2;2;1
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";3;5;6;6;6;6;4;4;4;4;4;4
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";10;10;10;10;10;10;10;10;10;10;13;16
"Amstelveen";12;12;12;12;12;12;12;12;11;11;12;12
"Amsterdam";78;86;80;81;78;78;76;77;76;77;81;84
"Apeldoorn";38;38;38;41;41;41;41;41;42;62;63;64
"Arnhem";29;29;29;26;26;26;26;26;26;25;29;32
"Assen";14;14;14;14;14;14;14;14;14;14;16;17
"Asten";4;6;6;6;6;7;5;5;5;5;5;5
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";4;4;4;4;4;4;4;4;8;8;6;4
"Barneveld";14;14;16;20;20;20;20;20;24;25;25;25
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen op Zoom";5;5;0;0;0;0;1;2;2;2;2;2
"Berkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Bernheze";0;0;0;3;3;3;3;3;3;3;3;3
"Best";0;4;4;4;4;4;4;4;4;4;4;4
"Beuningen";3;3;1;3;3;3;3;3;3;3;3;3
"Beverwijk";3;3;1;3;3;3;3;3;3;3;3;3
"Bladel";8;8;8;8;8;8;8;10;10;10;10;10
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";7;7;7;6;6;7;7;7;7;7;8;9
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Borne";0;0;0;0;0;0;0;0;0;0;0;0
"Borsele";0;0;0;0;0;0;0;0;0;0;0;0
"Boxtel";12;12;14;14;15;15;15;15;15;15;15;15
"Breda";28;28;28;28;28;28;28;28;28;28;31;34
"Brielle";4;4;4;4;4;4;4;4;4;4;4;4
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";27;27;27;27;27;27;24;26;26;26;26;26
"Bunschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Buren";0;0;0;0;0;0;0;0;0;0;0;0
"Capelle aan den IJssel";10;14;12;14;14;14;14;14;14;14;16;17
"Castricum";11;11;11;11;11;11;11;11;11;10;11;11
"Coevorden";0;0;0;0;0;0;0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0;4;4;4;4;4;4
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";0;0;0;0;0;0;0;0;0;0;0;0
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";0;0;0;0;0;0;0;0;0;0;0;0
"De Fryske Marren";3;3;1;3;3;3;3;3;3;3;3;3
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
"De Wolden";6;6;12;12;12;12;12;12;12;12;12;12
"Delft";7;7;7;7;7;7;7;7;11;11;14;17
"Den Haag";13;13;13;13;21;21;30;30;30;30;32;34
"Den Helder";0;0;0;0;0;0;0;0;0;0;0;0
"Deurne";2;2;2;2;2;0;0;0;0;0;0;0
"Deventer";8;12;12;12;12;12;8;8;8;11;13;15
"Diemen";0;0;0;0;0;0;0;0;0;0;0;0
"Dijk en Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Dinkelland";5;5;5;5;5;5;5;5;5;5;5;5
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";0;0;0;0;0;0;0;0;0;0;2;3
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";21;21;21;21;21;21;21;21;21;20;24;27
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";0;0;0;0;0;0;0;0;0;0;0;0
"Druten";0;0;0;0;0;0;0;0;0;0;0;0
