"Gemeenten";"Aantal publieke snellaadpunten voor elektrische auto's|Januari 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Februari 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Maart 2021";"Aantal publieke snellaadpunten voor elektrische auto's|April 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Mei 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Juni 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Juli 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Augustus 2021";"Aantal publieke snellaadpunten voor elektrische auto's|September 2021";"Aantal publieke snellaadpunten voor elektrische auto's|Oktober 2021";"Aantal publieke snellaadpunten voor elektrische auto's|November 2021";"Aantal publieke snellaadpunten voor elektrische auto's|December 2021"
"Duiven";20;20;20;20;20;20;20;20;20;20;22;24
"Echt-Susteren";0;0;0;0;0;0;0;0;0;0;0;0
"Edam-Volendam";0;0;0;0;0;0;0;0;0;0;0;0
"Ede";8;8;8;12;12;12;12;12;14;14;15;16
"Eemnes";3;3;3;3;3;3;3;3;3;3;3;3
"Eemsdelta";0;0;0;0;0;0;0;0;0;0;0;0
"Eersel";0;0;0;0;0;0;0;0;0;0;0;0
"Eijsden-Margraten";5;5;5;8;8;8;8;8;8;8;8;8
"Eindhoven";48;48;48;48;48;48;48;48;48;48;48;47
"Elburg";3;3;3;3;3;3;3;3;3;3;3;3
"Emmen";0;0;8;8;8;8;8;8;8;10;9;8
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";6;18;26;10;10;10;8;8;8;8;6;4
"Epe";0;0;0;0;0;0;0;0;0;0;0;0
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";8;8;8;8;8;8;8;8;8;8;8;8
"Geertruidenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Geldrop-Mierlo";3;3;1;3;3;3;7;7;7;7;7;7
"Gemert-Bakel";0;0;0;0;0;0;0;0;0;0;0;0
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";0;0;0;0;0;0;0;0;0;0;0;0
"Goeree-Overflakkee";0;0;0;0;0;0;0;0;0;0;2;4
"Goes";7;7;7;7;7;7;8;8;12;14;16;17
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";43;44;44;44;44;44;44;44;44;44;44;44
"Gorinchem";3;3;1;3;3;3;3;3;3;3;3;3
"Gouda";26;26;26;26;26;26;26;26;26;26;28;29
"Groningen";8;5;5;5;5;5;5;5;5;5;9;13
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Haarlem";4;4;4;4;4;4;4;4;4;4;4;4
"Haarlemmermeer";75;92;92;84;84;71;81;81;81;81;83;84
"Halderberge";0;0;0;0;0;0;0;0;0;0;0;0
"Hardenberg";3;3;3;3;3;3;3;3;3;3;5;6
"Harderwijk";0;4;4;4;4;4;0;0;4;4;4;4
"Hardinxveld-Giessendam";3;3;4;4;4;4;4;4;4;4;6;7
"Harlingen";0;0;0;0;0;0;0;0;0;0;0;0
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
"Heemskerk";7;7;6;7;7;7;6;6;6;6;6;6
"Heemstede";0;0;0;0;0;0;0;0;0;0;0;0
"Heerde";3;3;3;3;3;3;3;3;3;3;6;9
"Heerenveen";6;6;4;6;6;6;6;6;6;6;6;6
"Heerlen";3;3;3;3;6;6;6;6;6;6;4;1
"Heeze-Leende";0;0;0;0;0;0;0;0;0;0;0;0
"Heiloo";0;0;0;0;0;0;0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Hellevoetsluis";3;3;3;3;3;3;3;3;3;3;3;3
"Helmond";3;3;1;3;3;3;3;3;3;3;5;6
"Hendrik-Ido-Ambacht";8;8;8;8;16;16;16;16;24;24;21;17
"Hengelo";3;3;3;3;15;15;15;15;15;15;16;17
"Het Hogeland";0;0;0;0;0;0;0;0;0;0;0;0
"Heumen";0;0;0;0;0;0;0;0;0;0;0;0
"Heusden";0;0;0;0;0;0;0;0;0;0;0;0
"Hillegom";0;0;0;0;0;0;0;0;0;0;0;0
"Hilvarenbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Hilversum";0;0;0;0;0;0;0;0;0;0;0;0
"Hoeksche Waard";10;10;10;10;10;10;10;10;10;12;12;12
"Hof van Twente";0;0;0;0;0;0;0;0;0;0;0;0
"Hollands Kroon";3;3;3;3;3;3;3;3;3;3;3;3
"Hoogeveen";3;3;3;3;3;3;3;3;3;3;3;3
"Hoorn";12;16;16;16;12;12;14;15;15;15;15;15
"Horst aan de Maas";19;19;19;19;19;19;19;19;19;19;19;19
"Houten";7;7;7;7;7;7;7;7;7;9;9;9
"Huizen";0;0;0;0;0;0;0;0;0;0;0;0
"Hulst";0;0;0;0;0;0;0;0;0;0;0;0
"IJsselstein";0;0;0;0;0;0;0;0;0;0;2;3
"Kaag en Braassem";0;0;0;0;0;0;0;0;0;0;0;0
"Kampen";3;3;1;3;3;3;3;3;3;3;3;3
"Kapelle";0;0;0;0;0;0;0;0;0;0;0;0
"Katwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Kerkrade";0;0;0;0;0;0;0;0;0;0;2;3
"Koggenland";0;0;0;0;0;0;0;4;4;4;4;4
"Krimpen aan den IJssel";3;3;3;3;3;3;3;3;3;3;3;3
"Krimpenerwaard";0;0;0;0;0;0;0;0;0;0;0;0
"Laarbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Land van Cuijk";6;12;10;10;15;16;16;16;16;20;22;23
"Landgraaf";0;0;0;0;0;0;0;0;0;0;2;3
"Landsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Lansingerland";0;0;0;0;0;0;0;0;0;0;3;6
"Laren";7;7;19;19;19;19;19;19;19;19;19;18
"Leeuwarden";8;8;8;8;8;2;2;2;2;2;7;11
"Leiden";0;0;0;0;0;0;0;0;0;0;0;0
"Leiderdorp";18;42;42;42;42;42;41;41;41;41;41;41
"Leidschendam-Voorburg";0;0;0;0;0;0;0;0;0;0;0;0
"Lelystad";11;11;9;11;11;11;11;11;11;11;11;11
"Leudal";3;3;3;3;3;3;3;11;11;16;12;8
"Leusden";19;19;19;19;19;19;19;19;19;7;13;18
"Lingewaard";0;0;0;0;0;0;0;0;0;0;0;0
"Lisse";0;0;0;0;0;0;0;0;0;0;0;0
"Lochem";1;1;1;1;1;1;1;1;1;1;1;1
"Loon op Zand";0;0;0;0;0;0;0;0;0;0;0;0
"Lopik";0;0;0;0;0;0;0;0;0;0;0;0
"Losser";0;0;0;0;0;0;0;0;0;0;0;0
"Maasdriel";0;0;0;0;0;0;0;0;0;0;0;0
"Maasgouw";0;0;0;0;0;0;0;0;0;0;0;0
"Maashorst";23;23;21;23;23;23;23;23;22;23;23;23
"Maassluis";0;0;0;0;0;0;0;0;0;0;0;0
"Maastricht";3;3;1;3;3;3;3;3;3;3;3;3
"Medemblik";4;4;4;4;4;4;4;4;4;4;4;4
"Meerssen";0;0;0;0;0;0;0;0;0;0;0;0
"Meierijstad";3;3;1;3;3;3;3;3;3;3;2;0
"Meppel";7;7;5;7;7;7;7;7;7;7;7;7
"Middelburg";5;5;15;15;15;15;15;15;15;15;15;14
"Midden-Delfland";12;12;12;12;12;16;10;10;10;10;14;18
"Midden-Drenthe";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Groningen";8;8;8;8;8;8;8;8;8;8;8;8
"Moerdijk";5;5;5;5;5;5;11;11;12;12;11;10
"Molenlanden";3;3;3;3;3;3;2;2;2;2;2;2
"Montferland";3;3;3;3;3;3;3;3;3;3;3;3
"Montfoort";0;0;0;0;0;0;0;0;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0;0;0;0;0;0;0
"Neder-Betuwe";7;9;7;13;13;13;13;13;13;13;13;13
"Nederweert";0;0;0;0;0;0;0;0;0;0;2;3
"Nieuwegein";37;35;33;35;35;36;38;38;38;38;39;40
"Nieuwkoop";0;0;0;0;0;0;0;0;0;0;0;0
"Nijkerk";0;0;0;0;0;0;0;0;0;0;2;3
"Nijmegen";2;2;2;2;2;2;2;2;2;2;4;5
"Nissewaard";0;0;0;0;0;0;0;0;0;0;2;3
"Noardeast-Fryslân";0;0;0;0;0;0;0;0;0;0;0;0
"Noord-Beveland";0;0;0;0;0;0;0;0;0;0;0;0
"Noordenveld";0;0;0;0;0;0;0;0;0;0;0;0
"Noordoostpolder";18;18;18;18;18;18;22;24;24;24;24;24
"Noordwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Nuenen, Gerwen en Nederwetten";0;0;0;0;0;0;0;0;0;0;0;0
"Nunspeet";14;14;14;14;14;14;14;14;14;14;14;14
"Oegstgeest";3;3;3;3;3;3;3;3;3;3;3;3
"Oirschot";16;16;16;16;8;8;8;8;8;8;6;4
"Oisterwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Oldambt";4;4;4;4;4;4;4;4;4;4;4;4
"Oldebroek";4;4;6;6;6;6;6;6;6;6;6;6
"Oldenzaal";0;0;0;0;0;0;0;0;0;0;0;0
"Olst-Wijhe";0;0;0;0;0;0;0;0;0;0;0;0
"Ommen";0;0;0;0;0;0;0;0;0;0;0;0
"Oost Gelre";6;6;6;6;0;0;2;4;4;4;4;4
"Oosterhout";27;26;27;27;26;26;27;26;26;27;31;34
"Ooststellingwerf";0;0;0;0;0;0;0;0;0;0;0;0
"Oostzaan";8;8;8;8;8;8;8;8;8;9;9;9
"Opmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Opsterland";4;4;4;4;4;4;4;4;4;4;4;4
"Oss";5;5;5;5;5;5;5;5;5;5;5;4
"Oude IJsselstreek";0;0;0;0;0;0;0;0;0;0;0;0
"Ouder-Amstel";4;4;4;4;4;4;4;4;4;4;5;6
"Oudewater";0;0;0;0;0;0;0;0;0;0;0;0
"Overbetuwe";0;0;0;0;0;0;0;0;0;0;0;0
"Papendrecht";0;0;0;0;0;0;0;0;1;7;7;7
"Peel en Maas";0;0;0;0;0;0;0;0;0;0;2;4
"Pekela";0;0;0;0;0;0;0;0;0;0;0;0
"Pijnacker-Nootdorp";5;5;5;5;4;4;1;1;3;3;3;3
"Purmerend";12;12;12;12;12;12;12;12;12;12;12;11
"Putten";6;6;6;6;6;6;6;6;5;3;3;3
"Raalte";0;0;0;0;0;0;0;0;0;0;0;0
"Reimerswaal";0;0;0;0;0;0;0;0;0;0;0;0
"Renkum";0;0;0;0;0;0;0;0;0;0;4;8
"Renswoude";0;0;0;0;0;0;0;0;0;0;0;0
"Reusel-De Mierden";0;0;0;0;0;0;0;0;0;0;0;0
"Rheden";0;0;0;0;0;0;0;0;0;0;0;0
"Rhenen";0;0;0;0;0;0;0;0;0;0;0;0
"Ridderkerk";10;10;10;10;10;10;9;9;9;9;9;9
"Rijssen-Holten";0;0;0;0;0;0;0;0;0;0;3;6
"Rijswijk";28;28;28;28;28;28;28;28;28;28;30;31
"Roerdalen";0;0;0;0;0;0;0;0;0;0;0;0
"Roermond";0;0;0;0;0;0;0;0;0;0;0;0
"Roosendaal";3;3;1;3;3;3;3;3;3;3;3;3
"Rotterdam";22;22;22;26;23;23;30;31;36;37;36;34
"Rozendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Rucphen";8;8;8;8;8;8;8;8;8;8;8;8
"Schagen";0;0;0;0;0;0;0;1;0;0;0;0
"Scherpenzeel";0;0;0;0;0;0;0;0;0;0;0;0
"Schiedam";0;4;4;4;4;4;4;4;4;4;4;4
"Schiermonnikoog";0;0;0;0;"";"";0;0;0;0;0;0
"Schouwen-Duiveland";3;3;3;3;3;3;5;5;5;5;5;5
"'s-Hertogenbosch";16;16;16;16;16;18;18;20;20;20;20;20
"Simpelveld";0;0;0;0;0;0;0;0;0;0;0;0
"Sint-Michielsgestel";0;0;0;0;0;0;0;0;0;0;0;0
"Sittard-Geleen";10;10;13;15;15;15;15;15;15;15;15;15
"Sliedrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Sluis";0;0;0;0;0;0;0;0;0;0;0;0
"Smallingerland";15;15;13;17;17;17;17;17;17;17;16;15
"Soest";0;0;0;0;0;0;0;0;0;0;0;0
"Someren";0;0;0;0;0;0;0;0;0;0;0;0
"Son en Breugel";0;0;0;0;0;0;4;4;4;4;4;4
"Stadskanaal";0;0;0;0;0;0;0;0;0;0;1;2
"Staphorst";8;8;8;8;8;8;8;8;8;8;8;8
"Stede Broec";0;0;0;0;0;0;0;0;0;0;0;0
"Steenbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Steenwijkerland";2;2;2;2;2;2;2;2;2;2;2;1
"Stein";27;7;7;7;7;27;27;27;26;27;26;25
"Stichtse Vecht";44;44;44;44;44;44;40;40;40;40;45;50
"Súdwest-Fryslân";10;10;8;10;10;10;10;10;10;10;10;10
"Terneuzen";0;0;0;0;0;0;0;0;4;4;2;0
"Terschelling";0;0;0;0;0;0;0;0;0;0;0;0
"Texel";0;0;0;0;0;0;0;0;0;0;0;0
"Teylingen";3;3;3;3;3;3;3;15;15;15;17;18
"Tholen";0;0;0;0;0;0;0;0;2;2;2;2
"Tiel";0;0;0;0;0;0;0;0;0;0;2;3
"Tilburg";9;9;9;9;9;9;9;9;9;21;23;25
"Tubbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Twenterand";0;0;0;0;0;0;0;0;0;0;0;0
"Tynaarlo";0;0;0;0;0;0;0;0;0;0;2;4
"Tytsjerksteradiel";0;0;0;0;0;0;0;0;0;0;0;0
"Uitgeest";0;0;0;0;0;0;0;0;0;0;0;0
"Uithoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Urk";0;0;0;0;0;0;0;0;0;0;0;0
"Utrecht";13;14;14;13;12;14;14;13;14;13;16;18
"Utrechtse Heuvelrug";0;0;0;0;0;0;0;0;0;0;0;0
"Vaals";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenburg aan de Geul";0;0;0;0;0;0;0;0;0;0;0;0
"Valkenswaard";0;0;0;0;0;0;0;0;0;0;0;0
"Veendam";0;0;0;0;0;0;0;0;0;0;0;0
"Veenendaal";0;0;0;0;0;0;0;0;0;0;6;12
"Veere";0;0;0;0;0;0;0;0;0;0;0;0
"Veldhoven";0;0;0;0;0;0;0;0;0;0;0;0
"Velsen";0;0;0;0;0;0;0;0;0;0;0;0
"Venlo";6;6;6;9;8;9;9;9;9;9;9;9
"Venray";6;6;6;6;6;6;6;6;6;6;6;6
"Vijfheerenlanden";24;24;24;26;26;26;26;25;26;26;26;25
"Vlaardingen";0;0;0;0;2;2;2;2;2;2;2;2
"Vlieland";0;0;0;0;0;0;0;0;0;0;0;0
"Vlissingen";0;0;0;0;0;0;0;0;0;0;0;0
"Voerendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Voorschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Voorst";6;6;6;6;6;6;6;6;6;6;6;6
"Vught";0;0;0;0;0;0;0;0;0;0;0;0
"Waadhoeke";2;2;2;2;2;2;2;2;2;2;2;2
"Waalre";0;0;0;0;0;0;0;0;0;0;0;0
"Waalwijk";2;2;2;2;6;6;6;6;6;6;4;2
"Waddinxveen";0;0;0;0;0;0;0;0;0;0;1;2
"Wageningen";0;0;0;0;0;0;0;0;0;0;0;0
"Wassenaar";0;0;0;6;6;6;6;5;6;6;5;4
"Waterland";0;0;0;0;0;0;0;0;0;0;0;0
"Weert";6;6;6;6;6;6;6;6;6;6;3;0
"Weesp";0;0;0;0;0;0;0;0;0;0;0;0
"West Betuwe";20;22;20;22;18;18;18;18;18;18;19;19
"West Maas en Waal";0;0;0;0;0;0;0;0;0;0;0;0
"Westerkwartier";2;8;8;7;7;8;8;8;8;8;8;8
"Westerveld";0;0;0;4;4;4;4;4;4;4;4;4
"Westervoort";0;0;0;0;0;0;0;0;0;0;0;0
"Westerwolde";0;0;0;0;0;0;0;0;0;0;0;0
"Westland";0;0;0;0;0;0;0;0;0;0;0;0
"Weststellingwerf";2;2;2;2;2;2;2;2;2;2;2;2
"Westvoorne";0;0;0;0;0;0;0;0;0;0;0;0
"Wierden";0;0;0;0;0;0;0;0;0;0;1;2
"Wijchen";0;0;0;0;0;0;0;0;0;0;0;0
"Wijdemeren";0;0;0;0;0;0;0;0;0;0;0;0
"Wijk bij Duurstede";0;0;0;0;0;0;0;0;0;0;0;0
"Winterswijk";0;0;0;0;0;0;0;0;0;0;0;0
"Woensdrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Woerden";16;16;16;16;15;15;15;16;16;16;19;21
"Wormerland";0;0;0;0;0;0;0;0;0;0;0;0
"Woudenberg";7;7;7;7;7;7;7;7;7;7;7;7
"Zaanstad";3;3;3;3;3;3;0;0;0;0;3;5
"Zaltbommel";23;25;24;24;24;25;29;29;29;29;29;28
"Zandvoort";0;0;0;0;0;0;0;0;0;0;0;0
"Zeewolde";0;0;0;0;0;0;0;0;4;2;1;0
"Zeist";0;0;0;0;0;0;0;0;0;0;0;0
"Zevenaar";8;8;8;8;8;8;8;8;8;8;8;8
"Zoetermeer";6;6;6;6;6;6;6;6;8;8;8;8
"Zoeterwoude";0;0;0;0;0;0;0;0;0;0;0;0
"Zuidplas";10;10;10;10;10;10;10;10;10;10;12;13
"Zundert";0;0;0;0;0;0;0;0;0;0;0;0
"Zutphen";0;0;0;0;0;0;0;0;0;0;2;3
"Zwartewaterland";0;0;0;0;0;0;0;0;0;0;0;0
"Zwijndrecht";0;0;0;0;0;0;0;0;0;0;0;0
"Zwolle";24;24;24;24;24;24;32;32;32;32;33;34
"Gemeente onbekend";"";"";"";"";"";"";"";"";"";"";"";""
