Periode,Locatie,Som.kWh,som.connectietijd,aantal.elektrische.kilometers,co2.reduction,aantal.sessies,aantal.unieke.rfids,aantal.palen,gemiddeld.aantal.sessies,kwh.per.sessie,kwh.per.paal,rfid.per.paal,kwh.per.rfid,aantal.laadpunten,Periode.numeriek
2014-08-01,Alle,461306.45,517351.07,2283695.27419275,385.944501338575,56571,6964,1899,29.7898894154818,8.15446872072263,242.920721432333,3.66719325961032,66.2415924755887,3796,
2014-12-01,Alle,667466.21,677800.15,3304288.13527395,558.424694861298,72275,8919,2151,33.6006508600651,9.23509111034244,310.305072059507,4.14644351464435,74.8364401838771,4302,
2014-07-01,Alle,435913.97,476304.51,2157989.92891515,364.70029798666,52827,6613,1827,28.9146141215107,8.25172676850853,238.595495347564,3.61959496442255,65.9177332526841,3653,
2014-11-01,Alle,714679.52,707345.24,3538017.3903624,597.924938971246,76500,8712,2104,36.3593155893536,9.34221594771242,339.676577946768,4.14068441064639,82.0339210284665,4209,
2014-10-01,Alle,686096.17,688219.02,3396515.65910415,574.011146388601,75858,8440,2089,36.3130684538056,9.04448008120436,328.432824317855,4.0402106270943,81.2910154028436,4178,
2014-09-01,Alle,558471.33,619540.01,2764709.52680835,467.235910030611,68481,7789,1971,34.7442922374429,8.15512813773164,283.344155251142,3.95180111618468,71.7000038515856,3941,
2015-04-01,Alle,769969.93,860559,3811732.28861535,644.182756775994,88117,10488,2392,36.8382107023411,8.73804067319587,321.893783444816,4.38461538461539,73.4143716628528,4782,
2015-08-01,Alle,732246.89,841808.57,3624984.56771055,612.622391943083,86300,11447,2644,32.6399394856278,8.48490023174971,276.9466301059,4.32942511346445,63.9684537433389,5291,
2015-12-01,Alle,1097837.17,1269302.77,5434837.42089915,918.487524131956,136885,17132,3068,44.6170143415906,8.02014223618366,357.834801173403,5.58409387222947,64.0810862713052,6138,
2015-02-01,Alle,732001.9,736521.44,3623771.7459405,612.417425063945,79868,9433,2259,35.3554670208057,9.16514624129814,324.038025675078,4.17574147853032,77.6001166118944,4516,
2015-01-01,Alle,803048.13,810740.49,3975485.75232435,671.857092142815,85455,9676,2220,38.4932432432432,9.39732174828857,361.733391891892,4.35855855855856,82.9938125258371,4441,
2015-07-01,Alle,720937,818568.44,3568995.013815,603.160157334735,85845,10739,2620,32.7652671755725,8.39812452676335,275.16679389313,4.09885496183206,67.1326008008194,5242,
2015-06-01,Alle,797336.42,898549.63,3947209.9605279,667.078483329215,95613,11272,2559,37.3634232121923,8.33920512900965,311.581250488472,4.40484564282923,70.7360202271114,5120,
2015-03-01,Alle,810420.49,858608.34,4011982.58364255,678.025056635591,92477,10263,2347,39.4022155943758,8.76348162245748,345.30059224542,4.37281636131231,78.9652625937835,4693,
2015-05-01,Alle,745467.35,837669.27,3690432.38883825,623.683073713664,88396,10805,2454,36.0211898940505,8.43327017059595,303.776426242869,4.40301548492258,68.9928135122628,4911,
2015-11-01,Alle,1078854.5,1204915.23,5340863.8079775,902.605983548198,131205,15306,3019,43.4597548857237,8.2226630082695,357.3549188473,5.06989069228221,70.4857245524631,6044,
2015-10-01,Alle,1021281.57,1162446.54,5055849.30587715,854.438532693238,122196,14388,2842,42.9964813511612,8.35773323185702,359.35312104152,5.06263194933146,70.9814824854045,5686,
2015-09-01,Alle,915061.02,1038239.29,4530005.0042049,765.570845710628,110559,13119,2717,40.6915715863084,8.27667598295933,336.790953257269,4.82848730217151,69.7508209467185,5436,
2016-04-01,Alle,1199391.85,1476054.08,5937583.35646575,1003.45158724271,157122,19638,3643,43.1298380455668,7.63350676544341,329.231910513313,5.39061213285753,61.0750509216825,7299,
2016-08-01,Alle,1142133.67,1466965.67,5654127.02266665,955.547466830664,150544,19716,3800,39.6168421052632,7.58670999840578,300.561492105263,5.18842105263158,57.9292792655711,7614,
2016-12-01,Alle,1552823.92,1910271.25,7687247.0518404,1299.14475176103,194539,24510,4035,48.2128872366791,7.98207002194933,384.838641883519,6.07434944237918,63.3547090983272,8086,
2016-02-01,Alle,1198875.04,1373935.25,5935024.8911448,1003.01920660347,152471,18578,3414,44.6605155243117,7.86297092561864,351.164335090803,5.44171060339777,64.5319754548391,6838,
2016-01-01,Alle,1260439.69,1424898.315,6239800.38314655,1054.52626475177,158116,17982,3141,50.339382362305,7.97161381517367,401.28611588666,5.72492836676218,70.0945217439662,6292,
2016-07-01,Alle,1125464.27,1431528.88,5571605.24131365,941.601285782007,149236,19869,3777,39.5117818374371,7.54150653997695,297.978361133174,5.26052422557585,56.6442332276411,7566,
2016-06-01,Alle,1258937.34,1626952.26,6232363.0069833,1053.26934818018,167735,20333,3742,44.8249599144842,7.50551369720094,336.434350614645,5.43372528059861,61.9159661633797,7497,
2016-03-01,Alle,1302115.42,1534576.7,6446115.8761329,1089.39358306646,165388,19228,3509,47.1325163864349,7.87309490410429,371.078774579652,5.47962382445141,67.7197534845018,7029,
2016-05-01,Alle,1232943.81,1538333.32,6103682.16668595,1031.52228616993,162858,20193,3745,43.486782376502,7.57066775964337,329.223981308411,5.39198931909212,61.0579809835091,7501,
2016-11-01,Alle,1549395.95,1834596.96,7670276.90349525,1296.2767966907,193179,23151,4009,48.1863307557995,8.02051956993255,386.479408830132,5.77475679720629,66.9256597987128,8034,
2016-10-01,Alle,1446732.97,1793815,7162044.33432015,1210.38549250011,185434,22659,3970,46.7088161209068,7.80187543816129,364.416365239295,5.70755667506297,63.8480502228695,7956,
