"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2021";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2021"
"Aa en Hunze";0;0;0;0;0;0;0;0;0;0;0;0
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;0
"Achtkarspelen";0;0;0;0;0;0;0;0;0;0;0;0
"Alblasserdam";0;0;1;3;7;7;3;3;3;3;3;2
"Albrandswaard";4;4;4;4;4;4;4;4;4;4;4;4
"Alkmaar";12;12;12;12;12;12;12;12;12;12;12;12
"Almelo";2;2;2;2;2;2;2;2;2;2;2;2
"Almere";5;5;3;7;7;7;7;8;8;8;7;5
"Alphen aan den Rijn";7;6;6;6;6;6;6;6;5;5;5;4
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";14;12;12;12;12;12;12;12;12;12;12;12
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";7;7;5;10;10;11;11;11;11;11;11;10
"Amstelveen";0;0;5;7;7;7;7;7;7;7;7;6
"Amsterdam";24;18;16;18;18;18;18;16;17;20;19;17
"Apeldoorn";36;36;36;36;36;36;36;38;38;20;18;16
"Arnhem";18;18;17;24;21;22;22;24;24;24;17;10
"Assen";3;3;1;3;3;3;3;3;3;3;2;0
"Asten";2;0;0;0;0;0;0;0;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";0;0;0;0;0;3;3;3;3;3;5;7
"Barneveld";4;6;2;4;4;4;4;4;4;4;3;1
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";1;1;0;0;0;0;0;0;0;0;0;0
"Bergen op Zoom";0;0;0;0;0;0;0;0;0;0;0;0
"Berkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Bernheze";0;0;0;0;0;0;0;0;0;0;0;0
"Best";9;6;6;6;6;6;6;6;6;6;6;5
"Beuningen";0;0;0;0;0;0;0;0;0;0;0;0
"Beverwijk";0;0;0;0;0;0;2;2;2;2;2;1
"Bladel";3;3;0;0;0;0;2;2;2;2;2;2
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Borne";0;0;0;0;0;0;0;0;0;0;0;0
"Borsele";0;0;0;0;0;0;0;0;0;0;0;0
"Boxtel";0;0;0;0;0;0;0;0;0;0;0;0
"Breda";15;23;19;23;23;23;23;24;24;24;21;18
"Brielle";0;0;0;0;0;0;0;0;0;0;0;0
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";0;0;0;0;0;0;0;0;0;0;0;0
"Bunschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Buren";0;0;0;0;0;0;0;0;0;0;0;0
"Capelle aan den IJssel";3;3;1;3;3;3;3;3;3;3;2;0
"Castricum";0;0;0;0;0;0;0;0;0;0;0;0
"Coevorden";0;0;0;0;0;0;0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0;0;0;0;0;0;0
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";2;2;2;2;2;2;2;2;1;1;1;1
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";0;0;0;0;0;0;0;0;0;0;0;0
"De Fryske Marren";0;0;0;0;0;0;0;0;0;0;0;0
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
"De Wolden";0;0;0;0;0;0;0;0;0;0;0;0
"Delft";3;3;1;3;11;11;6;9;7;9;6;3
"Den Haag";7;7;9;11;7;7;4;4;4;4;4;4
"Den Helder";3;3;1;0;0;0;0;3;3;3;3;3
"Deurne";0;0;0;0;0;0;0;0;0;0;0;0
"Deventer";6;6;2;6;6;6;10;10;10;6;5;3
"Diemen";0;0;0;0;0;0;0;0;4;0;0;0
"Dijk en Waard";0;0;0;0;0;0;0;0;0;0;0;0
"Dinkelland";0;0;0;0;0;0;0;0;0;0;0;0
"Doesburg";0;0;0;0;0;0;0;0;0;0;0;0
"Doetinchem";0;0;0;0;0;2;2;3;3;3;3;2
"Dongen";0;0;0;0;0;0;0;0;0;0;0;0
"Dordrecht";8;8;9;13;13;13;13;13;13;16;14;12
"Drechterland";0;0;0;0;0;0;0;0;0;0;0;0
"Drimmelen";0;0;0;0;0;0;0;0;0;0;0;0
"Dronten";6;6;6;6;2;2;2;2;2;2;2;2
