"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2022";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2022"
"Aa en Hunze";0;2;2;2;2;2;2;2;2;2;2;2
"Aalsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Aalten";0;0;0;0;0;0;0;0;0;0;0;2
"Achtkarspelen";0;0;0;0;0;0;0;0;0;0;0;0
"Alblasserdam";0;0;0;0;0;0;0;0;3;3;0;3
"Albrandswaard";0;8;0;0;0;0;0;0;0;0;0;0
"Alkmaar";4;10;10;10;11;10;10;10;13;13;13;9
"Almelo";2;2;2;2;2;2;2;2;2;3;5;5
"Almere";5;5;7;7;7;7;7;7;7;7;7;7
"Alphen aan den Rijn";0;1;1;1;1;1;1;1;1;1;1;1
"Alphen-Chaam";0;0;0;0;0;0;0;0;0;0;0;0
"Altena";0;0;0;0;2;2;2;2;2;0;0;0
"Ameland";0;0;0;0;0;0;0;0;0;0;0;0
"Amersfoort";1;2;4;4;3;2;1;1;1;1;1;1
"Amstelveen";6;7;6;7;7;7;7;7;7;7;7;19
"Amsterdam";15;15;19;21;22;24;22;17;12;9;18;224
"Apeldoorn";0;0;0;0;2;2;2;3;3;1;1;5
"Arnhem";4;1;6;10;7;7;7;9;9;9;9;6
"Assen";0;3;0;3;0;0;3;0;0;0;0;0
"Asten";0;0;0;0;0;0;0;0;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0;0;0;0;0;0;0
"Baarn";0;0;0;0;0;0;0;0;0;0;0;0
"Barendrecht";4;4;4;4;0;0;4;4;4;4;4;5
"Barneveld";1;1;1;1;2;1;4;4;4;4;4;4
"Beek";0;0;0;0;0;0;0;0;0;0;0;0
"Beekdaelen";0;0;0;0;0;0;0;0;0;0;0;0
"Beesel";0;0;0;0;0;0;0;0;0;0;0;0
"Berg en Dal";0;0;0;0;0;0;0;0;0;0;0;0
"Bergeijk";0;0;0;0;1;0;0;0;0;0;0;0
"Bergen (L.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen (NH.)";0;0;0;0;0;0;0;0;0;0;0;0
"Bergen op Zoom";0;0;0;0;0;0;0;0;0;0;0;0
"Berkelland";0;0;0;0;0;0;0;4;4;4;4;4
"Bernheze";0;0;0;0;0;0;0;0;0;1;0;0
"Best";5;6;6;6;6;6;6;6;6;6;6;6
"Beuningen";0;0;0;0;0;0;0;0;0;0;0;0
"Beverwijk";1;0;0;1;1;1;1;0;0;0;1;0
"Bladel";2;0;0;0;0;0;0;0;0;0;0;0
"Blaricum";0;0;0;0;0;0;0;0;0;0;0;0
"Bloemendaal";0;0;0;0;0;0;0;0;0;0;0;0
"Bodegraven-Reeuwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Boekel";0;0;0;0;0;0;0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0;0;0;0;0;0;1
"Borne";0;0;0;0;0;0;0;0;0;0;0;0
"Borsele";0;0;0;0;0;0;0;0;0;0;0;4
"Boxtel";0;0;0;0;0;0;0;0;0;0;0;0
"Breda";2;2;0;0;1;1;1;1;1;2;3;12
"Brielle";0;0;0;0;0;0;0;0;0;0;0;0
"Bronckhorst";0;0;0;0;0;0;0;0;0;0;0;0
"Brummen";0;0;0;0;0;0;0;0;0;0;0;0
"Brunssum";0;0;0;0;0;0;0;0;0;0;0;0
"Bunnik";0;0;0;0;0;0;0;0;0;0;0;0
"Bunschoten";0;0;0;0;0;0;0;0;0;0;0;0
"Buren";0;0;0;0;0;0;0;0;0;0;0;0
"Capelle aan den IJssel";0;0;0;0;0;3;0;0;0;1;1;1
"Castricum";0;0;0;0;0;0;0;0;0;0;0;0
"Coevorden";0;0;0;0;0;0;0;0;0;0;0;0
"Cranendonck";0;0;0;0;0;0;0;0;0;0;0;4
"Culemborg";0;0;0;0;0;0;0;0;0;0;0;0
"Dalfsen";1;1;1;1;1;1;1;1;0;0;0;0
"Dantumadiel";0;0;0;0;0;0;0;0;0;0;0;0
"De Bilt";0;0;0;0;1;1;1;1;1;1;1;1
"De Fryske Marren";0;6;6;6;6;6;6;0;0;0;0;0
"De Ronde Venen";0;0;0;0;0;0;0;0;0;0;0;0
