"Gemeenten";"Aantal publieke reguliere laadpunten voor elektrische auto's|Januari 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Februari 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Maart 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|April 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Mei 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juni 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Juli 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Augustus 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|September 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|Oktober 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|November 2022";"Aantal publieke reguliere laadpunten voor elektrische auto's|December 2022"
"Aa en Hunze";24;22;25;31;34;36;36;38;38;35;35;37
"Aalsmeer";187;178;189;209;210;206;206;214;214;215;215;215
"Aalten";62;62;62;63;62;62;62;68;68;70;70;70
"Achtkarspelen";12;12;12;12;14;16;18;18;22;24;24;32
"Alblasserdam";55;54;57;56;56;57;57;57;61;62;62;60
"Albrandswaard";112;112;113;120;120;116;120;124;128;130;130;130
"Alkmaar";559;561;567;578;683;613;619;620;642;650;660;674
"Almelo";60;67;66;71;63;63;63;65;65;63;63;64
"Almere";922;951;1013;1094;1194;1131;1137;1149;1161;1167;1177;1231
"Alphen aan den Rijn";625;632;640;650;672;686;688;692;710;733;735;751
"Alphen-Chaam";13;13;13;12;12;12;12;12;10;12;16;20
"Altena";86;86;97;101;85;100;102;108;110;108;110;110
"Ameland";11;10;10;13;8;8;8;8;8;7;7;7
"Amersfoort";797;812;823;838;1139;873;880;888;892;904;911;947
"Amstelveen";731;764;784;802;773;763;763;767;777;800;793;782
"Amsterdam";5143;5328;6867;7004;6265;6432;6541;6549;6649;6688;6729;6850
"Apeldoorn";353;350;365;380;378;378;390;400;411;420;424;465
"Arnhem";673;667;710;734;775;785;789;780;801;807;810;816
"Assen";103;103;110;113;122;122;126;138;127;130;129;135
"Asten";20;20;20;22;23;23;22;22;22;22;22;24
"Baarle-Nassau";6;6;6;6;8;8;8;6;6;8;8;8
"Baarn";45;49;51;59;59;56;54;54;54;56;56;58
"Barendrecht";241;240;265;271;284;284;286;286;295;312;319;329
"Barneveld";187;184;201;212;205;205;207;207;211;225;230;239
"Beek";8;3;3;6;5;5;3;7;7;11;13;21
"Beekdaelen";18;20;20;21;22;22;26;36;38;38;40;40
"Beesel";6;6;6;6;6;4;6;6;8;12;16;16
"Berg en Dal";56;54;58;60;78;64;66;67;65;65;65;71
"Bergeijk";14;14;14;14;14;14;16;16;20;18;18;18
"Bergen (L.)";27;27;25;27;27;33;33;33;27;25;27;25
"Bergen (NH.)";139;141;141;152;186;161;162;162;173;174;172;177
"Bergen op Zoom";153;156;178;191;218;232;238;242;240;242;244;252
"Berkelland";22;28;28;29;30;28;26;26;26;32;26;26
"Bernheze";38;38;45;43;47;46;46;49;50;58;62;70
"Best";64;74;76;80;82;82;80;87;85;101;103;107
"Beuningen";29;32;35;36;31;31;31;31;33;43;43;57
"Beverwijk";87;90;91;87;109;97;97;105;109;109;105;115
"Bladel";22;19;21;25;31;31;30;28;32;29;33;33
"Blaricum";32;32;34;38;48;38;40;40;42;42;42;46
"Bloemendaal";88;92;94;99;102;102;104;104;104;102;100;104
"Bodegraven-Reeuwijk";95;96;108;110;117;121;128;129;143;159;161;161
"Boekel";7;7;7;7;7;7;7;9;11;13;11;21
"Borger-Odoorn";6;6;6;12;16;14;17;21;21;21;21;25
"Borne";30;30;30;32;36;34;34;40;40;40;48;50
"Borsele";14;25;34;32;27;27;29;33;39;37;35;39
"Boxtel";52;67;75;76;67;68;70;72;104;116;116;124
"Breda";781;790;799;800;828;844;872;920;959;969;989;952
"Brielle";98;98;103;101;94;94;98;102;100;106;108;128
"Bronckhorst";34;40;40;41;40;38;38;38;38;38;40;40
"Brummen";24;26;28;32;32;30;32;35;35;43;43;41
"Brunssum";28;28;28;34;28;28;30;30;32;32;34;34
"Bunnik";77;77;77;69;85;71;73;73;73;71;71;71
"Bunschoten";36;40;36;38;42;42;46;50;54;54;56;56
"Buren";18;18;20;24;37;41;40;42;46;54;53;73
"Capelle aan den IJssel";244;258;265;263;270;268;278;280;300;284;318;334
"Castricum";173;173;176;171;188;168;170;170;170;168;168;172
"Coevorden";17;17;16;18;29;27;29;31;33;30;30;34
"Cranendonck";12;12;12;12;14;14;18;18;18;22;22;22
"Culemborg";191;161;160;152;169;179;181;181;195;207;205;171
"Dalfsen";41;42;44;44;46;46;48;52;52;50;51;55
"Dantumadiel";6;6;6;6;6;6;6;6;6;6;6;6
"De Bilt";163;160;171;173;224;178;179;179;179;176;178;180
"De Fryske Marren";26;25;24;28;30;34;36;28;28;38;42;52
"De Ronde Venen";187;190;192;197;198;196;198;203;203;204;204;202
"De Wolden";30;27;27;27;28;28;28;28;28;28;27;30
"Delft";361;365;372;388;412;406;427;438;447;432;440;471
"Den Haag";3541;3514;3584;3672;3794;3819;3894;3944;4980;4054;4101;4269
"Den Helder";116;116;114;126;128;123;124;128;124;125;129;136
"Deurne";49;55;57;57;52;55;57;55;55;59;59;65
"Deventer";191;194;195;200;228;238;268;243;272;244;248;278
"Diemen";154;163;167;170;192;180;212;201;195;180;180;184
"Dijk en Waard";266;270;279;278;317;280;286;284;285;287;287;293
"Dinkelland";14;20;20;20;22;22;22;20;21;22;24;24
"Doesburg";11;12;13;13;12;12;12;16;16;18;18;14
"Doetinchem";44;53;56;60;62;64;68;71;71;77;75;75
"Dongen";88;88;89;91;88;92;92;92;92;94;94;96
"Dordrecht";385;398;415;420;433;449;459;463;474;500;507;523
"Drechterland";20;21;24;25;24;20;20;20;20;20;20;20
"Drimmelen";65;76;90;91;90;92;92;96;94;96;96;106
"Dronten";59;57;63;62;66;61;67;69;69;73;83;85
"Druten";30;30;30;31;30;30;31;31;31;31;33;41
"Duiven";98;98;102;99;100;116;124;128;128;138;138;142
"Echt-Susteren";40;38;45;45;43;43;47;44;44;48;48;70
