"Gemeenten";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Januari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Februari 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Maart 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|April 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Mei 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juni 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Juli 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Augustus 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|September 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|Oktober 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|November 2020";"Aantal semi-publieke snellaadpunten voor elektrische auto's|December 2020"
"Eersel";0;0;0;0;0;0;0;0;0;0;0;0
"Eijsden-Margraten";0;0;0;0;0;0;0;0;0;0;0;0
"Eindhoven";10;10;10;10;10;11;9;9;9;9;9;9
"Elburg";0;0;0;0;0;0;0;0;0;0;0;0
"Emmen";0;0;0;0;0;0;2;2;2;3;3;3
"Enkhuizen";0;0;0;0;0;0;0;0;0;0;0;0
"Enschede";6;6;6;6;4;4;6;6;6;11;15;19
"Epe";0;0;0;0;0;0;0;0;0;0;0;0
"Ermelo";0;0;0;0;0;0;0;0;0;0;0;0
"Etten-Leur";0;0;0;0;0;0;0;0;0;0;8;16
"Geertruidenberg";0;0;0;0;0;0;0;0;0;0;0;0
"Geldrop-Mierlo";0;0;0;0;0;0;0;0;0;0;0;0
"Gemert-Bakel";0;0;0;0;0;0;0;0;0;0;0;0
"Gennep";0;0;0;0;0;0;0;0;0;0;0;0
"Gilze en Rijen";0;0;0;0;0;0;0;0;0;0;8;8
"Goeree-Overflakkee";3;3;3;3;3;3;2;2;2;2;2;2
"Goes";4;4;4;4;4;4;6;6;4;5;7;7
"Goirle";0;0;0;0;0;0;0;0;0;0;0;0
"Gooise Meren";0;0;0;0;0;0;0;0;0;0;0;0
"Gorinchem";0;0;0;0;0;0;0;0;0;0;0;0
"Gouda";0;0;0;0;0;0;0;0;0;0;0;0
"Groningen";3;0;0;0;3;3;5;5;5;10;17;15
"Gulpen-Wittem";0;0;0;0;0;0;0;0;0;0;0;0
"Haaksbergen";0;0;0;0;0;0;0;0;0;0;0;0
"Haarlem";4;4;6;6;6;6;6;6;6;6;6;6
"Haarlemmermeer";4;4;4;4;4;4;4;4;4;4;4;7
"Halderberge";2;0;0;0;0;0;0;0;0;0;0;0
"Hardenberg";0;0;0;0;1;0;0;0;0;0;1;4
"Harderwijk";2;2;2;5;2;2;2;2;2;2;2;2
"Hardinxveld-Giessendam";0;0;0;0;0;0;0;0;0;0;3;3
"Harlingen";0;0;0;0;0;0;0;0;0;0;0;3
"Hattem";0;0;0;0;0;0;0;0;0;0;0;0
"Heemskerk";1;1;1;1;1;1;0;0;0;0;0;0
"Heemstede";0;0;0;0;0;0;0;0;0;0;0;0
"Heerde";0;0;0;0;0;0;0;0;0;0;0;0
"Heerenveen";0;0;0;0;0;0;0;0;0;0;0;0
"Heerlen";0;0;0;0;0;0;0;0;0;0;0;0
"Heeze-Leende";0;0;0;0;0;0;0;0;0;0;0;0
"Heiloo";0;0;0;0;0;0;0;0;0;0;0;0
"Hellendoorn";0;0;0;0;0;0;0;0;0;0;0;0
"Hellevoetsluis";0;0;0;0;0;0;0;0;0;0;0;0
"Helmond";0;0;0;0;0;0;0;0;0;0;4;4
"Hendrik-Ido-Ambacht";0;0;0;0;0;0;0;0;0;8;8;8
"Hengelo";0;0;0;0;0;0;0;0;0;0;0;0
"Het Hogeland";0;0;0;0;0;0;0;0;0;0;0;0
"Heumen";0;0;0;0;0;0;0;0;0;0;0;0
"Heusden";0;0;0;0;0;0;0;0;0;0;0;0
"Hillegom";0;0;0;0;0;0;0;0;0;0;0;0
"Hilvarenbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Hilversum";0;0;1;1;1;1;1;1;1;1;1;1
"Hoeksche Waard";0;0;0;0;0;0;0;0;0;0;0;4
"Hof van Twente";0;0;0;0;0;0;0;0;0;0;0;0
"Hollands Kroon";0;0;0;0;0;0;0;0;0;0;0;4
"Hoogeveen";0;0;0;0;0;0;0;0;0;0;0;0
"Hoorn";0;0;0;0;0;0;0;0;0;0;0;4
"Horst aan de Maas";0;0;0;0;0;0;0;0;0;0;0;0
"Houten";0;0;0;0;0;0;0;0;0;0;0;0
"Huizen";1;1;1;1;1;1;0;0;0;0;0;0
"Hulst";0;0;2;2;0;0;0;0;0;0;0;0
"IJsselstein";0;0;0;0;0;0;0;0;0;0;0;3
"Kaag en Braassem";0;0;0;0;0;0;0;0;0;0;0;0
"Kampen";0;0;0;0;0;0;0;0;0;0;0;0
"Kapelle";0;0;0;0;0;0;0;0;0;0;0;0
"Katwijk";0;0;0;0;0;0;0;0;0;0;0;0
"Kerkrade";0;0;0;0;0;0;0;0;0;0;0;3
"Koggenland";0;0;0;0;0;0;0;0;0;0;0;0
"Krimpen aan den IJssel";0;0;0;0;0;0;0;0;0;0;0;0
"Krimpenerwaard";0;0;0;0;0;0;0;0;0;0;0;0
"Laarbeek";0;0;0;0;0;0;0;0;0;0;0;0
"Land van Cuijk";0;0;0;0;0;0;0;0;0;0;0;0
"Landgraaf";0;0;0;0;0;0;0;0;0;0;0;3
"Landsmeer";0;0;0;0;0;0;0;0;0;0;0;0
"Lansingerland";0;0;0;0;0;0;0;0;0;0;0;0
"Laren";0;0;0;0;0;0;0;0;0;0;0;0
"Leeuwarden";1;1;1;1;1;1;0;0;0;0;9;12
"Leiden";0;0;0;0;0;0;0;0;0;0;0;2
"Leiderdorp";0;0;0;0;4;0;0;0;0;0;0;0
"Leidschendam-Voorburg";0;0;0;0;0;0;0;0;0;0;0;0
"Lelystad";2;2;2;2;0;0;0;0;0;0;0;0
"Leudal";0;0;0;0;0;0;0;0;0;0;0;0
"Leusden";0;0;0;0;0;0;0;0;0;0;0;0
"Lingewaard";0;0;0;0;0;0;0;0;0;0;0;0
"Lisse";0;0;0;0;0;0;0;0;0;0;0;0
"Lochem";0;0;0;0;0;0;0;0;0;2;2;2
"Loon op Zand";0;0;0;0;0;0;0;0;0;0;0;0
"Lopik";0;0;0;0;0;0;0;0;0;0;0;0
"Losser";0;0;0;0;0;0;0;0;0;1;1;1
"Maasdriel";4;4;4;4;2;2;2;2;2;2;2;2
"Maasgouw";0;0;0;0;0;0;0;0;0;0;0;0
"Maashorst";1;1;1;1;1;1;1;1;3;1;1;1
"Maassluis";0;0;0;0;0;0;0;0;0;0;0;0
"Maastricht";1;1;3;1;1;1;1;1;1;1;1;1
"Medemblik";0;0;0;0;0;0;0;0;0;0;0;0
"Meerssen";0;0;0;0;0;0;0;0;0;0;0;0
"Meierijstad";0;0;0;0;0;1;0;0;0;0;0;0
"Meppel";1;1;1;1;1;1;0;0;0;0;0;0
"Middelburg";0;0;0;0;0;0;0;0;0;0;0;3
"Midden-Delfland";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Drenthe";0;0;0;0;0;0;0;0;0;0;0;0
"Midden-Groningen";0;0;0;0;0;0;0;0;0;0;0;0
"Moerdijk";0;0;0;0;0;0;0;0;0;0;0;0
"Molenlanden";0;0;0;0;0;0;0;0;0;0;0;0
"Montferland";0;0;0;0;0;0;0;0;0;0;0;0
"Montfoort";0;0;0;0;0;0;0;0;0;0;0;0
"Mook en Middelaar";0;0;0;0;0;0;0;0;0;0;0;0
"Neder-Betuwe";0;0;0;0;0;0;8;8;8;8;8;10
"Nederweert";0;0;0;0;0;0;0;0;0;0;0;0
"Nieuwegein";1;3;1;1;1;1;0;2;0;1;1;4
"Nieuwkoop";0;0;0;0;0;0;0;0;0;0;0;1
"Nijkerk";0;0;0;0;0;0;0;0;0;0;0;3
"Nijmegen";2;2;2;2;0;0;10;10;10;11;11;16
