Post.code;Totaal.2022;Koopwoning.2022;Huurwoning.2022;adressen/km2.2022
Code;x1;%;%;adressen/km2
1011;9760;30;70;7084
1012;8800;20;80;8578
1013;21940;30;70;6581
1014;3660;50;50;3309
1015;14910;30;70;11080
1016;11130;30;70;11457
1017;13105;40;60;9521
1018;21055;30;70;6959
1019;19840;40;60;4354
1021;6940;20;80;2921
1022;4145;30;70;2748
1023;4595;30;70;2606
1024;13750;30;70;2627
1025;16305;30;70;3037
1026;545;80;20;112
1027;545;70;30;192
1028;630;90;10;41
1031;7830;20;80;3294
1032;6210;30;70;3009
1033;13220;20;80;2211
1034;14925;30;70;2649
1035;10750;50;50;2017
1036;2670;60;40;2659
1037;140;-99997;-99997;312
1041;5;-99997;70;101
1042;20;-99997;-99997;124
1043;945;0;100;2196
1046;110;-99997;-99997;305
1047;55;-99997;-99997;88
1051;13130;30;70;8990
1052;12215;30;70;11582
1053;16535;30;70;11711
1054;17115;30;70;9977
1055;20905;30;70;7042
1056;20690;30;70;10060
1057;17345;20;80;10790
1058;15700;30;60;8262
1059;7065;30;70;6171
1060;9930;70;30;3188
1061;16710;20;80;5930
1062;14250;10;90;5646
1063;12445;30;70;3864
1064;16660;20;80;3960
1065;11980;20;80;4361
1066;19010;40;60;2910
1067;20120;30;70;2708
1068;17430;20;80;3944
1069;26095;30;70;4075
1071;12625;40;60;7924
1072;13635;20;80;10175
1073;13150;20;80;11307
1074;8220;20;80;10915
1075;10605;30;70;7783
1076;11300;20;80;5136
1077;9930;60;40;5302
1078;14655;30;70;8662
1079;14680;20;80;6091
1081;5330;40;60;2658
1082;12495;30;70;4151
1083;7780;30;70;3226
1086;4300;50;50;1166
1087;19860;50;50;1805
1091;16725;30;70;8830
1092;8890;30;70;8196
1093;9960;30;70;8706
1094;12295;30;70;8288
1095;15010;20;80;4572
1096;5420;20;80;3034
1097;15345;20;80;4894
1098;15470;40;60;4866
1101;140;-99997;-99997;1482
1102;24430;20;80;3424
1103;14200;40;60;3626
1104;15695;30;70;3265
1105;2460;0;100;1681
1106;17685;30;70;2451
1107;11455;30;70;2302
1108;2950;40;60;2061
1109;1645;60;40;451
1111;14775;50;50;2507
1112;13575;30;70;3584
1113;3470;40;60;1247
1114;75;-99997;80;1369
1115;5280;40;60;2111
1117;10;-99997;-99997;83
1118;40;-99997;-99997;75
1119;25;-99997;-99997;426
1121;10305;70;30;1151
1127;845;80;20;94
1131;8820;70;30;1757
1132;13755;90;10;1497
1135;7210;70;30;1266
1141;9490;70;30;990
1145;325;80;20;151
1151;2780;70;30;299
1153;315;90;10;50
1154;135;90;10;58
1156;1735;70;30;305
1161;7935;70;30;1113
1165;2620;70;30;876
1171;13450;70;30;1712
1175;870;90;10;507
1181;20950;60;40;3262
1182;3830;50;50;1569
1183;14220;40;60;2753
1184;625;80;20;585
1185;12025;40;60;2861
1186;14230;30;70;2451
1187;18625;60;40;1539
1188;7330;50;50;2039
1189;495;50;50;105
1191;8855;60;40;921
1211;9740;40;60;4007
1212;3565;30;70;2145
1213;7290;80;20;2283
1214;7605;50;50;3382
1215;10150;70;30;3045
1216;8940;50;50;1950
1217;7735;70;30;2126
1218;4120;60;40;819
1221;9340;50;50;3972
1222;11250;40;60;2273
1223;11995;60;40;2777
1231;9240;70;30;613
1241;6645;70;30;885
1243;1335;60;40;549
1244;1530;80;20;207
1251;11190;70;30;1109
1252;335;60;30;990
1261;10880;70;30;1081
1262;1475;80;20;1141
1271;8050;60;40;1725
1272;6295;80;20;1110
1273;8755;50;50;2383
1274;6365;50;50;2323
1275;1985;50;50;2588
1276;7450;50;50;2433
1277;2035;80;20;1693
1309;35;90;-99997;132
1311;4755;70;30;1755
1312;6955;70;30;1766
1313;4310;70;30;1209
1314;6050;40;60;2008
1315;4165;30;70;2471
1316;4060;90;10;1293
1317;4060;70;30;1025
1318;9560;60;40;1719
1319;7295;80;20;623
1321;9705;70;30;1595
1323;6205;70;30;2334
1324;10390;50;50;2087
1325;10365;60;40;1518
1326;11150;70;30;1869
1328;9895;70;30;1695
1331;200;70;30;84
1332;5;-99997;-99997;251
1333;12450;60;40;1636
1334;2325;20;80;2383
1335;12410;70;30;1925
1336;9120;70;30;1232
1338;9640;70;30;1843
1339;11260;70;30;1934
1341;3375;80;20;351
1343;1445;100;0;223
1349;3325;90;10;133
1351;1990;90;10;1189
1352;1695;80;20;1595
1353;4895;30;70;1627
1354;3030;30;70;2040
1355;3070;50;50;1533
1356;2705;60;40;1081
1357;3490;60;40;1410
1358;580;90;10;128
1359;2440;90;10;712
1361;3975;50;50;1098
1362;40;-99997;-99997;1048
1363;15375;60;40;1567
1381;4950;50;40;1764
1382;10130;50;50;2018
1383;3560;70;30;1160
1384;2130;100;0;1532
1391;8115;70;30;865
1393;1575;60;40;214
1394;5545;70;30;389
1396;1455;70;30;172
1398;4470;60;40;530
1399;3030;70;30;448
1401;4875;70;30;2735
1402;9520;60;40;3018
1403;9375;50;50;1916
1404;3540;40;60;3112
1405;2910;80;20;2277
1406;3515;70;30;2288
1411;9965;60;40;955
1412;7640;80;20;1683
1421;6045;50;50;1725
1422;14740;60;40;1682
1423;5565;70;30;1200
1424;4670;70;30;585
1426;890;90;10;145
1427;990;70;30;970
1428;115;90;10;127
1431;12800;60;40;1026
1432;10385;70;30;914
1433;9265;70;30;829
1435;4300;60;40;471
1436;505;80;20;695
1437;50;30;70;188
1438;165;90;10;212
1441;14740;50;50;2748
1442;6810;50;50;2729
1443;7790;30;70;3048
1444;6695;60;40;1718
1445;9270;50;50;2339
1446;4975;60;40;1448
1447;12300;70;30;1905
1448;18945;70;30;2002
1451;410;80;20;97
1452;1845;80;20;243
1454;560;80;20;67
1456;1975;80;20;195
1458;180;80;20;14
1461;4170;80;20;1262
1462;5155;70;30;528
1463;605;90;10;40
1464;790;80;20;58
1471;790;90;10;318
1472;695;80;20;65
1473;795;80;20;97
1474;3435;80;20;396
1475;555;90;10;51
1476;125;80;20;21
1477;170;90;10;30
1481;115;90;10;125
1482;145;90;-99997;20
1483;4255;70;30;609
1484;895;80;20;432
1485;90;90;-99997;82
1486;755;90;10;115
1487;140;90;10;113
1488;215;90;10;68
1489;160;90;-99997;31
1501;6490;50;50;3766
1502;8550;40;60;3762
1503;11340;40;60;2651
1504;8360;30;70;2217
1505;6605;40;60;2161
1506;13215;60;40;3130
1507;13210;60;40;1910
1508;4805;50;50;1912
1509;6485;60;40;962
1511;9640;70;30;1068
1521;11520;50;50;1711
1525;590;60;40;358
1531;13040;60;40;1777
1534;480;80;20;248
1536;320;80;20;75
1541;11165;60;40;2000
1544;8490;50;50;1375
1546;705;70;30;146
1551;4990;80;20;337
1561;8005;50;50;2299
1562;9025;60;40;1727
1566;13110;70;30;926
1567;11195;80;20;1673
1601;7535;60;40;1354
1602;11085;60;40;1416
1606;4325;70;30;417
1607;1570;80;20;229
1608;1405;80;20;86
1609;105;90;-99997;25
1611;10160;70;30;1244
1613;9535;70;30;1164
1614;2250;80;20;607
1616;8345;70;30;849
1617;1815;80;20;193
1619;7085;70;30;383
1621;5710;50;50;2076
1622;7625;50;50;1090
1623;2550;60;40;1839
1624;5980;50;50;2309
1625;9885;60;40;1837
1627;10;-99997;-99997;509
1628;20355;60;40;1904
1631;440;90;10;45
1633;3450;80;20;601
1634;415;70;30;87
1636;1250;70;30;173
1641;925;70;30;167
1642;45;90;-99997;148
1643;470;90;10;113
1645;2980;80;20;297
1646;70;80;20;112
1647;2580;80;20;222
1648;3710;80;20;656
1652;540;90;10;49
1654;740;80;20;120
1655;930;70;30;132
1657;2045;70;30;304
1658;175;90;10;33
1661;440;90;10;60
1662;320;70;30;75
1663;115;90;-99997;70
1671;8570;60;40;1009
1674;1925;60;40;275
1676;1090;70;30;110
1678;890;80;20;156
1679;2465;70;30;331
1681;300;90;10;149
1682;205;90;10;76
1683;195;80;20;138
1684;510;80;20;110
1685;460;80;20;501
1686;115;90;10;404
1687;6385;80;20;578
1688;2535;80;20;310
1689;17595;70;30;1308
1691;660;80;20;66
1692;25;80;-99997;23
1693;8110;70;30;592
1695;4585;80;20;1678
1696;1560;80;20;316
1697;860;90;10;146
1701;8870;80;20;1485
1702;8470;60;40;2016
1703;12555;60;40;2195
1704;9145;80;20;922
1705;17195;70;30;1732
1706;2815;80;20;739
1711;1570;80;20;220
1713;5925;80;20;633
1715;4635;70;30;644
1716;2150;70;30;696
1718;3935;80;20;476
1719;470;70;30;51
1721;6125;70;30;864
1722;6625;80;20;1095
1723;5770;70;30;1166
1724;3865;80;20;543
1731;3455;70;30;441
1732;770;80;20;74
1733;3300;70;20;388
1734;410;90;10;46
1735;2190;80;20;251
1736;400;90;10;159
1738;2700;80;20;292
1741;12860;60;40;1614
1742;6470;70;30;967
1744;1825;80;20;130
1746;1620;80;20;302
1747;3755;70;30;414
