Post.code;Totaal.2021;Koopwoning.2021;Huurwoning.2021;adressen/km2.2021
Code;x1;%;%;adressen/km2
3438;10150;70;30;1848
3439;1340;20;80;739
3441;2775;50;50;2142
3442;4245;60;40;2332
3443;7405;50;50;1899
3444;275;90;10;695
3445;4620;60;40;1389
3446;9200;90;10;1215
3447;35;-99997;-99997;948
3448;9115;60;40;1515
3449;655;60;40;1831
3451;12565;70;30;1315
3452;15160;70;30;1702
3453;9205;80;20;1527
3454;12895;70;20;1554
3455;455;80;30;117
3461;3955;80;20;470
3464;390;80;20;43
3465;2005;80;20;198
3466;1660;80;20;177
3467;720;80;20;113
3471;3880;70;30;305
3474;2300;80;20;186
3481;8195;80;20;744
3511;9485;30;70;5588
3512;8480;30;70;6046
3513;6960;30;70;5602
3514;7550;60;40;6125
3515;5930;40;60;5527
3521;6835;50;50;4149
3522;8940;40;60;4586
3523;10290;40;60;4374
3524;11350;40;60;2240
3525;6130;40;60;3022
3526;12115;20;80;3194
3527;12220;20;80;3495
3528;20;-99997;-99997;1060
3531;11420;40;60;4301
3532;7045;50;50;4418
3533;9330;60;40;3399
3534;1295;90;10;2392
3541;7885;40;60;2266
3542;170;70;30;657
3543;11435;50;50;1714
3544;22260;60;40;2208
3545;1185;60;40;581
3546;215;90;10;221
3551;6790;40;60;4648
3552;7865;30;70;4595
3553;7025;50;40;3532
3554;7730;40;60;4094
3555;8665;40;60;2143
3561;9030;20;80;3463
3562;7075;20;80;3502
3563;7705;20;80;3697
3564;9905;20;80;2861
3565;45;40;60;1110
3566;330;80;20;1513
3571;10005;70;30;3776
3572;11455;50;40;4745
3573;4950;70;30;1869
3581;9705;50;50;4927
3582;9065;40;60;4256
3583;6020;50;50;2843
3584;6785;30;70;1021
3585;205;80;20;746
3601;7065;50;50;1474
3602;3555;80;20;1007
3603;2705;80;20;2185
3604;2580;80;20;1210
3605;5730;40;60;2174
3606;495;-99997;100;1288
3607;13655;80;20;1774
3608;3315;70;30;1315
3611;600;90;10;534
3612;1775;80;20;138
3615;1170;80;20;98
3621;10645;60;40;872
3625;200;70;20;65
3626;740;80;20;62
3628;3440;70;30;306
3631;475;70;30;144
3632;4410;60;40;552
3633;1875;70;30;255
3634;485;90;10;108
3641;11285;60;40;1314
3642;3165;60;40;1175
3643;1485;80;20;751
3645;9490;70;30;638
3646;815;80;20;57
3648;6990;70;30;679
3651;145;90;10;53
3652;595;80;20;84
3653;40;90;-99997;74
3701;6400;50;50;2405
3702;3935;60;40;2815
3703;5980;50;40;1737
3704;9795;50;50;1755
3705;9650;50;50;2039
3706;5245;20;80;1432
3707;5955;70;30;1626
3708;6645;40;60;1120
3709;320;80;20;409
3711;1710;80;20;201
3712;3145;40;60;606
3721;8185;50;50;1832
3722;4585;60;40;1176
3723;10120;60;40;1133
3731;6115;70;30;1715
3732;4815;60;40;1674
3734;4520;60;40;616
3735;1720;80;20;404
3737;1940;90;10;254
3738;4880;60;40;615
3739;1575;80;20;184
3741;9370;60;40;1677
3742;9410;60;40;1717
3743;4675;70;30;1768
3744;1050;20;80;171
3749;285;60;40;86
3751;8425;70;30;1153
3752;12770;70;30;1272
3754;820;90;10;69
3755;9360;70;30;956
3761;4845;70;30;1384
3762;8375;60;40;2003
3763;2400;80;20;1314
3764;5435;60;40;1361
3765;5220;50;50;2179
3766;7260;70;30;1760
3768;6160;80;20;782
3769;7210;60;40;828
3771;11315;60;40;1123
3772;20300;60;40;1444
3773;3480;80;20;825
3774;5745;80;20;194
3775;275;80;20;82
3776;1670;80;20;183
3781;11340;70;30;766
3784;1510;80;20;97
3785;1445;80;20;145
3791;2550;70;30;325
3792;145;90;10;89
3794;620;50;50;54
3811;6985;30;70;4040
3812;12195;40;60;2114
3813;15120;50;50;2644
3814;6355;40;60;3832
