"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"1092 Transvaalbuurt";42;44;44;45;44;45;51;53;56;58;58;63
"1093 Dapperbuurt";42;43;46;47;63;69;81;83;61;47;46;51
"1094 Indische Buurt-W";34;36;37;36;37;40;40;41;43;47;46;47
"1095 Zeeburg";45;45;49;52;53;54;58;60;61;67;70;74
"1096 De Omval";141;144;144;149;154;157;157;159;162;164;166;182
"1097 Frankendael/Betondorp";104;103;104;106;106;110;113;117;114;111;110;110
"1098 Middenmeer";92;94;97;97;99;102;107;111;117;121;126;135
"1101 Amstel III/Bullewijk";245;256;241;242;242;247;254;268;290;328;349;415
"1102 Bijlmer-C (D,F,H,)";625;637;646;648;652;656;660;667;676;690;708;740
"1103 Bijlmer oost (e,g,k)";40;40;39;39;39;39;39;40;41;42;42;44
"1104 Bijlmer-O (E,G,K)";29;31;31;32;32;33;34;35;40;42;42;46
"1105 Amstel III / Bullewijk";39;61;49;50;79;53;57;55;51;53;50;56
"1106 Zuidoost";54;51;52;51;50;55;57;60;60;61;65;66
"1107 Reigersbos";15;15;15;17;19;17;20;20;21;21;21;21
"1108 Nellestein";11;11;17;17;18;18;18;18;13;15;15;15
"1109 Driemond";20;21;21;22;23;25;24;23;25;26;27;27
"1111 Centrum/Noord";68;72;75;77;79;80;83;87;88;95;97;101
"1112 Zuid";99;104;103;101;100;105;110;116;117;122;122;126
"1113 Noord";20;22;21;22;24;23;25;27;27;28;28;29
"1114 Industriegebied Amstel";916;954;986;1002;1009;1023;1045;1062;1091;1124;1146;1211
"1115 Duivendrecht";37;38;39;39;41;41;41;44;45;49;49;50
"1117 Schiphol";42;43;51;54;57;61;61;63;68;70;73;34
"1118 Schiphol";167;170;144;137;134;144;130;126;130;129;144;158
"1119 Schiphol-Rijk";108;113;113;115;116;116;116;117;116;115;117;121
"1121 Landsmeer";87;91;90;91;93;95;96;99;101;104;108;114
"1127 Den Ilp";19;19;19;19;19;20;19;18;18;19;20;21
"1131 Oude Kom";99;100;101;96;109;136;150;162;163;165;171;177
"1132 Blokgouw";56;59;62;63;65;66;65;66;71;72;76;80
"1135 Edam";71;72;72;71;71;73;78;87;88;89;89;92
"1141 Monnickendam";78;127;128;134;133;132;146;145;145;121;123;126
"1145 Katwoude";13;13;13;13;13;13;13;13;13;13;13;13
"1151 Broek in Waterland";60;60;58;59;61;64;67;68;66;67;69;73
"1153 Zuiderwoude";12;12;12;12;12;12;12;13;13;13;14;14
"1154 Uitdam";6;6;6;6;7;7;7;7;7;7;7;7
"1156 Marken";10;10;9;9;10;10;7;8;8;10;10;10
"1161 Zwanenburg";79;81;82;79;80;87;89;92;95;94;93;96
"1165 Haarlemmerliede ca";25;25;25;26;26;26;26;26;28;27;29;32
"1171 Badhoevedorp";116;119;121;123;125;131;138;147;153;158;168;176
"1175 Lijnden";41;42;41;41;41;42;43;43;44;42;42;149
"1181 Randwijck/Elsrijk";131;134;141;144;147;157;164;169;173;178;185;196
"1182 Kaarselaan/Oude dorp";102;106;112;113;115;115;120;123;126;123;125;137
"1183 Kronenburg/Kostverloren/Bankras";94;101;110;117;116;125;127;140;143;147;151;154
"1184 Buurt over Ouderkerk";10;10;10;9;9;10;11;11;12;12;13;13
"1185 Keizer Karelpark";149;150;158;160;163;166;171;172;179;187;197;209
"1186 Groenelaan/Waardhuizen";72;77;79;81;84;88;91;94;101;103;108;112
"1187 Westwijk/Bovenkerk";145;148;152;156;157;159;166;173;181;192;198;205
"1188 Middenhoven";44;44;48;50;51;51;50;53;53;55;57;59
"1189 Nes aan de Amstel";8;8;8;8;8;8;8;9;10;10;10;10
"1191 Ouder-Amstel";130;130;113;113;107;112;114;118;126;130;132;138
"1211 Centrum";405;415;426;419;422;434;437;440;474;508;520;530
"1212 Van Riebeeckkw";26;26;27;27;28;28;28;28;28;28;27;27
"1213 Zuidoostelijke villawijk";114;115;118;117;122;121;123;126;136;143;150;162
"1214 Bloemenkw";47;47;48;49;49;49;49;51;51;51;50;53
"1215 Schrijvers-/Staatsliedenkw";73;73;75;76;77;78;82;86;87;90;94;96
"1216 Havenkw/Kerkelanden";70;71;73;71;76;78;81;81;86;93;94;101
"1217 Noordwestelijke villawijk";143;145;150;151;152;157;161;162;167;170;174;185
"1218 Hilversumse Meent";22;22;23;24;24;25;27;28;32;31;35;35
"1221 Oude wijk over 't spoor";59;59;60;61;65;65;68;68;68;69;70;71
"1222 Nieuwe wijk over 't spoor";50;53;54;54;56;60;60;64;66;67;69;69
"1223 Maranathakerk-/Astronomische buurt";60;60;63;65;65;69;71;72;72;75;76;81
"1231 Loosdrecht";95;96;101;102;103;104;106;111;113;115;120;141
"1241 Kortenhoef";79;82;84;86;87;86;86;87;86;86;90;94
"1243 's-Graveland";9;9;10;11;12;13;13;13;13;14;14;14
"1244 Ankeveen";14;15;15;14;14;14;15;15;16;15;16;16
"1251 Laren";152;153;162;158;163;170;173;179;186;191;201;208
"1252 Laren";7;7;7;8;8;8;7;7;8;10;11;11
"1261 Blaricum";148;148;151;149;149;152;153;159;170;284;288;299
"1262 Blaricum";11;12;12;11;10;10;11;11;12;12;11;12
"1271 Oude Dorp/Havengebied";84;85;86;87;87;89;91;93;94;101;101;108
"1272 Overige wijken";63;66;65;65;65;67;72;74;72;78;85;90
"1273 Huizermaat";51;49;50;51;53;57;59;64;68;71;72;74
"1274 Bovenmaten";35;36;36;36;35;36;37;38;40;41;44;45
"1275 Bijvanck";12;12;12;13;13;15;15;15;16;16;16;18
"1276 Zenderwijk/Bovenweg/Stad en Lande";24;25;25;27;27;27;32;33;34;36;37;40
"1277 Filosofenbuurt";13;13;12;12;13;14;15;16;19;20;20;20
"1309 Overig";1;1;1;1;1;1;1;1;1;1;1;2
"1311 Muziekwijk";25;25;25;26;27;25;25;28;30;30;31;33
"1312 Muziekwijk (tnv spoorlijn)";45;46;45;48;48;51;55;58;60;60;62;62
"1313 Kruidenwijk";20;21;21;20;20;21;20;21;21;21;22;24
"1314 Staatsliedenwijk";10713;10868;11219;11288;11309;11463;11622;11866;12292;12654;13167;15416
"1315 Centrum-Stad";32;32;34;35;34;36;37;38;39;40;40;39
"1316 Wijk tnv Hogering";63;63;62;61;62;64;65;66;68;70;71;74
"1317 Waterwijk";18;18;18;21;21;24;27;27;28;29;29;29
"1318 Verzetswijk";31;31;29;30;33;39;43;48;47;48;49;54
"1319 Almere";70;72;73;76;78;82;88;91;96;99;103;106
"1321 Literatuurwijk";73;74;75;77;77;80;85;87;88;90;90;90
"1322 De Korver";176;185;190;194;196;197;201;209;217;223;246;289
"1323 Muziekwijk (tzv spoorlijn)";29;29;29;29;31;29;32;33;37;40;39;39
"1324 Stedenwijk";42;43;42;40;40;39;39;39;39;40;39;42
"1325 Filmwijk";54;55;58;59;63;65;66;72;74;77;81;84
"1326 Parkwijk";48;50;49;51;52;57;65;65;64;67;69;70
"1327 Almere";6693;6840;7086;7140;7199;7382;7555;7752;8002;8327;8737;9951
"1328 Almere";54;57;63;63;63;61;64;69;69;74;80;83
"1329 Almere";1;1;1;1;1;1;1;1;1;1;2;2
"1331 De vaart";2;2;2;3;3;3;3;3;3;3;3;3
"1332 De Vaart";99;99;99;99;100;100;100;100;101;101;103;105
"1333 Bouwmeester-/Landgoederen-/Molenbrt";53;55;57;60;64;68;72;74;77;80;81;91
"1334 Centrum Haven/Buiten";9;9;9;9;8;8;8;10;11;12;12;12
"1335 Seizoenenbuurt";67;68;69;70;74;76;79;84;86;89;90;93
"1336 Almere";41;40;42;43;44;48;51;54;57;63;65;66
"1338 Bloemen-/Faunabrt";46;46;46;50;51;52;53;55;60;63;67;67
"1339 Regenboogbuurt";57;59;60;61;62;71;76;81;86;87;89;89
"1341 Landelijk gebied Almere-oost";27;28;30;30;30;35;41;40;40;41;44;46
"1343 Hout";32;32;33;33;33;33;35;36;41;44;45;45
"1349 Landelijk gebied Almere-oost";62;65;67;69;69;73;79;84;91;98;102;106
"1351 Steiger/Gouwen/Paal";37;40;40;39;39;40;40;40;43;46;49;49
"1352 De Gouwen/de Paal";6;6;7;6;6;6;6;6;6;9;8;8
"1353 De Wierden";12;11;11;11;11;10;10;10;11;15;15;16
"1354 Werven/Hoven";6;6;6;5;5;5;5;6;5;5;5;5
"1355 De Marken";14;13;13;13;16;16;15;16;16;18;18;19
"1356 Grienden";6;6;6;7;7;8;7;9;9;10;11;10
"1357 De Meenten";18;18;18;18;17;19;19;22;22;22;22;24
"1358 Windhoek/Cirkelbos";31;31;33;33;34;35;35;34;34;34;34;38
"1359 De Velden";28;28;30;30;33;33;34;37;40;44;44;44
"1361 Almere";29;30;30;32;31;32;34;35;37;38;39;42
"1362 Almere";14;14;13;13;12;12;11;11;11;11;12;14
"1363 Almere";85;88;90;96;100;105;113;116;123;129;129;131
"1381 Centrum/Zuid";64;66;67;69;71;71;71;73;74;74;79;82
"1382 Noord/Hogewey/Bloemendalerpolder";104;100;84;85;87;83;86;91;95;94;94;99
"1383 Aetsveld";16;16;17;17;18;20;20;20;21;21;21;22
"1384 Noord";12;13;12;32;32;33;34;36;35;35;36;38
"1391 Abcoude";127;127;131;133;135;141;144;146;144;147;151;154
"1393 Nigtevegt";26;27;27;27;28;28;29;29;29;30;30;33
"1394 Nederhorst den Berg";63;63;65;65;64;66;70;74;74;74;75;80
"1396 Baambrugge";27;27;27;27;27;27;28;29;29;30;31;31
"1398 Muiden";51;53;54;56;58;60;62;65;68;71;73;76
"1399 Muiderberg";58;59;61;61;64;65;70;72;71;71;74;77
